zip,city,state,county,payout
94027,Atherton,CA,San Mateo County,47.25
94002,Belmont,CA,San Mateo County,47.25
94920,Belvedere Tiburon,CA,Marin County,34.97
94010,Burlingame,CA,San Mateo County,35.28
95008,Campbell,CA,Santa Clara County,36.75
95014,Cupertino,CA,Santa Clara County,39.38
94536,Fremont,CA,Alameda County,33.39
94538,Fremont,CA,Alameda County,33.39
94539,Fremont,CA,Alameda County,33.39
94555,Fremont,CA,Alameda County,33.39
94904,Greenbrae,CA,Marin County,34.97
94022,Los Altos,CA,Santa Clara County,36.75
94024,Los Altos,CA,Santa Clara County,47.25
95030,Los Gatos,CA,Santa Clara County,36.75
95032,Los Gatos,CA,Santa Clara County,47.25
95033,Los Gatos,CA,Santa Cruz County,36.75
94025,Menlo Park,CA,San Mateo County,47.25
94941,Mill Valley,CA,Marin County,34.97
94030,Millbrae,CA,San Mateo County,33.08
95035,Milpitas,CA,Santa Clara County,33.39
94040,Mountain View,CA,Santa Clara County,47.25
94041,Mountain View,CA,Santa Clara County,33.39
94560,Newark,CA,Alameda County,33.39
94044,Pacifica,CA,San Mateo County,35.28
94301,Palo Alto,CA,Santa Clara County,37.8
94303,Palo Alto,CA,San Mateo County,47.25
94304,Palo Alto,CA,Santa Clara County,36.75
94306,Palo Alto,CA,Santa Clara County,36.75
94028,Portola Valley,CA,San Mateo County,36.75
94061,Redwood City,CA,San Mateo County,47.25
94062,Redwood City,CA,San Mateo County,37.8
94065,Redwood City,CA,San Mateo County,36.75
94066,San Bruno,CA,San Mateo County,33.39
94070,San Carlos,CA,San Mateo County,47.25
94105,San Francisco,CA,San Francisco County,34.97
94107,San Francisco,CA,San Francisco County,34.97
94109,San Francisco,CA,San Francisco County,35.28
94110,San Francisco,CA,San Francisco County,34.97
94112,San Francisco,CA,San Francisco County,34.97
94115,San Francisco,CA,San Francisco County,34.97
94117,San Francisco,CA,San Francisco County,34.97
94121,San Francisco,CA,San Francisco County,34.97
94123,San Francisco,CA,San Francisco County,35.28
94127,San Francisco,CA,San Francisco County,34.97
94131,San Francisco,CA,San Francisco County,34.97
95112,San Jose,CA,Santa Clara County,33.39
95113,San Jose,CA,Santa Clara County,36.75
95116,San Jose,CA,Santa Clara County,33.39
95117,San Jose,CA,Santa Clara County,47.25
95118,San Jose,CA,Santa Clara County,47.25
95120,San Jose,CA,Santa Clara County,47.25
95123,San Jose,CA,Santa Clara County,47.25
95124,San Jose,CA,Santa Clara County,47.25
95125,San Jose,CA,Santa Clara County,47.25
95127,San Jose,CA,Santa Clara County,47.25
95128,San Jose,CA,Santa Clara County,47.25
95129,San Jose,CA,Santa Clara County,33.39
95131,San Jose,CA,Santa Clara County,33.39
95132,San Jose,CA,Santa Clara County,47.25
95133,San Jose,CA,Santa Clara County,47.25
95136,San Jose,CA,Santa Clara County,33.39
95138,San Jose,CA,Santa Clara County,36.75
95148,San Jose,CA,Santa Clara County,36.75
94403,San Mateo,CA,San Mateo County,33.39
95050,Santa Clara,CA,Santa Clara County,33.39
95051,Santa Clara,CA,Santa Clara County,36.75
95070,Saratoga,CA,Santa Clara County,47.25
94305,Stanford,CA,Santa Clara County,36.75
94085,Sunnyvale,CA,Santa Clara County,33.39
94086,Sunnyvale,CA,Santa Clara County,47.25
94087,Sunnyvale,CA,Santa Clara County,47.25
94089,Sunnyvale,CA,Santa Clara County,36.75
94587,Union City,CA,Alameda County,33.39
