zip,city,state,county,payout
20816,Bethesda,MD,Montgomery County,33.08
20817,Bethesda,MD,Montgomery County,33.08
20877,Gaithersburg,MD,Montgomery County,33.08
20878,Gaithersburg,MD,Montgomery County,33.08
20882,Gaithersburg,MD,Montgomery County,33.08
20874,Germantown,MD,Montgomery County,33.08
20850,Rockville,MD,Montgomery County,33.08
20852,Rockville,MD,Montgomery County,33.08
20853,Rockville,MD,Montgomery County,33.08
20901,Silver Spring,MD,Montgomery County,33.08
20902,Silver Spring,MD,Montgomery County,33.08
20904,Silver Spring,MD,Montgomery County,33.08
20906,Silver Spring,MD,Montgomery County,33.08
