zip,city,state,county,payout
41201,Adams,KY,Lawrence County,86.63
41601,Allen,KY,Floyd County,86.63
41602,Auxier,KY,Floyd County,86.63
41603,Banner,KY,Floyd County,86.63
41604,Beaver,KY,Floyd County,86.63
41605,Betsy Layne,KY,Floyd County,86.63
41606,Bevinsville,KY,Floyd County,86.63
41124,Blaine,KY,Lawrence County,86.63
41607,Blue River,KY,Floyd County,86.63
41204,Boons Camp,KY,Johnson County,86.63
41612,Bypro,KY,Floyd County,86.63
41129,Catlettsburg,KY,Boyd County,86.63
41615,Dana,KY,Floyd County,86.63
41616,David,KY,Floyd County,86.63
41619,Drift,KY,Floyd County,86.63
41621,Dwale,KY,Floyd County,86.63
41216,East Point,KY,Floyd County,86.63
41622,Eastern,KY,Floyd County,86.63
41219,Flatgap,KY,Johnson County,86.63
41631,Grethel,KY,Floyd County,86.63
41222,Hagerhill,KY,Johnson County,86.63
41635,Harold,KY,Floyd County,86.63
41636,Hi Hat,KY,Floyd County,86.63
41642,Ivel,KY,Floyd County,86.63
41226,Keaton,KY,Johnson County,86.63
41645,Langley,KY,Floyd County,86.63
41230,Louisa,KY,Lawrence County,86.63
41232,Lowmansville,KY,Lawrence County,86.63
41159,Martha,KY,Lawrence County,86.63
41649,Martin,KY,Floyd County,86.63
41647,Mc Dowell,KY,Floyd County,86.63
41234,Meally,KY,Johnson County,86.63
41650,Melvin,KY,Floyd County,86.63
41651,Minnie,KY,Floyd County,86.63
41238,Oil Springs,KY,Johnson County,86.63
41240,Paintsville,KY,Johnson County,86.63
41501,Pikeville,KY,Pike County,86.63
41653,Prestonsburg,KY,Floyd County,86.63
41655,Printer,KY,Floyd County,86.63
41254,River,KY,Johnson County,86.63
41465,Salyersville,KY,Magoffin County,86.63
41255,Sitka,KY,Johnson County,86.63
41256,Staffordsville,KY,Johnson County,86.63
41257,Stambaugh,KY,Johnson County,86.63
41660,Teaberry,KY,Floyd County,86.63
41260,Thelma,KY,Johnson County,86.63
41663,Tram,KY,Floyd County,86.63
41263,Tutor Key,KY,Johnson County,86.63
41264,Ulysses,KY,Lawrence County,86.63
41265,Van Lear,KY,Johnson County,86.63
41666,Wayland,KY,Floyd County,86.63
41180,Webbville,KY,Lawrence County,86.63
41667,Weeksbury,KY,Floyd County,86.63
41472,West Liberty,KY,Morgan County,86.63
41268,West Van Lear,KY,Johnson County,86.63
41669,Wheelwright,KY,Floyd County,86.63
41271,Williamsport,KY,Johnson County,86.63
41274,Wittensville,KY,Johnson County,86.63
