zip,city,state,county,payout
87510,Abiquiu,NM,Rio Arriba County,137.78
88310,Alamogordo,NM,Otero County,137.78
88311,Alamogordo,NM,Otero County,137.78
87101,Albuquerque,NM,Bernalillo County,137.78
87102,Albuquerque,NM,Bernalillo County,137.78
87103,Albuquerque,NM,Bernalillo County,137.78
87104,Albuquerque,NM,Bernalillo County,137.78
87105,Albuquerque,NM,Bernalillo County,137.78
87106,Albuquerque,NM,Bernalillo County,137.78
87107,Albuquerque,NM,Bernalillo County,137.78
87108,Albuquerque,NM,Bernalillo County,137.78
87109,Albuquerque,NM,Bernalillo County,137.78
87110,Albuquerque,NM,Bernalillo County,137.78
87111,Albuquerque,NM,Bernalillo County,137.78
87112,Albuquerque,NM,Bernalillo County,137.78
87113,Albuquerque,NM,Bernalillo County,137.78
87114,Albuquerque,NM,Bernalillo County,137.78
87115,Albuquerque,NM,Bernalillo County,137.78
87116,Albuquerque,NM,Bernalillo County,137.78
87119,Albuquerque,NM,Bernalillo County,137.78
87120,Albuquerque,NM,Bernalillo County,137.78
87121,Albuquerque,NM,Bernalillo County,137.78
87122,Albuquerque,NM,Bernalillo County,137.78
87123,Albuquerque,NM,Bernalillo County,137.78
87125,Albuquerque,NM,Bernalillo County,137.78
87131,Albuquerque,NM,Bernalillo County,137.78
87151,Albuquerque,NM,Bernalillo County,137.78
87153,Albuquerque,NM,Bernalillo County,137.78
87154,Albuquerque,NM,Bernalillo County,137.78
87158,Albuquerque,NM,Bernalillo County,137.78
87176,Albuquerque,NM,Bernalillo County,137.78
87181,Albuquerque,NM,Bernalillo County,137.78
87184,Albuquerque,NM,Bernalillo County,137.78
87185,Albuquerque,NM,Bernalillo County,137.78
87187,Albuquerque,NM,Bernalillo County,137.78
87190,Albuquerque,NM,Bernalillo County,137.78
87191,Albuquerque,NM,Bernalillo County,137.78
87192,Albuquerque,NM,Bernalillo County,137.78
87193,Albuquerque,NM,Bernalillo County,137.78
87194,Albuquerque,NM,Bernalillo County,137.78
87195,Albuquerque,NM,Bernalillo County,137.78
87196,Albuquerque,NM,Bernalillo County,137.78
87197,Albuquerque,NM,Bernalillo County,137.78
87198,Albuquerque,NM,Bernalillo County,137.78
87199,Albuquerque,NM,Bernalillo County,137.78
87511,Alcalde,NM,Rio Arriba County,137.78
87001,Algodones,NM,Sandoval County,137.78
88312,Alto,NM,Lincoln County,137.78
87512,Amalia,NM,Taos County,137.78
88410,Amistad,NM,Union County,137.78
87710,Angel Fire,NM,Colfax County,137.78
88020,Animas,NM,Hidalgo County,137.78
88021,Anthony,NM,Dona Ana County,137.78
87711,Anton Chico,NM,Guadalupe County,137.78
87820,Aragon,NM,Catron County,137.78
88022,Arenas Valley,NM,Grant County,137.78
87930,Arrey,NM,Sierra County,137.78
87513,Arroyo Hondo,NM,Taos County,137.78
87514,Arroyo Seco,NM,Taos County,137.78
88210,Artesia,NM,Eddy County,137.78
88211,Artesia,NM,Eddy County,137.78
87410,Aztec,NM,San Juan County,137.78
88411,Bard,NM,Quay County,137.78
88023,Bayard,NM,Grant County,137.78
87002,Belen,NM,Valencia County,137.78
88314,Bent,NM,Otero County,137.78
88024,Berino,NM,Dona Ana County,137.78
87004,Bernalillo,NM,Sandoval County,137.78
87412,Blanco,NM,San Juan County,137.78
87413,Bloomfield,NM,San Juan County,137.78
87005,Bluewater,NM,Cibola County,137.78
87006,Bosque,NM,Socorro County,137.78
87068,Bosque Farms,NM,Valencia County,137.78
87310,Brimhall,NM,Mckinley County,137.78
88112,Broadview,NM,Curry County,137.78
88025,Buckhorn,NM,Grant County,137.78
87712,Buena Vista,NM,Mora County,137.78
87931,Caballo,NM,Sierra County,137.78
87515,Canjilon,NM,Rio Arriba County,137.78
88103,Cannon AFB,NM,Curry County,137.78
87516,Canones,NM,Rio Arriba County,137.78
88316,Capitan,NM,Lincoln County,137.78
88213,Caprock,NM,Lea County,137.78
88414,Capulin,NM,Union County,137.78
88220,Carlsbad,NM,Eddy County,137.78
88221,Carlsbad,NM,Eddy County,137.78
88301,Carrizozo,NM,Lincoln County,137.78
87517,Carson,NM,Taos County,137.78
87007,Casa Blanca,NM,Cibola County,137.78
88113,Causey,NM,Roosevelt County,137.78
87518,Cebolla,NM,Rio Arriba County,137.78
87008,Cedar Crest,NM,Bernalillo County,137.78
87009,Cedarvale,NM,Torrance County,137.78
87010,Cerrillos,NM,Santa Fe County,137.78
87519,Cerro,NM,Taos County,137.78
87713,Chacon,NM,Mora County,137.78
87520,Chama,NM,Rio Arriba County,137.78
88027,Chamberino,NM,Dona Ana County,137.78
87521,Chamisal,NM,Taos County,137.78
88081,Chaparral,NM,Otero County,137.78
87522,Chimayo,NM,Rio Arriba County,137.78
87311,Church Rock,NM,Mckinley County,137.78
87714,Cimarron,NM,Colfax County,137.78
87011,Claunch,NM,Lincoln County,137.78
88415,Clayton,NM,Union County,137.78
87715,Cleveland,NM,Mora County,137.78
88028,Cliff,NM,Grant County,137.78
87070,Clines Corners,NM,Torrance County,137.78
88317,Cloudcroft,NM,Otero County,137.78
88101,Clovis,NM,Curry County,137.78
88102,Clovis,NM,Curry County,137.78
87083,Cochiti Lake,NM,Sandoval County,137.78
87072,Cochiti Pueblo,NM,Sandoval County,137.78
88029,Columbus,NM,Luna County,137.78
88416,Conchas Dam,NM,San Miguel County,137.78
87312,Continental Divide,NM,Mckinley County,137.78
87523,Cordova,NM,Rio Arriba County,137.78
88318,Corona,NM,Lincoln County,137.78
87048,Corrales,NM,Sandoval County,137.78
87524,Costilla,NM,Taos County,137.78
87018,Counselor,NM,Sandoval County,137.78
87012,Coyote,NM,Rio Arriba County,137.78
88114,Crossroads,NM,Lea County,137.78
87313,Crownpoint,NM,Mckinley County,137.78
87013,Cuba,NM,Sandoval County,137.78
87014,Cubero,NM,Cibola County,137.78
88417,Cuervo,NM,Guadalupe County,137.78
87821,Datil,NM,Catron County,137.78
88030,Deming,NM,Luna County,137.78
88031,Deming,NM,Luna County,137.78
87933,Derry,NM,Sierra County,137.78
88418,Des Moines,NM,Union County,137.78
88230,Dexter,NM,Chaves County,137.78
87527,Dixon,NM,Rio Arriba County,137.78
88032,Dona Ana,NM,Dona Ana County,137.78
88115,Dora,NM,Roosevelt County,137.78
87528,Dulce,NM,Rio Arriba County,137.78
87718,Eagle Nest,NM,Colfax County,137.78
87015,Edgewood,NM,Santa Fe County,137.78
87529,El Prado,NM,Taos County,137.78
87530,El Rito,NM,Rio Arriba County,137.78
