zip,city,state,county,payout
45810,Ada,OH,Hardin County,96.25
45812,Alger,OH,Hardin County,96.25
44802,Alvada,OH,Seneca County,96.25
43501,Alvordton,OH,Williams County,96.25
44001,Amherst,OH,Lorain County,96.25
45813,Antwerp,OH,Paulding County,96.25
44804,Arcadia,OH,Hancock County,96.25
43502,Archbold,OH,Fulton County,96.25
45814,Arlington,OH,Hancock County,96.25
44807,Attica,OH,Seneca County,96.25
44011,Avon,OH,Lorain County,96.25
44012,Avon Lake,OH,Lorain County,96.25
44809,Bascom,OH,Seneca County,96.25
45808,Beaverdam,OH,Allen County,96.25
43310,Belle Center,OH,Logan County,96.25
44811,Bellevue,OH,Sandusky County,96.25
45815,Belmore,OH,Putnam County,96.25
45816,Benton Ridge,OH,Hancock County,96.25
43504,Berkey,OH,Lucas County,96.25
44814,Berlin Heights,OH,Erie County,96.25
44815,Bettsville,OH,Seneca County,96.25
44816,Birmingham,OH,Erie County,96.25
43505,Blakeslee,OH,Williams County,96.25
44817,Bloomdale,OH,Wood County,96.25
44818,Bloomville,OH,Seneca County,96.25
45817,Bluffton,OH,Allen County,96.25
45306,Botkins,OH,Shelby County,96.25
43402,Bowling Green,OH,Wood County,96.25
43403,Bowling Green,OH,Wood County,96.25
43406,Bradner,OH,Wood County,96.25
43506,Bryan,OH,Williams County,96.25
45819,Buckland,OH,Auglaize County,96.25
44820,Bucyrus,OH,Crawford County,96.25
43407,Burgoon,OH,Sandusky County,96.25
45310,Burkettsville,OH,Mercer County,96.25
45820,Cairo,OH,Allen County,96.25
43314,Caledonia,OH,Marion County,96.25
43316,Carey,OH,Wyandot County,96.25
44824,Castalia,OH,Erie County,96.25
45821,Cecil,OH,Paulding County,96.25
45822,Celina,OH,Mercer County,96.25
44825,Chatfield,OH,Crawford County,96.25
45826,Chickasaw,OH,Mercer County,96.25
43408,Clay Center,OH,Ottawa County,96.25
45827,Cloverdale,OH,Putnam County,96.25
43410,Clyde,OH,Sandusky County,96.25
45828,Coldwater,OH,Mercer County,96.25
44826,Collins,OH,Huron County,96.25
43510,Colton,OH,Henry County,96.25
44028,Columbia Station,OH,Lorain County,96.25
45830,Columbus Grove,OH,Putnam County,96.25
45831,Continental,OH,Putnam County,96.25
45832,Convoy,OH,Van Wert County,96.25
44827,Crestline,OH,Crawford County,96.25
43412,Curtice,OH,Lucas County,96.25
43511,Custar,OH,Wood County,96.25
43413,Cygnet,OH,Wood County,96.25
43512,Defiance,OH,Defiance County,96.25
45833,Delphos,OH,Allen County,96.25
43515,Delta,OH,Fulton County,96.25
43516,Deshler,OH,Henry County,96.25
45835,Dola,OH,Hardin County,96.25
43414,Dunbridge,OH,Wood County,96.25
45836,Dunkirk,OH,Hardin County,96.25
45837,Dupont,OH,Putnam County,96.25
43517,Edgerton,OH,Williams County,96.25
43518,Edon,OH,Williams County,96.25
45838,Elgin,OH,Van Wert County,96.25
43416,Elmore,OH,Ottawa County,96.25
44035,Elyria,OH,Lorain County,96.25
44036,Elyria,OH,Lorain County,96.25
43519,Evansport,OH,Defiance County,96.25
43520,Farmer,OH,Defiance County,96.25
43521,Fayette,OH,Fulton County,96.25
45839,Findlay,OH,Hancock County,96.25
45840,Findlay,OH,Hancock County,96.25
44828,Flat Rock,OH,Seneca County,96.25
45843,Forest,OH,Hardin County,96.25
45844,Fort Jennings,OH,Putnam County,96.25
45845,Fort Loramie,OH,Shelby County,96.25
45846,Fort Recovery,OH,Mercer County,96.25
44830,Fostoria,OH,Seneca County,96.25
43420,Fremont,OH,Sandusky County,96.25
44833,Galion,OH,Crawford County,96.25
43430,Genoa,OH,Ottawa County,96.25
43431,Gibsonburg,OH,Sandusky County,96.25
45848,Glandorf,OH,Putnam County,96.25
45809,Gomer,OH,Allen County,96.25
44044,Grafton,OH,Lorain County,96.25
43522,Grand Rapids,OH,Wood County,96.25
43432,Graytown,OH,Ottawa County,96.25
44836,Green Springs,OH,Seneca County,96.25
44837,Greenwich,OH,Huron County,96.25
43523,Grelton,OH,Henry County,96.25
45849,Grover Hill,OH,Paulding County,96.25
43433,Gypsum,OH,Ottawa County,96.25
43524,Hamler,OH,Henry County,96.25
43434,Harbor View,OH,Lucas County,96.25
45850,Harrod,OH,Allen County,96.25
43525,Haskins,OH,Wood County,96.25
45851,Haviland,OH,Paulding County,96.25
43435,Helena,OH,Sandusky County,96.25
43526,Hicksville,OH,Defiance County,96.25
43527,Holgate,OH,Henry County,96.25
43528,Holland,OH,Lucas County,96.25
43529,Hoytville,OH,Wood County,96.25
44839,Huron,OH,Erie County,96.25
43436,Isle Saint George,OH,Ottawa County,96.25
45334,Jackson Center,OH,Shelby County,96.25
45841,Jenera,OH,Hancock County,96.25
43437,Jerry City,OH,Wood County,96.25
43530,Jewell,OH,Defiance County,96.25
45853,Kalida,OH,Putnam County,96.25
44841,Kansas,OH,Seneca County,96.25
43438,Kelleys Island,OH,Erie County,96.25
43326,Kenton,OH,Hardin County,96.25
44049,Kipton,OH,Lorain County,96.25
43330,Kirby,OH,Wyandot County,96.25
43531,Kunkle,OH,Williams County,96.25
43332,La Rue,OH,Marion County,96.25
43439,Lacarne,OH,Ottawa County,96.25
45854,Lafayette,OH,Allen County,96.25
44050,Lagrange,OH,Lorain County,96.25
43440,Lakeside Marblehead,OH,Ottawa County,96.25
43331,Lakeview,OH,Logan County,96.25
45855,Latty,OH,Paulding County,96.25
45856,Leipsic,OH,Putnam County,96.25
43441,Lemoyne,OH,Wood County,96.25
43532,Liberty Center,OH,Henry County,96.25
45801,Lima,OH,Allen County,96.25
45802,Lima,OH,Allen County,96.25
45804,Lima,OH,Allen County,96.25
45805,Lima,OH,Allen County,96.25
45806,Lima,OH,Allen County,96.25
45807,Lima,OH,Allen County,96.25
43442,Lindsey,OH,Sandusky County,96.25
44052,Lorain,OH,Lorain County,96.25
44053,Lorain,OH,Lorain County,96.25
44055,Lorain,OH,Lorain County,96.25
43443,Luckey,OH,Wood County,96.25
43533,Lyons,OH,Fulton County,96.25
43535,Malinta,OH,Henry County,96.25
45860,Maria Stein,OH,Mercer County,96.25
43536,Mark Center,OH,Defiance County,96.25
43445,Martin,OH,Ottawa County,96.25
43537,Maumee,OH,Lucas County,96.25
43534,Mc Clure,OH,Henry County,96.25
45858,Mc Comb,OH,Hancock County,96.25
44844,Mc Cutchenville,OH,Wyandot County,96.25
45859,Mc Guffey,OH,Hardin County,96.25
44845,Melmore,OH,Seneca County,96.25
45861,Melrose,OH,Paulding County,96.25
