zip,city,state,county,payout
80010,Aurora,CO,Arapahoe County,44.63
80011,Aurora,CO,Arapahoe County,44.63
80012,Aurora,CO,Arapahoe County,44.63
80014,Aurora,CO,Arapahoe County,44.63
80016,Aurora,CO,Arapahoe County,44.63
80421,Bailey,CO,Park County,34.02
80602,Brighton,CO,Adams County,34.02
80020,Broomfield,CO,Broomfield County,34.02
80103,Byers,CO,Arapahoe County,44.63
80915,Colorado Springs,CO,El Paso County,34.02
80105,Deer Trail,CO,Arapahoe County,44.63
80202,Denver,CO,Denver County,34.02
80204,Denver,CO,Denver County,34.02
80210,Denver,CO,Denver County,34.02
80218,Denver,CO,Denver County,34.02
80220,Denver,CO,Denver County,34.02
80226,Denver,CO,Jefferson County,34.02
80231,Denver,CO,Denver County,44.63
80233,Denver,CO,Adams County,34.02
80238,Denver,CO,Denver County,34.02
80247,Denver,CO,Arapahoe County,44.63
80112,Englewood,CO,Arapahoe County,44.63
80620,Evans,CO,Weld County,34.02
80439,Evergreen,CO,Jefferson County,34.02
80524,Fort Collins,CO,Larimer County,34.02
80621,Fort Lupton,CO,Weld County,34.02
80444,Georgetown,CO,Clear Creek County,34.02
80401,Golden,CO,Jefferson County,34.02
80642,Hudson,CO,Weld County,34.02
80643,Keenesburg,CO,Weld County,34.02
80118,Larkspur,CO,Douglas County,34.02
80120,Littleton,CO,Arapahoe County,44.63
80123,Littleton,CO,Jefferson County,44.63
80125,Littleton,CO,Douglas County,34.02
80501,Longmont,CO,Boulder County,34.02
80504,Longmont,CO,Boulder County,34.02
80538,Loveland,CO,Larimer County,34.02
80542,Mead,CO,Weld County,34.02
80134,Parker,CO,Douglas County,34.02
80136,Strasburg,CO,Adams County,44.63
80030,Westminster,CO,Adams County,34.02
