zip,city,state,county,payout
19930,Bethany Beach,DE,Sussex County,44.63
19933,Bridgeville,DE,Sussex County,44.63
19934,Camden Wyoming,DE,Kent County,35.48
19703,Claymont,DE,New Castle County,44.63
19938,Clayton,DE,Kent County,35.48
19939,Dagsboro,DE,Sussex County,44.63
19706,Delaware City,DE,New Castle County,44.63
19940,Delmar,DE,Sussex County,44.63
19901,Dover,DE,Kent County,35.48
19941,Ellendale,DE,Sussex County,35.48
19943,Felton,DE,Kent County,35.48
19945,Frankford,DE,Sussex County,44.63
19947,Georgetown,DE,Sussex County,44.63
19950,Greenwood,DE,Sussex County,44.63
19951,Harbeson,DE,Sussex County,44.63
19953,Hartly,DE,Kent County,35.48
19707,Hockessin,DE,New Castle County,44.63
19956,Laurel,DE,Sussex County,44.63
19958,Lewes,DE,Sussex County,44.63
19962,Magnolia,DE,Kent County,35.48
19709,Middletown,DE,New Castle County,44.63
19963,Milford,DE,Sussex County,44.63
19966,Millsboro,DE,Sussex County,44.63
19968,Milton,DE,Sussex County,44.63
19710,Montchanin,DE,New Castle County,44.63
19720,New Castle,DE,New Castle County,44.63
19702,Newark,DE,New Castle County,44.63
19711,Newark,DE,New Castle County,44.63
19713,Newark,DE,New Castle County,44.63
19717,Newark,DE,New Castle County,44.63
19970,Ocean View,DE,Sussex County,44.63
19971,Rehoboth Beach,DE,Sussex County,44.63
19733,Saint Georges,DE,New Castle County,44.63
19973,Seaford,DE,Sussex County,44.63
19975,Selbyville,DE,Sussex County,44.63
19977,Smyrna,DE,Kent County,37.7
19801,Wilmington,DE,New Castle County,44.63
19802,Wilmington,DE,New Castle County,44.63
19804,Wilmington,DE,New Castle County,44.63
19805,Wilmington,DE,New Castle County,44.63
19806,Wilmington,DE,New Castle County,44.63
19807,Wilmington,DE,New Castle County,44.63
19808,Wilmington,DE,New Castle County,44.63
19809,Wilmington,DE,New Castle County,44.63
19810,Wilmington,DE,New Castle County,44.63
