zip,city,state,county,payout
47320,Albany,IN,Delaware County,34.02
46001,Alexandria,IN,Madison County,34.02
46011,Anderson,IN,Madison County,33.08
46012,Anderson,IN,Madison County,34.58
46015,Anderson,IN,Madison County,33.08
46016,Anderson,IN,Madison County,34.02
46017,Anderson,IN,Madison County,34.02
46104,Arlington,IN,Rush County,33.08
47918,Attica,IN,Fountain County,33.08
47920,Battle Ground,IN,Tippecanoe County,33.08
47832,Bloomingdale,IN,Parke County,33.08
47403,Bloomington,IN,Monroe County,33.08
47408,Bloomington,IN,Monroe County,33.08
46506,Bremen,IN,Marshall County,33.08
47923,Brookston,IN,White County,33.08
47012,Brookville,IN,Franklin County,33.08
46914,Bunker Hill,IN,Miami County,33.08
46915,Burlington,IN,Carroll County,33.08
47327,Cambridge City,IN,Wayne County,34.02
46115,Carthage,IN,Rush County,34.02
47928,Cayuga,IN,Vermillion County,33.08
47330,Centerville,IN,Wayne County,34.02
47842,Clinton,IN,Vermillion County,33.08
46120,Cloverdale,IN,Putnam County,33.08
46035,Colfax,IN,Clinton County,33.08
47331,Connersville,IN,Fayette County,34.02
46919,Converse,IN,Miami County,33.08
47932,Covington,IN,Fountain County,33.08
47933,Crawfordsville,IN,Montgomery County,33.08
46307,Crown Point,IN,Lake County,44.63
46920,Cutler,IN,Carroll County,33.08
47847,Dana,IN,Vermillion County,33.08
47940,Darlington,IN,Montgomery County,33.08
46923,Delphi,IN,Carroll County,33.08
46926,Denver,IN,Miami County,33.08
47336,Dunkirk,IN,Jay County,34.02
47338,Eaton,IN,Delaware County,34.02
46514,Elkhart,IN,Elkhart County,33.08
46516,Elkhart,IN,Elkhart County,33.08
46036,Elwood,IN,Madison County,34.02
46928,Fairmount,IN,Grant County,34.02
47340,Farmland,IN,Randolph County,34.02
46128,Fillmore,IN,Putnam County,33.08
46804,Fort Wayne,IN,Allen County,33.08
46806,Fort Wayne,IN,Allen County,33.08
47341,Fountain City,IN,Wayne County,34.02
46041,Frankfort,IN,Clinton County,33.08
46044,Frankton,IN,Madison County,33.08
46404,Gary,IN,Lake County,33.08
46933,Gas City,IN,Grant County,33.08
46133,Glenwood,IN,Fayette County,33.08
46526,Goshen,IN,Elkhart County,33.08
46135,Greencastle,IN,Putnam County,33.08
47345,Greens Fork,IN,Wayne County,34.02
46936,Greentown,IN,Howard County,33.08
46319,Griffith,IN,Lake County,44.63
47346,Hagerstown,IN,Wayne County,34.02
46323,Hammond,IN,Lake County,44.63
47348,Hartford City,IN,Blackford County,34.02
46322,Highland,IN,Lake County,44.63
47949,Hillsboro,IN,Fountain County,33.08
46342,Hobart,IN,Lake County,44.63
46201,Indianapolis,IN,Marion County,33.08
46202,Indianapolis,IN,Marion County,33.08
46203,Indianapolis,IN,Marion County,33.08
46208,Indianapolis,IN,Marion County,33.08
46219,Indianapolis,IN,Marion County,33.08
46220,Indianapolis,IN,Marion County,33.08
46236,Indianapolis,IN,Marion County,34.02
46241,Indianapolis,IN,Marion County,33.08
46250,Indianapolis,IN,Marion County,33.08
46147,Jamestown,IN,Boone County,33.08
46049,Kempton,IN,Tipton County,33.08
47952,Kingman,IN,Fountain County,33.08
46050,Kirklin,IN,Clinton County,33.08
46148,Knightstown,IN,Henry County,34.02
46901,Kokomo,IN,Howard County,33.08
46903,Kokomo,IN,Howard County,33.08
46347,Kouts,IN,Porter County,33.08
46940,La Fontaine,IN,Wabash County,33.08
47954,Ladoga,IN,Montgomery County,33.08
47901,Lafayette,IN,Tippecanoe County,33.08
47904,Lafayette,IN,Tippecanoe County,33.08
47905,Lafayette,IN,Tippecanoe County,33.08
47909,Lafayette,IN,Tippecanoe County,33.08
47024,Laurel,IN,Franklin County,34.02
46052,Lebanon,IN,Boone County,33.08
47353,Liberty,IN,Union County,34.02
47955,Linden,IN,Montgomery County,33.08
47354,Losantville,IN,Randolph County,33.08
47355,Lynn,IN,Randolph County,34.02
46952,Marion,IN,Grant County,34.02
46953,Marion,IN,Grant County,34.02
47859,Marshall,IN,Parke County,33.08
46151,Martinsville,IN,Morgan County,33.08
46057,Michigantown,IN,Clinton County,33.08
47356,Middletown,IN,Henry County,34.02
46156,Milroy,IN,Rush County,34.02
47358,Modoc,IN,Randolph County,34.02
47862,Montezuma,IN,Parke County,33.08
47359,Montpelier,IN,Blackford County,34.02
47360,Mooreland,IN,Henry County,34.02
46161,Morristown,IN,Shelby County,34.02
46058,Mulberry,IN,Clinton County,33.08
47302,Muncie,IN,Delaware County,33.08
47304,Muncie,IN,Delaware County,33.08
47305,Muncie,IN,Delaware County,34.02
47150,New Albany,IN,Floyd County,33.08
47362,New Castle,IN,Henry County,34.02
47965,New Market,IN,Montgomery County,33.08
47967,New Richmond,IN,Montgomery County,33.08
47968,New Ross,IN,Montgomery County,33.08
46060,Noblesville,IN,Hamilton County,33.08
47970,Otterbein,IN,Benton County,33.08
47971,Oxford,IN,Benton County,33.08
46166,Paragon,IN,Morgan County,33.08
46064,Pendleton,IN,Madison County,34.02
46970,Peru,IN,Miami County,33.08
47373,Redkey,IN,Jay County,34.02
47374,Richmond,IN,Wayne County,34.02
47380,Ridgeville,IN,Randolph County,34.02
46974,Roann,IN,Wabash County,33.08
47872,Rockville,IN,Parke County,33.08
47981,Romney,IN,Tippecanoe County,33.08
47874,Rosedale,IN,Parke County,33.08
46065,Rossville,IN,Clinton County,33.08
46173,Rushville,IN,Rush County,34.02
46979,Russiaville,IN,Howard County,33.08
47167,Salem,IN,Washington County,34.02
46375,Schererville,IN,Lake County,44.63
46068,Sharpsville,IN,Tipton County,33.08
46176,Shelbyville,IN,Shelby County,34.02
47384,Shirley,IN,Henry County,34.02
46615,South Bend,IN,St. Joseph County,33.08
47386,Springport,IN,Henry County,33.08
46070,Summitville,IN,Madison County,33.08
46986,Swayzee,IN,Grant County,33.08
46071,Thorntown,IN,Boone County,33.08
46072,Tipton,IN,Tipton County,33.08
47390,Union City,IN,Randolph County,34.02
46989,Upland,IN,Grant County,34.02
46383,Valparaiso,IN,Porter County,44.63
47987,Veedersburg,IN,Fountain County,33.08
46182,Waldron,IN,Shelby County,33.08
46580,Warsaw,IN,Kosciusko County,33.08
47989,Waveland,IN,Montgomery County,33.08
47990,Waynetown,IN,Montgomery County,33.08
47991,West Lebanon,IN,Warren County,33.08
46391,Westville,IN,Laporte County,33.08
47993,Williamsport,IN,Warren County,33.08
47394,Winchester,IN,Randolph County,34.02
46076,Windfall,IN,Tipton County,33.08
47994,Wingate,IN,Montgomery County,33.08
47396,Yorktown,IN,Delaware County,34.02
46077,Zionsville,IN,Boone County,33.08
