zip,city,state,county,payout
67005,Arkansas City,KS,Cowley County,34.02
66712,Arma,KS,Crawford County,44.63
66002,Atchison,KS,Atchison County,44.63
66007,Basehor,KS,Leavenworth County,44.63
66010,Blue Mound,KS,Linn County,44.63
66012,Bonner Springs,KS,Wyandotte County,44.63
66013,Bucyrus,KS,Johnson County,44.63
67022,Caldwell,KS,Sumner County,34.02
66018,De Soto,KS,Johnson County,44.63
66020,Easton,KS,Leavenworth County,44.63
66021,Edgerton,KS,Johnson County,44.63
66023,Effingham,KS,Atchison County,44.63
66851,Florence,KS,Marion County,34.02
66026,Fontana,KS,Miami County,44.63
66027,Fort Leavenworth,KS,Leavenworth County,44.63
66030,Gardner,KS,Johnson County,44.63
66434,Hiawatha,KS,Brown County,44.63
67501,Hutchinson,KS,Reno County,34.02
66109,Kansas City,KS,Wyandotte County,44.63
66041,Lancaster,KS,Atchison County,44.63
66043,Lansing,KS,Leavenworth County,44.63
66048,Leavenworth,KS,Leavenworth County,44.63
66211,Leawood,KS,Johnson County,44.63
66215,Lenexa,KS,Johnson County,44.63
66052,Linwood,KS,Leavenworth County,44.63
66053,Louisburg,KS,Miami County,44.63
66054,Mc Louth,KS,Jefferson County,44.63
66031,New Century,KS,Johnson County,44.63
66060,Nortonville,KS,Jefferson County,44.63
66061,Olathe,KS,Johnson County,44.63
66062,Olathe,KS,Johnson County,44.63
66063,Olathe,KS,Johnson County,44.63
66064,Osawatomie,KS,Miami County,44.63
66067,Ottawa,KS,Franklin County,44.63
66204,Overland Park,KS,Johnson County,44.63
66212,Overland Park,KS,Johnson County,44.63
66223,Overland Park,KS,Johnson County,44.63
66071,Paola,KS,Miami County,44.63
66075,Pleasanton,KS,Linn County,44.63
66208,Prairie Village,KS,Johnson County,44.63
66203,Shawnee,KS,Johnson County,44.63
66216,Shawnee,KS,Johnson County,44.63
66218,Shawnee,KS,Johnson County,44.63
66226,Shawnee,KS,Johnson County,44.63
66083,Spring Hill,KS,Johnson County,44.63
66085,Stilwell,KS,Johnson County,44.63
66086,Tonganoxie,KS,Leavenworth County,44.63
66603,Topeka,KS,Shawnee County,44.63
66090,Wathena,KS,Doniphan County,44.63
67203,Wichita,KS,Sedgwick County,34.02
67205,Wichita,KS,Sedgwick County,34.02
67209,Wichita,KS,Sedgwick County,34.02
67211,Wichita,KS,Sedgwick County,34.02
67216,Wichita,KS,Sedgwick County,34.02
67235,Wichita,KS,Sedgwick County,34.02
66097,Winchester,KS,Jefferson County,44.63
