zip,city,state,county,payout
41311,Beattyville,KY,Lee County,33.08
42712,Big Clifty,KY,Grayson County,33.08
41005,Burlington,KY,Boone County,33.08
41301,Campton,KY,Wolfe County,34.02
42728,Columbia,KY,Adair County,33.08
41011,Covington,KY,Kenton County,33.08
40026,Goshen,KY,Oldham County,33.08
40027,Harrods Creek,KY,Jefferson County,33.08
40334,Hope,KY,Bath County,33.08
40336,Irvine,KY,Estill County,33.08
40502,Lexington,KY,Fayette County,33.08
40505,Lexington,KY,Fayette County,33.08
40509,Lexington,KY,Fayette County,33.08
40511,Lexington,KY,Fayette County,34.02
40513,Lexington,KY,Fayette County,34.02
40514,Lexington,KY,Fayette County,34.02
40517,Lexington,KY,Fayette County,33.08
40741,London,KY,Laurel County,33.08
40201,Louisville,KY,Jefferson County,33.08
40203,Louisville,KY,Jefferson County,33.08
40207,Louisville,KY,Jefferson County,34.02
40208,Louisville,KY,Jefferson County,34.02
40211,Louisville,KY,Jefferson County,33.08
40215,Louisville,KY,Jefferson County,34.02
40216,Louisville,KY,Jefferson County,33.08
40217,Louisville,KY,Jefferson County,33.08
40220,Louisville,KY,Jefferson County,34.02
40229,Louisville,KY,Jefferson County,33.08
40245,Louisville,KY,Jefferson County,33.08
40259,Louisville,KY,Jefferson County,33.08
41056,Maysville,KY,Mason County,33.08
41059,Melbourne,KY,Campbell County,33.08
41076,Newport,KY,Campbell County,33.08
40356,Nicholasville,KY,Jessamine County,34.02
40059,Prospect,KY,Jefferson County,33.08
40472,Ravenna,KY,Estill County,33.08
40475,Richmond,KY,Madison County,33.08
40484,Stanford,KY,Lincoln County,33.08
42782,Summersville,KY,Green County,33.08
40071,Taylorsville,KY,Spencer County,33.08
41092,Verona,KY,Boone County,33.08
41095,Warsaw,KY,Gallatin County,34.02
