zip,city,state,county,payout
21710,Adamstown,MD,Frederick County,33.83
20762,Andrews Air Force Base,MD,Prince George'S County,44.63
21401,Annapolis,MD,Anne Arundel County,44.63
21404,Annapolis,MD,Anne Arundel County,44.63
20701,Annapolis Junction,MD,Anne Arundel County,44.63
20608,Aquasco,MD,Prince George'S County,44.63
21012,Arnold,MD,Anne Arundel County,44.63
20861,Ashton,MD,Montgomery County,44.63
21214,Baltimore,MD,Baltimore city,44.63
21014,Bel Air,MD,Harford County,44.63
21015,Bel Air,MD,Harford County,44.63
20704,Beltsville,MD,Prince George'S County,44.63
20705,Beltsville,MD,Prince George'S County,44.63
21811,Berlin,MD,Worcester County,44.63
20810,Bethesda,MD,Montgomery County,34.02
20814,Bethesda,MD,Montgomery County,44.63
20816,Bethesda,MD,Montgomery County,44.63
20817,Bethesda,MD,Montgomery County,44.63
20824,Bethesda,MD,Montgomery County,34.02
21813,Bishopville,MD,Worcester County,44.63
20710,Bladensburg,MD,Prince George'S County,44.63
20715,Bowie,MD,Prince George'S County,44.63
20716,Bowie,MD,Prince George'S County,44.63
20720,Bowie,MD,Prince George'S County,44.63
20721,Bowie,MD,Prince George'S County,44.63
21714,Braddock Heights,MD,Frederick County,33.83
20613,Brandywine,MD,Prince George'S County,44.63
20833,Brookeville,MD,Montgomery County,33.83
21716,Brunswick,MD,Frederick County,34.02
21717,Buckeystown,MD,Frederick County,44.63
21718,Burkittsville,MD,Frederick County,33.83
20818,Cabin John,MD,Montgomery County,44.63
20743,Capitol Heights,MD,Prince George'S County,44.63
21228,Catonsville,MD,Baltimore County,44.63
20732,Chesapeake Beach,MD,Calvert County,44.63
20815,Chevy Chase,MD,Montgomery County,44.63
20871,Clarksburg,MD,Montgomery County,44.63
21029,Clarksville,MD,Howard County,44.63
20735,Clinton,MD,Prince George'S County,44.63
21030,Cockeysville,MD,Baltimore County,44.63
20740,College Park,MD,Prince George'S County,44.63
21044,Columbia,MD,Howard County,44.63
21045,Columbia,MD,Howard County,33.83
21046,Columbia,MD,Howard County,44.63
21723,Cooksville,MD,Howard County,33.83
21114,Crofton,MD,Anne Arundel County,44.63
20872,Damascus,MD,Montgomery County,44.63
21036,Dayton,MD,Howard County,33.83
21875,Delmar,MD,Wicomico County,44.63
20842,Dickerson,MD,Montgomery County,44.63
20747,District Heights,MD,Prince George'S County,44.63
21222,Dundalk,MD,Baltimore County,44.63
21075,Elkridge,MD,Howard County,44.63
21041,Ellicott City,MD,Howard County,33.83
21042,Ellicott City,MD,Howard County,33.83
21043,Ellicott City,MD,Howard County,44.63
21727,Emmitsburg,MD,Frederick County,44.63
21048,Finksburg,MD,Carroll County,44.63
21050,Forest Hill,MD,Harford County,44.63
21051,Fork,MD,Baltimore County,44.63
20744,Fort Washington,MD,Prince George'S County,44.63
