zip,city,state,county,payout
48001,Algonac,MI,St. Clair County,44.63
48003,Almont,MI,Lapeer County,44.63
48108,Ann Arbor,MI,Washtenaw County,34.02
48401,Applegate,MI,Sanilac County,44.63
48006,Avoca,MI,St. Clair County,44.63
48114,Brighton,MI,Livingston County,34.02
48116,Brighton,MI,Livingston County,37.94
48416,Brown City,MI,Sanilac County,44.63
48014,Capac,MI,St. Clair County,44.63
48419,Carsonville,MI,Sanilac County,44.63
49033,Ceresco,MI,Calhoun County,34.14
48420,Clio,MI,Genesee County,34.02
48421,Columbiaville,MI,Lapeer County,44.63
48063,Columbus,MI,St. Clair County,44.63
48422,Croswell,MI,Sanilac County,44.63
48427,Deckerville,MI,Sanilac County,44.63
48428,Dryden,MI,Lapeer County,44.63
48054,East China,MI,St. Clair County,44.63
48022,Emmett,MI,St. Clair County,44.63
48430,Fenton,MI,Genesee County,34.02
48433,Flushing,MI,Genesee County,34.02
48059,Fort Gratiot,MI,St. Clair County,44.63
48027,Goodells,MI,St. Clair County,44.63
48439,Grand Blanc,MI,Genesee County,34.02
48440,Hadley,MI,Lapeer County,44.63
48441,Harbor Beach,MI,Huron County,44.63
48843,Howell,MI,Livingston County,34.02
48444,Imlay City,MI,Lapeer County,44.63
48032,Jeddo,MI,St. Clair County,44.63
48446,Lapeer,MI,Lapeer County,44.63
48450,Lexington,MI,Sanilac County,44.63
48451,Linden,MI,Genesee County,34.02
48154,Livonia,MI,Wayne County,34.02
48039,Marine City,MI,St. Clair County,44.63
48453,Marlette,MI,Sanilac County,44.63
48040,Marysville,MI,St. Clair County,44.63
48744,Mayville,MI,Tuscola County,44.63
48041,Memphis,MI,St. Clair County,44.63
48455,Metamora,MI,Lapeer County,44.63
48456,Minden City,MI,Sanilac County,44.63
48457,Montrose,MI,Genesee County,34.02
48460,New Lothrop,MI,Shiawassee County,34.02
48461,North Branch,MI,Lapeer County,44.63
48463,Otisville,MI,Genesee County,34.02
48466,Peck,MI,Sanilac County,44.63
48755,Pigeon,MI,Huron County,44.63
48060,Port Huron,MI,St. Clair County,44.63
48061,Port Huron,MI,St. Clair County,44.63
48469,Port Sanilac,MI,Sanilac County,44.63
48174,Romulus,MI,Wayne County,34.02
48079,Saint Clair,MI,St. Clair County,44.63
48471,Sandusky,MI,Sanilac County,44.63
48074,Smiths Creek,MI,St. Clair County,44.63
48472,Snover,MI,Sanilac County,44.63
48034,Southfield,MI,Oakland County,34.02
48473,Swartz Creek,MI,Genesee County,34.02
48180,Taylor,MI,Wayne County,34.02
48084,Troy,MI,Oakland County,34.02
48097,Yale,MI,St. Clair County,44.63
