zip,city,state,county,payout
59001,Absarokee,MT,Stillwater County,34.02
59714,Belgrade,MT,Gallatin County,34.02
59011,Big Timber,MT,Sweet Grass County,34.02
59911,Bigfork,MT,Flathead County,34.02
59101,Billings,MT,Yellowstone County,34.02
59102,Billings,MT,Yellowstone County,34.02
59632,Boulder,MT,Jefferson County,34.02
59715,Bozeman,MT,Gallatin County,34.02
59701,Butte,MT,Silver Bow County,34.02
59215,Circle,MT,Mccone County,34.02
59825,Clinton,MT,Missoula County,34.02
59912,Columbia Falls,MT,Flathead County,34.02
59019,Columbus,MT,Stillwater County,34.02
59425,Conrad,MT,Pondera County,34.02
59427,Cut Bank,MT,Glacier County,34.02
59829,Darby,MT,Ravalli County,34.02
59025,Decker,MT,Big Horn County,34.02
59722,Deer Lodge,MT,Powell County,34.02
59725,Dillon,MT,Beaverhead County,34.02
59434,East Glacier Park,MT,Glacier County,34.02
59324,Ekalaka,MT,Carter County,34.02
59729,Ennis,MT,Madison County,34.02
59917,Eureka,MT,Lincoln County,34.02
59436,Fairfield,MT,Teton County,34.02
59221,Fairview,MT,Richland County,34.02
59327,Forsyth,MT,Rosebud County,34.02
59730,Gallatin Gateway,MT,Gallatin County,34.02
59330,Glendive,MT,Dawson County,34.02
59401,Great Falls,MT,Cascade County,34.02
59405,Great Falls,MT,Cascade County,34.02
59840,Hamilton,MT,Ravalli County,34.02
59034,Hardin,MT,Big Horn County,34.02
59501,Havre,MT,Hill County,34.02
59601,Helena,MT,Lewis And Clark County,34.02
59241,Hinsdale,MT,Valley County,34.02
59452,Hobson,MT,Judith Basin County,34.02
59041,Joliet,MT,Carbon County,34.02
59901,Kalispell,MT,Flathead County,34.02
59243,Lambert,MT,Richland County,34.02
59043,Lame Deer,MT,Rosebud County,34.02
59457,Lewistown,MT,Fergus County,34.02
59923,Libby,MT,Lincoln County,34.02
59339,Lindsay,MT,Dawson County,34.02
59047,Livingston,MT,Park County,34.02
59301,Miles City,MT,Custer County,34.02
59801,Missoula,MT,Missoula County,34.02
59802,Missoula,MT,Missoula County,34.02
59804,Missoula,MT,Missoula County,34.02
59344,Plevna,MT,Fallon County,34.02
59860,Polson,MT,Lake County,34.02
59255,Poplar,MT,Roosevelt County,34.02
59068,Red Lodge,MT,Carbon County,34.02
59258,Reserve,MT,Sheridan County,34.02
59864,Ronan,MT,Lake County,34.02
59074,Ryegate,MT,Golden Valley County,34.02
59263,Scobey,MT,Daniels County,34.02
59474,Shelby,MT,Toole County,34.02
59270,Sidney,MT,Richland County,34.02
59758,West Yellowstone,MT,Gallatin County,34.02
59645,White Sulphur Springs,MT,Meagher County,34.02
59937,Whitefish,MT,Flathead County,34.02
59759,Whitehall,MT,Jefferson County,34.02
59086,Wilsall,MT,Park County,34.02
59761,Wisdom,MT,Beaverhead County,34.02
59762,Wise River,MT,Beaverhead County,34.02
59648,Wolf Creek,MT,Lewis And Clark County,34.02
59201,Wolf Point,MT,Roosevelt County,34.02
59088,Worden,MT,Yellowstone County,34.02
