zip,city,state,county,payout
68310,Beatrice,NE,Gage County,34.02
68316,Benedict,NE,York County,34.02
68008,Blair,NE,Washington County,34.02
68601,Columbus,NE,Platte County,34.02
68329,Cook,NE,Johnson County,34.02
68333,Crete,NE,Saline County,34.02
68731,Dakota City,NE,Dakota County,34.02
68338,Daykin,NE,Jefferson County,34.02
68342,Diller,NE,Jefferson County,34.02
68352,Fairbury,NE,Jefferson County,34.02
68025,Fremont,NE,Dodge County,34.02
68361,Geneva,NE,Fillmore County,34.02
68365,Grafton,NE,Fillmore County,34.02
68368,Hallam,NE,Lancaster County,34.02
68743,Jackson,NE,Dakota County,34.02
68128,La Vista,NE,Sarpy County,34.02
68643,Leigh,NE,Colfax County,34.02
68381,Liberty,NE,Gage County,34.02
68501,Lincoln,NE,Lancaster County,34.02
68502,Lincoln,NE,Lancaster County,34.02
68503,Lincoln,NE,Lancaster County,34.02
68505,Lincoln,NE,Lancaster County,34.02
68506,Lincoln,NE,Lancaster County,34.02
68510,Lincoln,NE,Lancaster County,34.02
68402,Malcolm,NE,Lancaster County,34.02
68404,Martell,NE,Lancaster County,34.02
68041,Mead,NE,Saunders County,34.02
68405,Milford,NE,Seward County,34.02
68406,Milligan,NE,Fillmore County,34.02
68410,Nebraska City,NE,Otoe County,34.02
68102,Omaha,NE,Douglas County,34.02
68104,Omaha,NE,Douglas County,34.02
68105,Omaha,NE,Douglas County,34.02
68106,Omaha,NE,Douglas County,34.02
68107,Omaha,NE,Douglas County,34.02
68108,Omaha,NE,Douglas County,34.02
68110,Omaha,NE,Douglas County,34.02
68111,Omaha,NE,Douglas County,34.02
68112,Omaha,NE,Douglas County,34.02
68116,Omaha,NE,Douglas County,34.02
68122,Omaha,NE,Douglas County,34.02
68127,Omaha,NE,Douglas County,34.02
68132,Omaha,NE,Douglas County,34.02
68134,Omaha,NE,Douglas County,34.02
68137,Omaha,NE,Douglas County,34.02
68144,Omaha,NE,Douglas County,34.02
68164,Omaha,NE,Douglas County,34.02
68651,Osceola,NE,Polk County,34.02
68046,Papillion,NE,Sarpy County,34.02
68133,Papillion,NE,Sarpy County,34.02
68420,Pawnee City,NE,Pawnee County,34.02
68421,Peru,NE,Nemaha County,34.02
68048,Plattsmouth,NE,Cass County,34.02
68424,Plymouth,NE,Jefferson County,34.02
68428,Raymond,NE,Lancaster County,34.02
68661,Schuyler,NE,Colfax County,34.02
68776,South Sioux City,NE,Dakota County,34.02
68059,Springfield,NE,Sarpy County,34.02
68443,Sterling,NE,Johnson County,34.02
68455,Union,NE,Cass County,34.02
68460,Waco,NE,York County,34.02
68463,Weeping Water,NE,Cass County,34.02
68070,Weston,NE,Saunders County,34.02
68465,Wilber,NE,Saline County,34.02
68467,York,NE,York County,34.02
