zip,city,state,county,payout
11701,Amityville,NY,Suffolk County,34.02
11702,Babylon,NY,Suffolk County,34.02
13733,Bainbridge,NY,Chenango County,34.02
11706,Bay Shore,NY,Suffolk County,34.02
11713,Bellport,NY,Suffolk County,34.02
13903,Binghamton,NY,Broome County,34.02
11716,Bohemia,NY,Suffolk County,34.02
11717,Brentwood,NY,Suffolk County,34.02
11201,Brooklyn,NY,Kings County,34.02
11207,Brooklyn,NY,Kings County,34.02
14201,Buffalo,NY,Erie County,34.02
14202,Buffalo,NY,Erie County,34.02
14206,Buffalo,NY,Erie County,34.02
14211,Buffalo,NY,Erie County,34.02
14215,Buffalo,NY,Erie County,34.02
14217,Buffalo,NY,Erie County,34.02
14219,Buffalo,NY,Erie County,34.02
14223,Buffalo,NY,Erie County,34.02
14225,Buffalo,NY,Erie County,34.02
14226,Buffalo,NY,Erie County,34.02
11933,Calverton,NY,Suffolk County,34.02
11934,Center Moriches,NY,Suffolk County,34.02
11722,Central Islip,NY,Suffolk County,34.02
11724,Cold Spring Harbor,NY,Suffolk County,34.02
11725,Commack,NY,Suffolk County,34.02
11727,Coram,NY,Suffolk County,34.02
11935,Cutchogue,NY,Suffolk County,34.02
11729,Deer Park,NY,Suffolk County,34.02
11937,East Hampton,NY,Suffolk County,34.02
11730,East Islip,NY,Suffolk County,34.02
11554,East Meadow,NY,Nassau County,34.02
11731,East Northport,NY,Suffolk County,34.02
11733,East Setauket,NY,Suffolk County,34.02
11941,Eastport,NY,Suffolk County,34.02
11735,Farmingdale,NY,Nassau County,34.02
11737,Farmingdale,NY,Nassau County,34.02
11738,Farmingville,NY,Suffolk County,34.02
11001,Floral Park,NY,Nassau County,34.02
11365,Fresh Meadows,NY,Queens County,34.02
11530,Garden City,NY,Nassau County,34.02
11021,Great Neck,NY,Nassau County,34.02
11944,Greenport,NY,Suffolk County,34.02
14075,Hamburg,NY,Erie County,34.02
11946,Hampton Bays,NY,Suffolk County,34.02
13074,Hannibal,NY,Oswego County,34.02
11801,Hicksville,NY,Nassau County,34.02
14468,Hilton,NY,Monroe County,34.02
11741,Holbrook,NY,Suffolk County,34.02
11423,Hollis,NY,Queens County,34.02
11742,Holtsville,NY,Suffolk County,34.02
11743,Huntington,NY,Suffolk County,34.02
11746,Huntington Station,NY,Suffolk County,34.02
11749,Islandia,NY,Suffolk County,34.02
11751,Islip,NY,Suffolk County,34.02
11372,Jackson Heights,NY,Queens County,34.02
11435,Jamaica,NY,Queens County,34.02
11754,Kings Park,NY,Suffolk County,34.02
11757,Lindenhurst,NY,Suffolk County,34.02
11561,Long Beach,NY,Nassau County,34.02
11101,Long Island City,NY,Queens County,34.02
11949,Manorville,NY,Suffolk County,34.02
11758,Massapequa,NY,Nassau County,34.02
11950,Mastic,NY,Suffolk County,34.02
11952,Mattituck,NY,Suffolk County,34.02
13101,Mc Graw,NY,Cortland County,34.02
11763,Medford,NY,Suffolk County,34.02
14103,Medina,NY,Orleans County,34.02
11747,Melville,NY,Suffolk County,34.02
11953,Middle Island,NY,Suffolk County,34.02
11764,Miller Place,NY,Suffolk County,34.02
11954,Montauk,NY,Suffolk County,34.02
11767,Nesconset,NY,Suffolk County,34.02
11040,New Hyde Park,NY,Nassau County,34.02
11768,Northport,NY,Suffolk County,34.02
11770,Ocean Beach,NY,Suffolk County,34.02
11572,Oceanside,NY,Nassau County,34.02
11772,Patchogue,NY,Suffolk County,34.02
10965,Pearl River,NY,Rockland County,34.02
11776,Port Jefferson Station,NY,Suffolk County,34.02
11959,Quogue,NY,Suffolk County,34.02
11901,Riverhead,NY,Suffolk County,34.02
14612,Rochester,NY,Monroe County,34.02
14616,Rochester,NY,Monroe County,34.02
14617,Rochester,NY,Monroe County,34.02
14618,Rochester,NY,Monroe County,34.02
14626,Rochester,NY,Monroe County,34.02
11779,Ronkonkoma,NY,Suffolk County,34.02
11963,Sag Harbor,NY,Suffolk County,34.02
11780,Saint James,NY,Suffolk County,34.02
11782,Sayville,NY,Suffolk County,34.02
11783,Seaford,NY,Nassau County,34.02
11784,Selden,NY,Suffolk County,34.02
11786,Shoreham,NY,Suffolk County,34.02
11787,Smithtown,NY,Suffolk County,34.02
11968,Southampton,NY,Suffolk County,34.02
10977,Spring Valley,NY,Rockland County,34.02
10301,Staten Island,NY,Richmond County,34.02
10304,Staten Island,NY,Richmond County,34.02
11790,Stony Brook,NY,Suffolk County,34.02
13224,Syracuse,NY,Onondaga County,34.02
11792,Wading River,NY,Suffolk County,34.02
14569,Warsaw,NY,Wyoming County,34.02
11704,West Babylon,NY,Suffolk County,34.02
11590,Westbury,NY,Nassau County,34.02
11978,Westhampton Beach,NY,Suffolk County,34.02
11377,Woodside,NY,Queens County,34.02
11798,Wyandanch,NY,Suffolk County,34.02
11980,Yaphank,NY,Suffolk County,34.02
