zip,city,state,county,payout
43802,Adamsville,OH,Muskingum County,33.08
44310,Akron,OH,Summit County,33.08
44313,Akron,OH,Summit County,33.08
44320,Akron,OH,Summit County,33.08
43001,Alexandria,OH,Licking County,33.08
43102,Amanda,OH,Fairfield County,33.08
43003,Ashley,OH,Delaware County,33.08
43103,Ashville,OH,Pickaway County,33.08
45701,Athens,OH,Athens County,33.08
44202,Aurora,OH,Portage County,44.63
45612,Bainbridge,OH,Ross County,33.08
43105,Baltimore,OH,Fairfield County,33.08
43106,Bloomingburg,OH,Fayette County,34.02
45617,Bourneville,OH,Ross County,33.08
43107,Bremen,OH,Fairfield County,33.08
44142,Brookpark,OH,Cuyahoga County,44.63
43725,Cambridge,OH,Guernsey County,33.08
43112,Carroll,OH,Fairfield County,33.08
45822,Celina,OH,Mercer County,33.08
43011,Centerburg,OH,Knox County,33.08
44023,Chagrin Falls,OH,Geauga County,44.63
44024,Chardon,OH,Geauga County,44.63
45601,Chillicothe,OH,Ross County,33.08
45229,Cincinnati,OH,Hamilton County,33.08
45239,Cincinnati,OH,Hamilton County,34.02
45246,Cincinnati,OH,Hamilton County,34.02
43113,Circleville,OH,Pickaway County,33.08
43115,Clarksburg,OH,Ross County,34.02
44101,Cleveland,OH,Cuyahoga County,33.08
44109,Cleveland,OH,Cuyahoga County,33.08
44110,Cleveland,OH,Cuyahoga County,33.08
44111,Cleveland,OH,Cuyahoga County,33.08
44112,Cleveland,OH,Cuyahoga County,33.08
44113,Cleveland,OH,Cuyahoga County,33.08
44118,Cleveland,OH,Cuyahoga County,44.63
44120,Cleveland,OH,Cuyahoga County,44.63
44128,Cleveland,OH,Cuyahoga County,33.08
44129,Cleveland,OH,Cuyahoga County,44.63
43202,Columbus,OH,Franklin County,33.08
43206,Columbus,OH,Franklin County,33.08
43207,Columbus,OH,Franklin County,33.08
43211,Columbus,OH,Franklin County,33.08
43214,Columbus,OH,Franklin County,33.08
43215,Columbus,OH,Franklin County,33.08
43220,Columbus,OH,Franklin County,35.48
43230,Columbus,OH,Franklin County,33.08
43811,Conesville,OH,Coshocton County,33.08
43730,Corning,OH,Perry County,33.08
43812,Coshocton,OH,Coshocton County,33.08
43731,Crooksville,OH,Perry County,33.08
43732,Cumberland,OH,Guernsey County,33.08
43014,Danville,OH,Knox County,33.08
45401,Dayton,OH,Montgomery County,33.08
45406,Dayton,OH,Montgomery County,33.08
45417,Dayton,OH,Montgomery County,33.08
45419,Dayton,OH,Montgomery County,33.08
45458,Dayton,OH,Montgomery County,33.08
43015,Delaware,OH,Delaware County,35.48
44622,Dover,OH,Tuscarawas County,33.08
43821,Dresden,OH,Muskingum County,33.08
43017,Dublin,OH,Franklin County,33.08
43734,Duncan Falls,OH,Muskingum County,33.08
43735,East Fultonham,OH,Muskingum County,33.08
44117,Euclid,OH,Cuyahoga County,33.08
44123,Euclid,OH,Cuyahoga County,33.08
45118,Fayetteville,OH,Brown County,33.08
45628,Frankfort,OH,Ross County,34.02
43822,Frazeysburg,OH,Muskingum County,33.08
43019,Fredericktown,OH,Knox County,33.08
43022,Gambier,OH,Knox County,33.08
44040,Gates Mills,OH,Cuyahoga County,44.63
43739,Glenford,OH,Perry County,33.08
45732,Glouster,OH,Athens County,33.08
43023,Granville,OH,Licking County,33.08
43740,Gratiot,OH,Licking County,33.08
43323,Harpster,OH,Wyandot County,33.08
43025,Hebron,OH,Licking County,33.08
45133,Hillsboro,OH,Highland County,33.08
44233,Hinckley,OH,Medina County,44.63
43746,Hopewell,OH,Muskingum County,33.08
44131,Independence,OH,Cuyahoga County,44.63
45335,Jamestown,OH,Greene County,33.08
43128,Jeffersonville,OH,Fayette County,33.08
43031,Johnstown,OH,Licking County,33.08
43748,Junction City,OH,Perry County,33.08
45644,Kingston,OH,Ross County,33.08
43332,La Rue,OH,Marion County,33.08
44107,Lakewood,OH,Cuyahoga County,44.63
43130,Lancaster,OH,Fairfield County,33.08
43135,Laurelville,OH,Hocking County,33.08
45036,Lebanon,OH,Warren County,33.08
43035,Lewis Center,OH,Delaware County,33.08
43138,Logan,OH,Hocking County,33.08
43140,London,OH,Madison County,34.02
44052,Lorain,OH,Lorain County,33.08
44903,Mansfield,OH,Richland County,33.08
43301,Marion,OH,Marion County,33.08
43302,Marion,OH,Marion County,33.08
43037,Martinsburg,OH,Knox County,33.08
45651,Mc Arthur,OH,Vinton County,33.08
43756,Mcconnelsville,OH,Morgan County,33.08
44256,Medina,OH,Medina County,33.08
44060,Mentor,OH,Lake County,44.63
43045,Milford Center,OH,Union County,33.08
43142,Milledgeville,OH,Fayette County,33.08
43046,Millersport,OH,Fairfield County,33.08
43337,Morral,OH,Marion County,33.08
43143,Mount Sterling,OH,Madison County,34.02
43050,Mount Vernon,OH,Knox County,33.08
45764,Nelsonville,OH,Athens County,33.08
44849,Nevada,OH,Wyandot County,33.08
43762,New Concord,OH,Muskingum County,33.08
43145,New Holland,OH,Pickaway County,33.08
43764,New Lexington,OH,Perry County,33.08
43055,Newark,OH,Licking County,33.08
43058,Newark,OH,Licking County,33.08
43832,Newcomerstown,OH,Tuscarawas County,33.08
44070,North Olmsted,OH,Cuyahoga County,44.63
44857,Norwalk,OH,Huron County,33.08
43767,Norwich,OH,Muskingum County,33.08
44138,Olmsted Falls,OH,Cuyahoga County,44.63
43146,Orient,OH,Pickaway County,33.08
43061,Ostrander,OH,Delaware County,33.08
44077,Painesville,OH,Lake County,44.63
43062,Pataskala,OH,Licking County,33.08
43771,Philo,OH,Muskingum County,33.08
45661,Piketon,OH,Pike County,34.02
43065,Powell,OH,Delaware County,33.08
43342,Prospect,OH,Marion County,33.08
43066,Radnor,OH,Delaware County,33.08
43068,Reynoldsburg,OH,Franklin County,33.08
44286,Richfield,OH,Summit County,44.63
43344,Richwood,OH,Union County,33.08
44116,Rocky River,OH,Cuyahoga County,44.63
43777,Roseville,OH,Muskingum County,33.08
43150,Rushville,OH,Fairfield County,33.08
43071,Saint Louisville,OH,Licking County,33.08
43782,Shawnee,OH,Perry County,33.08
44054,Sheffield Lake,OH,Lorain County,44.63
43783,Somerset,OH,Perry County,33.08
45066,Springboro,OH,Warren County,33.08
45502,Springfield,OH,Clark County,33.08
44224,Stow,OH,Summit County,33.08
44241,Streetsboro,OH,Portage County,44.63
44149,Strongsville,OH,Cuyahoga County,44.63
43155,Sugar Grove,OH,Fairfield County,33.08
43074,Sunbury,OH,Delaware County,33.08
45780,The Plains,OH,Athens County,33.08
43076,Thornville,OH,Perry County,33.08
43080,Utica,OH,Licking County,33.08
45377,Vandalia,OH,Montgomery County,33.08
44281,Wadsworth,OH,Medina County,44.63
43356,Waldo,OH,Marion County,33.08
43844,Warsaw,OH,Coshocton County,33.08
43160,Washington Court House,OH,Fayette County,34.02
43845,West Lafayette,OH,Coshocton County,33.08
43081,Westerville,OH,Franklin County,33.08
44092,Wickliffe,OH,Lake County,44.63
43164,Williamsport,OH,Pickaway County,33.08
43701,Zanesville,OH,Muskingum County,33.08
43702,Zanesville,OH,Muskingum County,33.08
