zip,city,state,county,payout
97901,Adrian,OR,Malheur County,34.02
97321,Albany,OR,Linn County,63.0
97322,Albany,OR,Linn County,34.3
97520,Ashland,OR,Jackson County,34.3
97814,Baker City,OR,Baker County,39.2
97621,Beatty,OR,Klamath County,39.2
97005,Beaverton,OR,Washington County,35.48
97006,Beaverton,OR,Washington County,34.02
97007,Beaverton,OR,Washington County,35.48
97701,Bend,OR,Deschutes County,44.1
97703,Bend,OR,Deschutes County,34.3
97709,Bend,OR,Deschutes County,34.3
97730,Camp Sherman,OR,Jefferson County,34.3
97014,Cascade Locks,OR,Hood River County,63.0
97502,Central Point,OR,Jackson County,44.1
97015,Clackamas,OR,Clackamas County,35.48
97330,Corvallis,OR,Benton County,63.0
97333,Corvallis,OR,Benton County,63.0
97339,Corvallis,OR,Benton County,34.3
97426,Creswell,OR,Lane County,63.0
97114,Dayton,OR,Yamhill County,63.0
97905,Durkee,OR,Baker County,34.02
97401,Eugene,OR,Lane County,63.0
97402,Eugene,OR,Lane County,35.48
97404,Eugene,OR,Lane County,63.0
97405,Eugene,OR,Lane County,34.3
97116,Forest Grove,OR,Washington County,35.48
97526,Grants Pass,OR,Josephine County,44.1
97527,Grants Pass,OR,Josephine County,34.3
97833,Haines,OR,Baker County,34.02
97834,Halfway,OR,Baker County,34.02
97348,Halsey,OR,Linn County,63.0
97446,Harrisburg,OR,Linn County,63.0
97837,Hereford,OR,Baker County,34.02
97124,Hillsboro,OR,Washington County,35.48
97031,Hood River,OR,Hood River County,63.0
97907,Huntington,OR,Baker County,34.02
97530,Jacksonville,OR,Jackson County,34.3
97352,Jefferson,OR,Marion County,34.3
97910,Jordan Valley,OR,Malheur County,34.02
97448,Junction City,OR,Lane County,63.0
97739,La Pine,OR,Deschutes County,34.3
97355,Lebanon,OR,Linn County,63.0
97367,Lincoln City,OR,Lincoln County,39.2
97452,Lowell,OR,Lane County,39.2
97453,Mapleton,OR,Lane County,63.0
97036,Marylhurst,OR,Clackamas County,35.48
97501,Medford,OR,Jackson County,44.1
97504,Medford,OR,Jackson County,34.3
97457,Myrtle Creek,OR,Douglas County,35.48
97913,Nyssa,OR,Malheur County,34.02
97914,Ontario,OR,Malheur County,34.02
97045,Oregon City,OR,Clackamas County,35.48
97370,Philomath,OR,Benton County,63.0
97535,Phoenix,OR,Jackson County,34.3
97201,Portland,OR,Multnomah County,35.48
97203,Portland,OR,Multnomah County,34.02
97209,Portland,OR,Multnomah County,35.48
97217,Portland,OR,Multnomah County,35.48
97224,Portland,OR,Washington County,35.48
97230,Portland,OR,Multnomah County,35.48
97232,Portland,OR,Multnomah County,34.02
97236,Portland,OR,Multnomah County,39.2
97266,Portland,OR,Multnomah County,35.48
97267,Portland,OR,Clackamas County,35.48
97754,Prineville,OR,Crook County,34.3
97756,Redmond,OR,Deschutes County,34.3
97467,Reedsport,OR,Douglas County,35.48
97870,Richland,OR,Baker County,34.02
97051,Saint Helens,OR,Columbia County,35.48
97301,Salem,OR,Marion County,35.48
97873,Seneca,OR,Grant County,34.02
97539,Shady Cove,OR,Jackson County,34.3
97759,Sisters,OR,Deschutes County,34.3
97478,Springfield,OR,Lane County,63.0
97386,Sweet Home,OR,Linn County,35.48
97760,Terrebonne,OR,Jefferson County,34.3
97062,Tualatin,OR,Washington County,34.3
97392,Turner,OR,Marion County,35.48
97063,Tygh Valley,OR,Wasco County,35.48
97918,Vale,OR,Malheur County,35.48
97068,West Linn,OR,Clackamas County,34.02
