zip,city,state,county,payout
57212,Arlington,SD,Kingsbury County,35.48
57717,Belle Fourche,SD,Butte County,35.48
57014,Centerville,SD,Turner County,34.02
57730,Custer,SD,Custer County,35.48
57732,Deadwood,SD,Lawrence County,35.48
57022,Dell Rapids,SD,Minnehaha County,34.02
57025,Elk Point,SD,Union County,34.02
57032,Harrisburg,SD,Lincoln County,34.02
57033,Hartford,SD,Minnehaha County,34.02
57744,Hermosa,SD,Custer County,35.48
57747,Hot Springs,SD,Fall River County,35.48
57754,Lead,SD,Lawrence County,35.48
57762,Nisland,SD,Butte County,35.48
57763,Oelrichs,SD,Fall River County,35.48
57701,Rapid City,SD,Pennington County,35.48
57703,Rapid City,SD,Pennington County,35.48
57709,Rapid City,SD,Pennington County,35.48
57103,Sioux Falls,SD,Minnehaha County,34.02
57783,Spearfish,SD,Lawrence County,35.48
57785,Sturgis,SD,Meade County,35.48
57069,Vermillion,SD,Clay County,34.02
57073,Wakonda,SD,Clay County,34.02
