zip,city,state,county,payout
75409,Anna,TX,Collin County,43.37
78702,Austin,TX,Travis County,34.02
78703,Austin,TX,Travis County,34.02
78704,Austin,TX,Travis County,34.02
78705,Austin,TX,Travis County,43.37
78717,Austin,TX,Williamson County,34.02
78721,Austin,TX,Travis County,34.02
78723,Austin,TX,Travis County,34.02
78726,Austin,TX,Travis County,34.02
78727,Austin,TX,Travis County,34.02
78728,Austin,TX,Travis County,34.02
78729,Austin,TX,Williamson County,34.02
78731,Austin,TX,Travis County,34.02
78732,Austin,TX,Travis County,34.02
78734,Austin,TX,Travis County,34.02
78735,Austin,TX,Travis County,34.02
78738,Austin,TX,Travis County,34.02
78741,Austin,TX,Travis County,34.02
78745,Austin,TX,Travis County,34.02
78746,Austin,TX,Travis County,34.02
78748,Austin,TX,Travis County,34.02
78750,Austin,TX,Travis County,34.02
78752,Austin,TX,Travis County,34.02
78753,Austin,TX,Travis County,43.37
78757,Austin,TX,Travis County,34.02
78758,Austin,TX,Travis County,34.02
78759,Austin,TX,Travis County,34.02
76021,Bedford,TX,Tarrant County,34.02
77401,Bellaire,TX,Harris County,34.02
75006,Carrollton,TX,Dallas County,43.37
75010,Carrollton,TX,Denton County,43.37
78613,Cedar Park,TX,Williamson County,34.02
75009,Celina,TX,Collin County,43.37
75201,Dallas,TX,Dallas County,34.02
75033,Frisco,TX,Denton County,43.37
78626,Georgetown,TX,Williamson County,34.02
78628,Georgetown,TX,Williamson County,34.02
78633,Georgetown,TX,Williamson County,34.02
77002,Houston,TX,Harris County,34.02
77004,Houston,TX,Harris County,34.02
77014,Houston,TX,Harris County,34.02
77060,Houston,TX,Harris County,34.02
77063,Houston,TX,Harris County,34.02
77066,Houston,TX,Harris County,34.02
77070,Houston,TX,Harris County,34.02
77084,Houston,TX,Harris County,34.02
78634,Hutto,TX,Williamson County,34.02
75038,Irving,TX,Dallas County,34.02
75039,Irving,TX,Dallas County,34.02
78641,Leander,TX,Williamson County,34.02
78645,Leander,TX,Travis County,34.02
78642,Liberty Hill,TX,Williamson County,34.02
78660,Pflugerville,TX,Travis County,34.02
75023,Plano,TX,Collin County,43.37
75024,Plano,TX,Collin County,43.37
75025,Plano,TX,Collin County,43.37
75074,Plano,TX,Collin County,43.37
75075,Plano,TX,Collin County,43.37
77406,Richmond,TX,Fort Bend County,34.02
78664,Round Rock,TX,Williamson County,34.02
78665,Round Rock,TX,Williamson County,34.02
78681,Round Rock,TX,Williamson County,34.02
78201,San Antonio,TX,Bexar County,34.02
78212,San Antonio,TX,Bexar County,34.02
78218,San Antonio,TX,Bexar County,34.02
78219,San Antonio,TX,Bexar County,34.02
78223,San Antonio,TX,Bexar County,34.58
78232,San Antonio,TX,Bexar County,34.02
78245,San Antonio,TX,Bexar County,34.02
78249,San Antonio,TX,Bexar County,34.02
78253,San Antonio,TX,Bexar County,34.02
78259,San Antonio,TX,Bexar County,34.02
78666,San Marcos,TX,Hays County,34.02
77381,Spring,TX,Montgomery County,34.02
77478,Sugar Land,TX,Fort Bend County,34.02
