zip,city,state,county,payout
84003,American Fork,UT,Utah County,34.02
84301,Bear River City,UT,Box Elder County,44.63
84713,Beaver,UT,Beaver County,34.02
84715,Bicknell,UT,Wayne County,34.02
84006,Bingham Canyon,UT,Salt Lake County,44.63
84511,Blanding,UT,San Juan County,34.02
84719,Brian Head,UT,Iron County,34.02
84302,Brigham City,UT,Box Elder County,44.63
84304,Cache Junction,UT,Cache County,44.63
84513,Castle Dale,UT,Emery County,34.02
84720,Cedar City,UT,Iron County,41.99
84721,Cedar City,UT,Iron County,87.5
84722,Central,UT,Washington County,44.63
84515,Cisco,UT,Grand County,34.02
84015,Clearfield,UT,Davis County,44.63
84017,Coalville,UT,Summit County,44.63
84307,Corinne,UT,Box Elder County,44.63
84624,Delta,UT,Millard County,34.02
84021,Duchesne,UT,Duchesne County,34.02
84022,Dugway,UT,Tooele County,34.02
84023,Dutch John,UT,Daggett County,34.02
84520,East Carbon,UT,Carbon County,34.02
84725,Enterprise,UT,Washington County,34.02
84628,Eureka,UT,Juab County,34.02
84629,Fairview,UT,Sanpete County,34.02
84311,Fielding,UT,Box Elder County,44.63
84631,Fillmore,UT,Millard County,34.02
84028,Garden City,UT,Rich County,34.02
84728,Garrison,UT,Millard County,34.02
84734,Hanksville,UT,Wayne County,34.02
84032,Heber City,UT,Wasatch County,44.63
84526,Helper,UT,Carbon County,34.02
84096,Herriman,UT,Salt Lake County,44.63
84636,Holden,UT,Millard County,34.02
84314,Honeyville,UT,Box Elder County,44.63
84315,Hooper,UT,Weber County,44.63
84316,Howell,UT,Box Elder County,44.63
84737,Hurricane,UT,Washington County,44.63
84319,Hyrum,UT,Cache County,44.63
84034,Ibapah,UT,Tooele County,34.02
84036,Kamas,UT,Summit County,44.63
84741,Kanab,UT,Kane County,34.02
84637,Kanosh,UT,Millard County,34.02
84037,Kaysville,UT,Davis County,44.63
84533,Lake Powell,UT,Kane County,34.02
84040,Layton,UT,Davis County,44.63
84747,Loa,UT,Wayne County,34.02
84321,Logan,UT,Cache County,44.63
84322,Logan,UT,Cache County,44.63
84323,Logan,UT,Cache County,44.63
84341,Logan,UT,Cache County,44.63
84044,Magna,UT,Salt Lake County,44.63
84046,Manila,UT,Daggett County,34.02
84642,Manti,UT,Sanpete County,34.02
84750,Marysvale,UT,Piute County,34.02
84644,Meadow,UT,Millard County,34.02
84049,Midway,UT,Wasatch County,34.02
84751,Milford,UT,Beaver County,34.02
84532,Moab,UT,Grand County,34.02
84754,Monroe,UT,Sevier County,34.02
84536,Monument Valley,UT,San Juan County,34.02
84646,Moroni,UT,Sanpete County,34.02
84647,Mount Pleasant,UT,Sanpete County,34.02
84648,Nephi,UT,Juab County,34.02
84054,North Salt Lake,UT,Davis County,44.63
84201,Ogden,UT,Weber County,34.02
84404,Ogden,UT,Weber County,44.63
84405,Ogden,UT,Weber County,34.02
84414,Ogden,UT,Weber County,44.63
84057,Orem,UT,Utah County,44.63
84759,Panguitch,UT,Garfield County,34.02
84060,Park City,UT,Summit County,44.63
84098,Park City,UT,Summit County,44.63
84761,Parowan,UT,Iron County,34.02
84331,Portage,UT,Box Elder County,44.63
84501,Price,UT,Carbon County,34.02
84606,Provo,UT,Utah County,44.63
84701,Richfield,UT,Sevier County,34.02
84333,Richmond,UT,Cache County,44.63
84066,Roosevelt,UT,Duchesne County,34.02
84067,Roy,UT,Weber County,44.63
84770,Saint George,UT,Washington County,44.63
84771,Saint George,UT,Washington County,34.02
84790,Saint George,UT,Washington County,44.63
84654,Salina,UT,Sevier County,34.02
84101,Salt Lake City,UT,Salt Lake County,44.63
84104,Salt Lake City,UT,Salt Lake County,87.5
84106,Salt Lake City,UT,Salt Lake County,87.5
84118,Salt Lake City,UT,Salt Lake County,44.63
84121,Salt Lake City,UT,Salt Lake County,44.63
84092,Sandy,UT,Salt Lake County,44.63
84094,Sandy,UT,Salt Lake County,44.63
84656,Scipio,UT,Millard County,34.02
84336,Snowville,UT,Box Elder County,34.02
84009,South Jordan,UT,Salt Lake County,87.5
84095,South Jordan,UT,Salt Lake County,44.63
84663,Springville,UT,Utah County,44.63
84772,Summit,UT,Iron County,34.02
84773,Teasdale,UT,Wayne County,41.99
84540,Thompson,UT,Grand County,34.02
84074,Tooele,UT,Tooele County,34.02
84337,Tremonton,UT,Box Elder County,44.63
84078,Vernal,UT,Uintah County,34.02
84780,Washington,UT,Washington County,44.63
84083,Wendover,UT,Tooele County,34.02
84088,West Jordan,UT,Salt Lake County,44.63
84119,West Valley City,UT,Salt Lake County,44.63
84120,West Valley City,UT,Salt Lake County,44.63
84128,West Valley City,UT,Salt Lake County,44.63
84086,Woodruff,UT,Rich County,34.02
