zip,city,state,county,payout
98303,Anderson Island,WA,Pierce County,44.1
99402,Asotin,WA,Asotin County,34.02
98001,Auburn,WA,King County,36.38
98002,Auburn,WA,King County,36.38
98092,Auburn,WA,King County,36.38
98321,Buckley,WA,Pierce County,44.1
98607,Camas,WA,Clark County,34.02
98532,Chehalis,WA,Lewis County,35.48
99006,Deer Park,WA,Spokane County,34.02
98539,Doty,WA,Lewis County,35.48
98020,Edmonds,WA,Snohomish County,44.63
98003,Federal Way,WA,King County,36.38
98023,Federal Way,WA,King County,36.38
98544,Galvin,WA,Lewis County,35.48
98329,Gig Harbor,WA,Pierce County,44.1
98335,Gig Harbor,WA,Pierce County,44.1
98338,Graham,WA,Pierce County,44.1
98030,Kent,WA,King County,36.38
98031,Kent,WA,King County,36.38
98042,Kent,WA,King County,36.38
98064,Kent,WA,King County,36.38
98033,Kirkland,WA,King County,36.38
98034,Kirkland,WA,King County,36.38
98503,Lacey,WA,Thurston County,36.38
98258,Lake Stevens,WA,Snohomish County,36.38
98498,Lakewood,WA,Pierce County,44.1
98499,Lakewood,WA,Pierce County,44.1
98632,Longview,WA,Cowlitz County,35.48
98036,Lynnwood,WA,Snohomish County,44.63
98037,Lynnwood,WA,Snohomish County,36.38
98837,Moses Lake,WA,Grant County,34.02
98502,Olympia,WA,Thurston County,36.38
98512,Olympia,WA,Thurston County,35.48
98516,Olympia,WA,Thurston County,36.38
98360,Orting,WA,Pierce County,44.1
98362,Port Angeles,WA,Clallam County,34.02
98370,Poulsbo,WA,Kitsap County,44.1
98371,Puyallup,WA,Pierce County,44.1
98374,Puyallup,WA,Pierce County,44.1
98375,Puyallup,WA,Pierce County,36.38
98052,Redmond,WA,King County,36.38
98056,Renton,WA,King County,34.02
99352,Richland,WA,Benton County,34.02
98642,Ridgefield,WA,Clark County,34.02
98579,Rochester,WA,Thurston County,35.48
98580,Roy,WA,Pierce County,44.1
98075,Sammamish,WA,King County,34.02
98101,Seattle,WA,King County,36.38
98115,Seattle,WA,King County,44.63
98148,Seattle,WA,King County,36.38
98166,Seattle,WA,King County,36.38
98177,Seattle,WA,King County,36.38
98198,Seattle,WA,King County,36.38
98290,Snohomish,WA,Snohomish County,34.02
98387,Spanaway,WA,Pierce County,36.38
99201,Spokane,WA,Spokane County,34.02
99202,Spokane,WA,Spokane County,34.02
99224,Spokane,WA,Spokane County,34.02
98390,Sumner,WA,Pierce County,44.1
98401,Tacoma,WA,Pierce County,44.1
98402,Tacoma,WA,Pierce County,44.1
98403,Tacoma,WA,Pierce County,44.1
98405,Tacoma,WA,Pierce County,44.1
98406,Tacoma,WA,Pierce County,35.48
98407,Tacoma,WA,Pierce County,44.1
98408,Tacoma,WA,Pierce County,44.1
98418,Tacoma,WA,Pierce County,44.1
98422,Tacoma,WA,Pierce County,36.38
98424,Tacoma,WA,Pierce County,44.1
98444,Tacoma,WA,Pierce County,36.38
98466,Tacoma,WA,Pierce County,44.1
98660,Vancouver,WA,Clark County,35.48
98661,Vancouver,WA,Clark County,35.48
98662,Vancouver,WA,Clark County,34.02
98663,Vancouver,WA,Clark County,35.48
98665,Vancouver,WA,Clark County,34.02
98682,Vancouver,WA,Clark County,34.02
98683,Vancouver,WA,Clark County,34.02
98684,Vancouver,WA,Clark County,35.48
98685,Vancouver,WA,Clark County,35.48
99362,Walla Walla,WA,Walla Walla County,34.02
98801,Wenatchee,WA,Chelan County,34.02
