zip,city,state,county,payout
53511,Beloit,WI,Rock County,34.02
53520,Brodhead,WI,Green County,34.02
53527,Cottage Grove,WI,Dane County,34.02
53532,Deforest,WI,Dane County,34.02
54703,Eau Claire,WI,Eau Claire County,34.02
53019,Eden,WI,Fond Du Lac County,34.02
53121,Elkhorn,WI,Walworth County,34.02
54124,Gillett,WI,Oconto County,34.02
54304,Green Bay,WI,Brown County,34.02
54311,Green Bay,WI,Brown County,34.02
54313,Green Bay,WI,Brown County,34.02
53032,Horicon,WI,Dodge County,34.02
53142,Kenosha,WI,Kenosha County,34.02
54848,Ladysmith,WI,Rusk County,34.02
53147,Lake Geneva,WI,Walworth County,34.02
54138,Lakewood,WI,Oconto County,34.02
53713,Madison,WI,Dane County,34.02
54855,Marengo,WI,Ashland County,34.02
54449,Marshfield,WI,Wood County,34.02
53207,Milwaukee,WI,Milwaukee County,34.02
53210,Milwaukee,WI,Milwaukee County,34.02
53211,Milwaukee,WI,Milwaukee County,34.02
53219,Milwaukee,WI,Milwaukee County,34.02
53220,Milwaukee,WI,Milwaukee County,34.02
53573,Muscoda,WI,Grant County,34.02
54902,Oshkosh,WI,Winnebago County,34.02
53403,Racine,WI,Racine County,34.02
53404,Racine,WI,Racine County,34.02
53405,Racine,WI,Racine County,34.02
54868,Rice Lake,WI,Barron County,34.02
53235,Saint Francis,WI,Milwaukee County,34.02
53085,Sheboygan Falls,WI,Sheboygan County,34.02
53089,Sussex,WI,Waukesha County,34.02
53185,Waterford,WI,Racine County,34.02
53189,Waukesha,WI,Waukesha County,34.02
53095,West Bend,WI,Washington County,34.02
