zip,city,state,county,payout
83110,Afton,WY,Lincoln County,34.02
83113,Big Piney,WY,Sublette County,34.02
82834,Buffalo,WY,Johnson County,34.02
82411,Burlington,WY,Big Horn County,34.02
82054,Carpenter,WY,Laramie County,34.02
82001,Cheyenne,WY,Laramie County,34.02
82007,Cheyenne,WY,Laramie County,34.02
82009,Cheyenne,WY,Laramie County,34.02
82835,Clearmont,WY,Sheridan County,34.02
82414,Cody,WY,Park County,34.02
83114,Cokeville,WY,Lincoln County,34.02
82513,Dubois,WY,Fremont County,34.02
82930,Evanston,WY,Uinta County,44.63
82932,Farson,WY,Sweetwater County,44.63
83120,Freedom,WY,Lincoln County,34.02
82716,Gillette,WY,Campbell County,34.02
82718,Gillette,WY,Campbell County,34.02
82935,Green River,WY,Sweetwater County,44.63
82426,Greybull,WY,Big Horn County,34.02
82720,Hulett,WY,Crook County,34.02
83001,Jackson,WY,Teton County,34.02
83101,Kemmerer,WY,Lincoln County,44.63
82520,Lander,WY,Fremont County,34.02
82070,Laramie,WY,Albany County,34.02
82431,Lovell,WY,Big Horn County,34.02
82937,Lyman,WY,Uinta County,44.63
82432,Manderson,WY,Big Horn County,34.02
82938,Mc Kinnon,WY,Sweetwater County,44.63
82433,Meeteetse,WY,Park County,34.02
82721,Moorcroft,WY,Crook County,34.02
83013,Moran,WY,Teton County,34.02
82941,Pinedale,WY,Sublette County,34.02
82435,Powell,WY,Park County,34.02
82501,Riverton,WY,Fremont County,34.02
82901,Rock Springs,WY,Sweetwater County,44.63
82902,Rock Springs,WY,Sweetwater County,44.63
82729,Sundance,WY,Crook County,34.02
82443,Thermopolis,WY,Hot Springs County,34.02
82844,Wolf,WY,Sheridan County,34.02
82401,Worland,WY,Washakie County,34.02
82190,Yellowstone National Park,WY,Park County,34.02
