zip,city,state,county,payout
72820,Alix,AR,Franklin County,179.0
72921,Alma,AR,Crawford County,179.0
72611,Alpena,AR,Carroll County,179.0
72821,Altus,AR,Franklin County,179.0
72923,Barling,AR,Sebastian County,179.0
72714,Bella Vista,AR,Benton County,179.0
72715,Bella Vista,AR,Benton County,179.0
72824,Belleville,AR,Yell County,179.0
72712,Bentonville,AR,Benton County,179.0
72616,Berryville,AR,Carroll County,179.0
72826,Blue Mountain,AR,Logan County,179.0
72927,Booneville,AR,Logan County,179.0
72928,Branch,AR,Franklin County,179.0
72717,Canehill,AR,Washington County,179.0
72718,Cave Springs,AR,Benton County,179.0
72930,Cecil,AR,Franklin County,179.0
72932,Cedarville,AR,Crawford County,179.0
72719,Centerton,AR,Benton County,179.0
72933,Charleston,AR,Franklin County,179.0
72934,Chester,AR,Crawford County,179.0
72830,Clarksville,AR,Johnson County,179.0
72832,Coal Hill,AR,Johnson County,179.0
72721,Combs,AR,Madison County,179.0
72624,Compton,AR,Newton County,179.0
72833,Danville,AR,Yell County,179.0
72834,Dardanelle,AR,Yell County,179.0
72722,Decatur,AR,Benton County,179.0
72628,Deer,AR,Newton County,179.0
72835,Delaware,AR,Logan County,179.0
72837,Dover,AR,Pope County,179.0
72935,Dyer,AR,Crawford County,179.0
72727,Elkins,AR,Washington County,179.0
72631,Eureka Springs,AR,Carroll County,179.0
72632,Eureka Springs,AR,Carroll County,179.0
72729,Evansville,AR,Washington County,179.0
72730,Farmington,AR,Washington County,179.0
72701,Fayetteville,AR,Washington County,179.0
72703,Fayetteville,AR,Washington County,179.0
72704,Fayetteville,AR,Washington County,179.0
72901,Fort Smith,AR,Sebastian County,179.0
72903,Fort Smith,AR,Sebastian County,179.0
72904,Fort Smith,AR,Sebastian County,179.0
72905,Fort Smith,AR,Sebastian County,179.0
72908,Fort Smith,AR,Sebastian County,179.0
72916,Fort Smith,AR,Sebastian County,179.0
72732,Garfield,AR,Benton County,179.0
72734,Gentry,AR,Benton County,179.0
72736,Gravette,AR,Benton County,179.0
72638,Green Forest,AR,Carroll County,179.0
72936,Greenwood,AR,Sebastian County,179.0
72937,Hackett,AR,Sebastian County,179.0
72839,Hagarville,AR,Johnson County,179.0
72601,Harrison,AR,Boone County,179.0
72840,Hartman,AR,Johnson County,179.0
72640,Hasty,AR,Newton County,179.0
72842,Havana,AR,Yell County,179.0
72738,Hindsville,AR,Madison County,179.0
72739,Hiwasse,AR,Benton County,179.0
72940,Huntington,AR,Sebastian County,179.0
72740,Huntsville,AR,Madison County,179.0
72641,Jasper,AR,Newton County,179.0
72742,Kingston,AR,Madison County,179.0
72845,Knoxville,AR,Johnson County,179.0
72846,Lamar,AR,Johnson County,179.0
72941,Lavaca,AR,Sebastian County,179.0
72644,Lead Hill,AR,Boone County,179.0
72744,Lincoln,AR,Washington County,179.0
72847,London,AR,Pope County,179.0
72745,Lowell,AR,Benton County,179.0
72943,Magazine,AR,Logan County,179.0
72648,Marble Falls,AR,Newton County,179.0
72747,Maysville,AR,Benton County,179.0
72749,Morrow,AR,Washington County,179.0
72655,Mount Judea,AR,Newton County,179.0
72946,Mountainburg,AR,Crawford County,179.0
72947,Mulberry,AR,Crawford County,179.0
72948,Natural Dam,AR,Crawford County,179.0
72851,New Blaine,AR,Logan County,179.0
72660,Oak Grove,AR,Carroll County,179.0
72852,Oark,AR,Johnson County,179.0
72662,Omaha,AR,Boone County,179.0
72949,Ozark,AR,Franklin County,179.0
72854,Ozone,AR,Johnson County,179.0
72855,Paris,AR,Logan County,179.0
72666,Parthenon,AR,Newton County,179.0
72751,Pea Ridge,AR,Benton County,179.0
72856,Pelsor,AR,Newton County,179.0
72752,Pettigrew,AR,Madison County,179.0
72670,Ponca,AR,Newton County,179.0
72858,Pottsville,AR,Pope County,179.0
72753,Prairie Grove,AR,Washington County,179.0
72951,Ratcliff,AR,Logan County,179.0
72756,Rogers,AR,Benton County,179.0
72758,Rogers,AR,Benton County,179.0
72952,Rudy,AR,Crawford County,179.0
72801,Russellville,AR,Pope County,179.0
72802,Russellville,AR,Pope County,179.0
72760,Saint Paul,AR,Madison County,179.0
72863,Scranton,AR,Logan County,179.0
72761,Siloam Springs,AR,Benton County,179.0
72762,Springdale,AR,Washington County,179.0
72764,Springdale,AR,Washington County,179.0
72865,Subiaco,AR,Logan County,179.0
72768,Sulphur Springs,AR,Benton County,179.0
72769,Summers,AR,Washington County,179.0
72955,Uniontown,AR,Crawford County,179.0
72956,Van Buren,AR,Crawford County,179.0
72683,Vendor,AR,Newton County,179.0
72773,Wesley,AR,Madison County,179.0
72774,West Fork,AR,Washington County,179.0
72685,Western Grove,AR,Newton County,179.0
72959,Winslow,AR,Washington County,179.0
72776,Witter,AR,Madison County,179.0
