zip,city,state,county,payout
85320,Aguila,AZ,Maricopa County,195.0
85119,Apache Junction,AZ,Pinal County,195.0
85322,Arlington,AZ,Maricopa County,195.0
85323,Avondale,AZ,Maricopa County,195.0
85392,Avondale,AZ,Maricopa County,195.0
85326,Buckeye,AZ,Maricopa County,195.0
85396,Buckeye,AZ,Maricopa County,195.0
85377,Carefree,AZ,Maricopa County,195.0
85329,Cashion,AZ,Maricopa County,195.0
85327,Cave Creek,AZ,Maricopa County,195.0
85331,Cave Creek,AZ,Maricopa County,195.0
85244,Chandler,AZ,Maricopa County,195.0
85246,Chandler,AZ,Maricopa County,195.0
85127,Chandler Heights,AZ,Maricopa County,195.0
85335,El Mirage,AZ,Maricopa County,195.0
85264,Fort Mcdowell,AZ,Maricopa County,195.0
85268,Fountain Hills,AZ,Maricopa County,195.0
85269,Fountain Hills,AZ,Maricopa County,195.0
85337,Gila Bend,AZ,Maricopa County,195.0
85301,Glendale,AZ,Maricopa County,195.0
85302,Glendale,AZ,Maricopa County,195.0
85303,Glendale,AZ,Maricopa County,195.0
85304,Glendale,AZ,Maricopa County,195.0
85305,Glendale,AZ,Maricopa County,195.0
85306,Glendale,AZ,Maricopa County,195.0
85307,Glendale,AZ,Maricopa County,195.0
85308,Glendale,AZ,Maricopa County,195.0
85310,Glendale,AZ,Maricopa County,195.0
85311,Glendale,AZ,Maricopa County,195.0
85312,Glendale,AZ,Maricopa County,195.0
85318,Glendale,AZ,Maricopa County,195.0
85338,Goodyear,AZ,Maricopa County,195.0
85395,Goodyear,AZ,Maricopa County,195.0
85236,Higley,AZ,Maricopa County,195.0
85340,Litchfield Park,AZ,Maricopa County,195.0
85309,Luke Air Force Base,AZ,Maricopa County,195.0
85201,Mesa,AZ,Maricopa County,195.0
85203,Mesa,AZ,Maricopa County,195.0
85207,Mesa,AZ,Maricopa County,195.0
85211,Mesa,AZ,Maricopa County,195.0
85213,Mesa,AZ,Maricopa County,195.0
85214,Mesa,AZ,Maricopa County,195.0
85215,Mesa,AZ,Maricopa County,195.0
85216,Mesa,AZ,Maricopa County,195.0
85274,Mesa,AZ,Maricopa County,195.0
85275,Mesa,AZ,Maricopa County,195.0
85277,Mesa,AZ,Maricopa County,195.0
85342,Morristown,AZ,Maricopa County,195.0
85087,New River,AZ,Maricopa County,195.0
85343,Palo Verde,AZ,Maricopa County,195.0
85253,Paradise Valley,AZ,Maricopa County,195.0
85345,Peoria,AZ,Maricopa County,195.0
85380,Peoria,AZ,Maricopa County,195.0
85381,Peoria,AZ,Maricopa County,195.0
85382,Peoria,AZ,Maricopa County,195.0
85383,Peoria,AZ,Maricopa County,195.0
85385,Peoria,AZ,Maricopa County,195.0
85001,Phoenix,AZ,Maricopa County,195.0
85002,Phoenix,AZ,Maricopa County,195.0
85005,Phoenix,AZ,Maricopa County,195.0
85008,Phoenix,AZ,Maricopa County,195.0
85009,Phoenix,AZ,Maricopa County,195.0
85010,Phoenix,AZ,Maricopa County,195.0
85011,Phoenix,AZ,Maricopa County,195.0
85012,Phoenix,AZ,Maricopa County,195.0
85013,Phoenix,AZ,Maricopa County,195.0
85014,Phoenix,AZ,Maricopa County,195.0
85015,Phoenix,AZ,Maricopa County,195.0
85016,Phoenix,AZ,Maricopa County,195.0
85017,Phoenix,AZ,Maricopa County,195.0
85018,Phoenix,AZ,Maricopa County,195.0
85019,Phoenix,AZ,Maricopa County,195.0
85020,Phoenix,AZ,Maricopa County,195.0
85021,Phoenix,AZ,Maricopa County,195.0
85022,Phoenix,AZ,Maricopa County,195.0
85023,Phoenix,AZ,Maricopa County,195.0
85024,Phoenix,AZ,Maricopa County,195.0
85025,Phoenix,AZ,Maricopa County,195.0
85026,Phoenix,AZ,Maricopa County,195.0
85027,Phoenix,AZ,Maricopa County,195.0
85028,Phoenix,AZ,Maricopa County,195.0
85029,Phoenix,AZ,Maricopa County,195.0
85030,Phoenix,AZ,Maricopa County,195.0
85031,Phoenix,AZ,Maricopa County,195.0
85032,Phoenix,AZ,Maricopa County,195.0
85033,Phoenix,AZ,Maricopa County,195.0
85035,Phoenix,AZ,Maricopa County,195.0
85036,Phoenix,AZ,Maricopa County,195.0
85037,Phoenix,AZ,Maricopa County,195.0
85038,Phoenix,AZ,Maricopa County,195.0
85039,Phoenix,AZ,Maricopa County,195.0
85043,Phoenix,AZ,Maricopa County,195.0
85050,Phoenix,AZ,Maricopa County,195.0
85054,Phoenix,AZ,Maricopa County,195.0
85060,Phoenix,AZ,Maricopa County,195.0
85061,Phoenix,AZ,Maricopa County,195.0
85062,Phoenix,AZ,Maricopa County,195.0
85063,Phoenix,AZ,Maricopa County,195.0
85064,Phoenix,AZ,Maricopa County,195.0
85065,Phoenix,AZ,Maricopa County,195.0
85067,Phoenix,AZ,Maricopa County,195.0
85068,Phoenix,AZ,Maricopa County,195.0
85069,Phoenix,AZ,Maricopa County,195.0
85070,Phoenix,AZ,Maricopa County,195.0
85071,Phoenix,AZ,Maricopa County,195.0
85072,Phoenix,AZ,Maricopa County,195.0
85073,Phoenix,AZ,Maricopa County,195.0
85074,Phoenix,AZ,Maricopa County,195.0
85075,Phoenix,AZ,Maricopa County,195.0
85076,Phoenix,AZ,Maricopa County,195.0
85078,Phoenix,AZ,Maricopa County,195.0
85079,Phoenix,AZ,Maricopa County,195.0
85080,Phoenix,AZ,Maricopa County,195.0
85082,Phoenix,AZ,Maricopa County,195.0
85083,Phoenix,AZ,Maricopa County,195.0
85085,Phoenix,AZ,Maricopa County,195.0
85086,Phoenix,AZ,Maricopa County,195.0
85097,Phoenix,AZ,Maricopa County,195.0
85098,Phoenix,AZ,Maricopa County,195.0
85263,Rio Verde,AZ,Maricopa County,195.0
85250,Scottsdale,AZ,Maricopa County,195.0
85251,Scottsdale,AZ,Maricopa County,195.0
85252,Scottsdale,AZ,Maricopa County,195.0
85254,Scottsdale,AZ,Maricopa County,195.0
85255,Scottsdale,AZ,Maricopa County,195.0
85256,Scottsdale,AZ,Maricopa County,195.0
85257,Scottsdale,AZ,Maricopa County,195.0
85258,Scottsdale,AZ,Maricopa County,195.0
85259,Scottsdale,AZ,Maricopa County,195.0
85260,Scottsdale,AZ,Maricopa County,195.0
85261,Scottsdale,AZ,Maricopa County,195.0
85262,Scottsdale,AZ,Maricopa County,195.0
85266,Scottsdale,AZ,Maricopa County,195.0
85267,Scottsdale,AZ,Maricopa County,195.0
85271,Scottsdale,AZ,Maricopa County,195.0
85351,Sun City,AZ,Maricopa County,195.0
85372,Sun City,AZ,Maricopa County,195.0
85373,Sun City,AZ,Maricopa County,195.0
