zip,city,state,county,payout
95220,Acampo,CA,San Joaquin County,222.0
93510,Acton,CA,Los Angeles County,189.0
92301,Adelanto,CA,San Bernardino County,195.0
91301,Agoura Hills,CA,Los Angeles County,189.0
91376,Agoura Hills,CA,Los Angeles County,189.0
92536,Aguanga,CA,Riverside County,210.5
93601,Ahwahnee,CA,Madera County,203.0
94501,Alameda,CA,Alameda County,222.0
94502,Alameda,CA,Alameda County,222.0
94507,Alamo,CA,Contra Costa County,222.0
94706,Albany,CA,Alameda County,222.0
95701,Alta,CA,Placer County,210.5
95221,Altaville,CA,Calaveras County,210.5
95002,Alviso,CA,Santa Clara County,222.0
95601,Amador City,CA,Amador County,203.0
94503,American Canyon,CA,Napa County,210.5
95222,Angels Camp,CA,Calaveras County,210.5
92305,Angelus Oaks,CA,San Bernardino County,195.0
94508,Angwin,CA,Napa County,210.5
95412,Annapolis,CA,Sonoma County,222.0
95843,Antelope,CA,Sacramento County,222.0
94509,Antioch,CA,Contra Costa County,222.0
94531,Antioch,CA,Contra Costa County,222.0
92539,Anza,CA,Riverside County,210.5
92308,Apple Valley,CA,San Bernardino County,195.0
95703,Applegate,CA,Placer County,210.5
95001,Aptos,CA,Santa Cruz County,197.5
95003,Aptos,CA,Santa Cruz County,197.5
95223,Arnold,CA,Calaveras County,210.5
95004,Aromas,CA,Monterey County,210.5
93203,Arvin,CA,Kern County,195.0
94027,Atherton,CA,San Mateo County,222.0
95301,Atwater,CA,Merced County,210.5
93602,Auberry,CA,Fresno County,203.0
95602,Auburn,CA,Placer County,210.5
95603,Auburn,CA,Placer County,210.5
95604,Auburn,CA,Placer County,210.5
95224,Avery,CA,Calaveras County,210.5
95303,Ballico,CA,Merced County,210.5
92220,Banning,CA,Riverside County,210.5
93604,Bass Lake,CA,Madera County,203.0
95903,Beale Afb,CA,Yuba County,203.0
92223,Beaumont,CA,Riverside County,210.5
94002,Belmont,CA,San Mateo County,222.0
94920,Belvedere Tiburon,CA,Marin County,210.5
