zip,city,state,county,payout
20373,Naval Anacost Annex,DC,District Of Columbia County,187.0
56901,Parcel Return Service,DC,District Of Columbia County,187.0
56902,Parcel Return Service,DC,District Of Columbia County,187.0
56904,Parcel Return Service,DC,District Of Columbia County,187.0
56915,Parcel Return Service,DC,District Of Columbia County,187.0
56920,Parcel Return Service,DC,District Of Columbia County,187.0
56933,Parcel Return Service,DC,District Of Columbia County,187.0
56944,Parcel Return Service,DC,District Of Columbia County,187.0
56945,Parcel Return Service,DC,District Of Columbia County,187.0
56950,Parcel Return Service,DC,District Of Columbia County,187.0
56965,Parcel Return Service,DC,District Of Columbia County,187.0
56972,Parcel Return Service,DC,District Of Columbia County,187.0
20001,Washington,DC,District Of Columbia County,187.0
20002,Washington,DC,District Of Columbia County,187.0
20003,Washington,DC,District Of Columbia County,187.0
20004,Washington,DC,District Of Columbia County,187.0
20005,Washington,DC,District Of Columbia County,187.0
20006,Washington,DC,District Of Columbia County,187.0
20007,Washington,DC,District Of Columbia County,187.0
20008,Washington,DC,District Of Columbia County,187.0
20009,Washington,DC,District Of Columbia County,187.0
20010,Washington,DC,District Of Columbia County,187.0
20011,Washington,DC,District Of Columbia County,187.0
20012,Washington,DC,District Of Columbia County,187.0
20013,Washington,DC,District Of Columbia County,187.0
20015,Washington,DC,District Of Columbia County,187.0
20016,Washington,DC,District Of Columbia County,187.0
20017,Washington,DC,District Of Columbia County,187.0
20018,Washington,DC,District Of Columbia County,187.0
20019,Washington,DC,District Of Columbia County,187.0
20020,Washington,DC,District Of Columbia County,187.0
20022,Washington,DC,District Of Columbia County,187.0
20024,Washington,DC,District Of Columbia County,187.0
20026,Washington,DC,District Of Columbia County,187.0
20027,Washington,DC,District Of Columbia County,187.0
20029,Washington,DC,District Of Columbia County,187.0
20030,Washington,DC,District Of Columbia County,187.0
20032,Washington,DC,District Of Columbia County,187.0
20033,Washington,DC,District Of Columbia County,187.0
20035,Washington,DC,District Of Columbia County,187.0
20036,Washington,DC,District Of Columbia County,187.0
20037,Washington,DC,District Of Columbia County,187.0
20038,Washington,DC,District Of Columbia County,187.0
20039,Washington,DC,District Of Columbia County,187.0
20040,Washington,DC,District Of Columbia County,187.0
20041,Washington,DC,District Of Columbia County,187.0
20042,Washington,DC,District Of Columbia County,187.0
20043,Washington,DC,District Of Columbia County,187.0
20044,Washington,DC,District Of Columbia County,187.0
20045,Washington,DC,District Of Columbia County,187.0
20047,Washington,DC,District Of Columbia County,187.0
20049,Washington,DC,District Of Columbia County,187.0
20050,Washington,DC,District Of Columbia County,187.0
20052,Washington,DC,District Of Columbia County,187.0
20053,Washington,DC,District Of Columbia County,187.0
20055,Washington,DC,District Of Columbia County,187.0
20056,Washington,DC,District Of Columbia County,187.0
20057,Washington,DC,District Of Columbia County,187.0
20058,Washington,DC,District Of Columbia County,187.0
20059,Washington,DC,District Of Columbia County,187.0
20060,Washington,DC,District Of Columbia County,187.0
20061,Washington,DC,District Of Columbia County,187.0
20062,Washington,DC,District Of Columbia County,187.0
20063,Washington,DC,District Of Columbia County,187.0
20064,Washington,DC,District Of Columbia County,187.0
20065,Washington,DC,District Of Columbia County,187.0
20066,Washington,DC,District Of Columbia County,187.0
20067,Washington,DC,District Of Columbia County,187.0
20068,Washington,DC,District Of Columbia County,187.0
20069,Washington,DC,District Of Columbia County,187.0
20070,Washington,DC,District Of Columbia County,187.0
20071,Washington,DC,District Of Columbia County,187.0
20073,Washington,DC,District Of Columbia County,187.0
20074,Washington,DC,District Of Columbia County,187.0
20075,Washington,DC,District Of Columbia County,187.0
20076,Washington,DC,District Of Columbia County,187.0
20077,Washington,DC,District Of Columbia County,187.0
20078,Washington,DC,District Of Columbia County,187.0
20080,Washington,DC,District Of Columbia County,187.0
20081,Washington,DC,District Of Columbia County,187.0
20082,Washington,DC,District Of Columbia County,187.0
20090,Washington,DC,District Of Columbia County,187.0
20091,Washington,DC,District Of Columbia County,187.0
20201,Washington,DC,District Of Columbia County,187.0
20202,Washington,DC,District Of Columbia County,187.0
20203,Washington,DC,District Of Columbia County,187.0
20204,Washington,DC,District Of Columbia County,187.0
20206,Washington,DC,District Of Columbia County,187.0
20207,Washington,DC,District Of Columbia County,187.0
20208,Washington,DC,District Of Columbia County,187.0
20210,Washington,DC,District Of Columbia County,187.0
20211,Washington,DC,District Of Columbia County,187.0
20212,Washington,DC,District Of Columbia County,187.0
20213,Washington,DC,District Of Columbia County,187.0
20214,Washington,DC,District Of Columbia County,187.0
20215,Washington,DC,District Of Columbia County,187.0
20216,Washington,DC,District Of Columbia County,187.0
20217,Washington,DC,District Of Columbia County,187.0
20218,Washington,DC,District Of Columbia County,187.0
20219,Washington,DC,District Of Columbia County,187.0
20220,Washington,DC,District Of Columbia County,187.0
20221,Washington,DC,District Of Columbia County,187.0
20222,Washington,DC,District Of Columbia County,187.0
20223,Washington,DC,District Of Columbia County,187.0
20224,Washington,DC,District Of Columbia County,187.0
20226,Washington,DC,District Of Columbia County,187.0
20227,Washington,DC,District Of Columbia County,187.0
20228,Washington,DC,District Of Columbia County,187.0
20229,Washington,DC,District Of Columbia County,187.0
20230,Washington,DC,District Of Columbia County,187.0
20232,Washington,DC,District Of Columbia County,187.0
20233,Washington,DC,District Of Columbia County,187.0
20235,Washington,DC,District Of Columbia County,187.0
20237,Washington,DC,District Of Columbia County,187.0
20238,Washington,DC,District Of Columbia County,187.0
20239,Washington,DC,District Of Columbia County,187.0
20240,Washington,DC,District Of Columbia County,187.0
20241,Washington,DC,District Of Columbia County,187.0
20242,Washington,DC,District Of Columbia County,187.0
20244,Washington,DC,District Of Columbia County,187.0
20245,Washington,DC,District Of Columbia County,187.0
20250,Washington,DC,District Of Columbia County,187.0
20251,Washington,DC,District Of Columbia County,187.0
20254,Washington,DC,District Of Columbia County,187.0
20260,Washington,DC,District Of Columbia County,187.0
20261,Washington,DC,District Of Columbia County,187.0
20262,Washington,DC,District Of Columbia County,187.0
20265,Washington,DC,District Of Columbia County,187.0
20266,Washington,DC,District Of Columbia County,187.0
20268,Washington,DC,District Of Columbia County,187.0
20270,Washington,DC,District Of Columbia County,187.0
20277,Washington,DC,District Of Columbia County,187.0
20289,Washington,DC,District Of Columbia County,187.0
20299,Washington,DC,District Of Columbia County,187.0
20301,Washington,DC,District Of Columbia County,187.0
20303,Washington,DC,District Of Columbia County,187.0
20306,Washington,DC,District Of Columbia County,187.0
20310,Washington,DC,District Of Columbia County,187.0
20314,Washington,DC,District Of Columbia County,187.0
20317,Washington,DC,District Of Columbia County,187.0
20318,Washington,DC,District Of Columbia County,187.0
20319,Washington,DC,District Of Columbia County,187.0
20330,Washington,DC,District Of Columbia County,187.0
20340,Washington,DC,District Of Columbia County,187.0
20350,Washington,DC,District Of Columbia County,187.0
20355,Washington,DC,District Of Columbia County,187.0
20370,Washington,DC,District Of Columbia County,187.0
20372,Washington,DC,District Of Columbia County,187.0
20375,Washington,DC,District Of Columbia County,187.0
20380,Washington,DC,District Of Columbia County,187.0
20389,Washington,DC,District Of Columbia County,187.0
20390,Washington,DC,District Of Columbia County,187.0
20392,Washington,DC,District Of Columbia County,187.0
20393,Washington,DC,District Of Columbia County,187.0
20394,Washington,DC,District Of Columbia County,187.0
20395,Washington,DC,District Of Columbia County,187.0
20401,Washington,DC,District Of Columbia County,187.0
20402,Washington,DC,District Of Columbia County,187.0
20403,Washington,DC,District Of Columbia County,187.0
20404,Washington,DC,District Of Columbia County,187.0
20405,Washington,DC,District Of Columbia County,187.0
20406,Washington,DC,District Of Columbia County,187.0
20407,Washington,DC,District Of Columbia County,187.0
20408,Washington,DC,District Of Columbia County,187.0
20409,Washington,DC,District Of Columbia County,187.0
20410,Washington,DC,District Of Columbia County,187.0
20411,Washington,DC,District Of Columbia County,187.0
20412,Washington,DC,District Of Columbia County,187.0
20413,Washington,DC,District Of Columbia County,187.0
20414,Washington,DC,District Of Columbia County,187.0
20415,Washington,DC,District Of Columbia County,187.0
20416,Washington,DC,District Of Columbia County,187.0
20417,Washington,DC,District of Columbia Statewide,187.0
20418,Washington,DC,District Of Columbia County,187.0
20419,Washington,DC,District Of Columbia County,187.0
20420,Washington,DC,District Of Columbia County,187.0
20421,Washington,DC,District Of Columbia County,187.0
20422,Washington,DC,District Of Columbia County,187.0
20423,Washington,DC,District Of Columbia County,187.0
20424,Washington,DC,District Of Columbia County,187.0
20425,Washington,DC,District Of Columbia County,187.0
20426,Washington,DC,District Of Columbia County,187.0
20427,Washington,DC,District Of Columbia County,187.0
20428,Washington,DC,District Of Columbia County,187.0
20429,Washington,DC,District Of Columbia County,187.0
20431,Washington,DC,District Of Columbia County,187.0
20433,Washington,DC,District Of Columbia County,187.0
20434,Washington,DC,District Of Columbia County,187.0
20435,Washington,DC,District Of Columbia County,187.0
20436,Washington,DC,District Of Columbia County,187.0
20437,Washington,DC,District Of Columbia County,187.0
20439,Washington,DC,District Of Columbia County,187.0
20440,Washington,DC,District Of Columbia County,187.0
20441,Washington,DC,District Of Columbia County,187.0
20442,Washington,DC,District Of Columbia County,187.0
20444,Washington,DC,District Of Columbia County,187.0
20447,Washington,DC,District Of Columbia County,187.0
20451,Washington,DC,District Of Columbia County,187.0
20453,Washington,DC,District Of Columbia County,187.0
20456,Washington,DC,District Of Columbia County,187.0
20460,Washington,DC,District Of Columbia County,187.0
20463,Washington,DC,District Of Columbia County,187.0
20468,Washington,DC,District Of Columbia County,187.0
20469,Washington,DC,District Of Columbia County,187.0
20470,Washington,DC,District Of Columbia County,187.0
20472,Washington,DC,District Of Columbia County,187.0
20500,Washington,DC,District Of Columbia County,187.0
20501,Washington,DC,District Of Columbia County,187.0
20502,Washington,DC,District Of Columbia County,187.0
20503,Washington,DC,District Of Columbia County,187.0
20504,Washington,DC,District Of Columbia County,187.0
20505,Washington,DC,District Of Columbia County,187.0
20506,Washington,DC,District Of Columbia County,187.0
20507,Washington,DC,District Of Columbia County,187.0
20508,Washington,DC,District Of Columbia County,187.0
20509,Washington,DC,District Of Columbia County,187.0
20510,Washington,DC,District Of Columbia County,187.0
20511,Washington,DC,District Of Columbia County,187.0
20515,Washington,DC,District Of Columbia County,187.0
20520,Washington,DC,District Of Columbia County,187.0
20521,Washington,DC,District Of Columbia County,187.0
20522,Washington,DC,District Of Columbia County,187.0
20523,Washington,DC,District Of Columbia County,187.0
20524,Washington,DC,District Of Columbia County,187.0
20525,Washington,DC,District Of Columbia County,187.0
20526,Washington,DC,District Of Columbia County,187.0
20527,Washington,DC,District Of Columbia County,187.0
20528,Washington,DC,District Of Columbia County,187.0
20529,Washington,DC,District Of Columbia County,187.0
20530,Washington,DC,District Of Columbia County,187.0
20531,Washington,DC,District Of Columbia County,187.0
20533,Washington,DC,District Of Columbia County,187.0
20534,Washington,DC,District Of Columbia County,187.0
20535,Washington,DC,District Of Columbia County,187.0
20536,Washington,DC,District Of Columbia County,187.0
20537,Washington,DC,District Of Columbia County,187.0
20538,Washington,DC,District Of Columbia County,187.0
20539,Washington,DC,District Of Columbia County,187.0
20540,Washington,DC,District Of Columbia County,187.0
20541,Washington,DC,District Of Columbia County,187.0
20542,Washington,DC,District Of Columbia County,187.0
20543,Washington,DC,District Of Columbia County,187.0
20544,Washington,DC,District Of Columbia County,187.0
20546,Washington,DC,District Of Columbia County,187.0
20547,Washington,DC,District Of Columbia County,187.0
20548,Washington,DC,District Of Columbia County,187.0
20549,Washington,DC,District Of Columbia County,187.0
20551,Washington,DC,District Of Columbia County,187.0
20552,Washington,DC,District Of Columbia County,187.0
20553,Washington,DC,District Of Columbia County,187.0
20554,Washington,DC,District Of Columbia County,187.0
20555,Washington,DC,District Of Columbia County,187.0
20557,Washington,DC,District Of Columbia County,187.0
20559,Washington,DC,District Of Columbia County,187.0
20560,Washington,DC,District Of Columbia County,187.0
20565,Washington,DC,District Of Columbia County,187.0
20566,Washington,DC,District Of Columbia County,187.0
20570,Washington,DC,District Of Columbia County,187.0
20571,Washington,DC,District Of Columbia County,187.0
20572,Washington,DC,District Of Columbia County,187.0
20573,Washington,DC,District Of Columbia County,187.0
20575,Washington,DC,District Of Columbia County,187.0
20576,Washington,DC,District Of Columbia County,187.0
20577,Washington,DC,District Of Columbia County,187.0
20578,Washington,DC,District Of Columbia County,187.0
20579,Washington,DC,District Of Columbia County,187.0
20580,Washington,DC,District Of Columbia County,187.0
20581,Washington,DC,District Of Columbia County,187.0
20585,Washington,DC,District Of Columbia County,187.0
20586,Washington,DC,District Of Columbia County,187.0
20590,Washington,DC,District Of Columbia County,187.0
20591,Washington,DC,District Of Columbia County,187.0
20593,Washington,DC,District Of Columbia County,187.0
20594,Washington,DC,District Of Columbia County,187.0
20597,Washington,DC,District Of Columbia County,187.0
20599,Washington,DC,District Of Columbia County,187.0
20374,Washington Navy Yard,DC,District Of Columbia County,187.0
20376,Washington Navy Yard,DC,District Of Columbia County,187.0
20388,Washington Navy Yard,DC,District Of Columbia County,187.0
