zip,city,state,county,payout
32701,Altamonte Springs,FL,Seminole County,237.5
32714,Altamonte Springs,FL,Seminole County,237.5
32715,Altamonte Springs,FL,Seminole County,237.5
32716,Altamonte Springs,FL,Seminole County,237.5
32702,Altoona,FL,Lake County,222.0
32617,Anthony,FL,Marion County,210.5
33572,Apollo Beach,FL,Hillsborough County,179.0
34705,Astatula,FL,Lake County,222.0
32102,Astor,FL,Lake County,222.0
32105,Barberville,FL,Volusia County,210.5
33430,Belle Glade,FL,Palm Beach County,210.5
34420,Belleview,FL,Marion County,210.5
34421,Belleview,FL,Marion County,210.5
33427,Boca Raton,FL,Palm Beach County,210.5
33428,Boca Raton,FL,Palm Beach County,210.5
33429,Boca Raton,FL,Palm Beach County,210.5
33431,Boca Raton,FL,Palm Beach County,210.5
33432,Boca Raton,FL,Palm Beach County,210.5
33433,Boca Raton,FL,Palm Beach County,210.5
33434,Boca Raton,FL,Palm Beach County,210.5
33464,Boca Raton,FL,Palm Beach County,210.5
33481,Boca Raton,FL,Palm Beach County,210.5
33486,Boca Raton,FL,Palm Beach County,210.5
33487,Boca Raton,FL,Palm Beach County,210.5
33488,Boca Raton,FL,Palm Beach County,210.5
33496,Boca Raton,FL,Palm Beach County,210.5
33497,Boca Raton,FL,Palm Beach County,210.5
33498,Boca Raton,FL,Palm Beach County,210.5
33499,Boca Raton,FL,Palm Beach County,210.5
33424,Boynton Beach,FL,Palm Beach County,210.5
33425,Boynton Beach,FL,Palm Beach County,210.5
33426,Boynton Beach,FL,Palm Beach County,210.5
33435,Boynton Beach,FL,Palm Beach County,210.5
33436,Boynton Beach,FL,Palm Beach County,210.5
33437,Boynton Beach,FL,Palm Beach County,210.5
33472,Boynton Beach,FL,Palm Beach County,210.5
33473,Boynton Beach,FL,Palm Beach County,210.5
33474,Boynton Beach,FL,Palm Beach County,210.5
32110,Bunnell,FL,Flagler County,210.5
33513,Bushnell,FL,Sumter County,210.5
33438,Canal Point,FL,Palm Beach County,210.5
32111,Candler,FL,Marion County,210.5
32706,Cassadaga,FL,Volusia County,210.5
32707,Casselberry,FL,Seminole County,237.5
32718,Casselberry,FL,Seminole County,237.5
32730,Casselberry,FL,Seminole County,237.5
33514,Center Hill,FL,Sumter County,210.5
32113,Citra,FL,Marion County,210.5
34711,Clermont,FL,Lake County,222.0
34712,Clermont,FL,Lake County,222.0
34713,Clermont,FL,Lake County,222.0
34714,Clermont,FL,Lake County,222.0
34715,Clermont,FL,Lake County,222.0
33097,Coconut Creek,FL,Broward County,210.5
33521,Coleman,FL,Sumter County,210.5
