zip,city,state,county,payout
83801,Athol,ID,Kootenai County,210.5
83803,Bayview,ID,Kootenai County,210.5
83810,Cataldo,ID,Kootenai County,210.5
83814,Coeur D Alene,ID,Kootenai County,210.5
83815,Coeur D Alene,ID,Kootenai County,210.5
83816,Coeur D Alene,ID,Kootenai County,210.5
83833,Harrison,ID,Kootenai County,210.5
83835,Hayden,ID,Kootenai County,210.5
83342,Malta,ID,Cassia County,179.0
83842,Medimont,ID,Kootenai County,210.5
83854,Post Falls,ID,Kootenai County,210.5
83877,Post Falls,ID,Kootenai County,210.5
83858,Rathdrum,ID,Kootenai County,210.5
83869,Spirit Lake,ID,Kootenai County,210.5
83876,Worley,ID,Kootenai County,210.5
