zip,city,state,county,payout
46102,Advance,IN,Boone County,179.0
47916,Alamo,IN,Montgomery County,179.0
47320,Albany,IN,Delaware County,187.0
46001,Alexandria,IN,Madison County,179.0
47917,Ambia,IN,Benton County,179.0
46011,Anderson,IN,Madison County,179.0
46012,Anderson,IN,Madison County,179.0
46013,Anderson,IN,Madison County,179.0
46016,Anderson,IN,Madison County,179.0
46017,Anderson,IN,Madison County,179.0
46030,Arcadia,IN,Hamilton County,187.0
46031,Atlanta,IN,Hamilton County,187.0
47918,Attica,IN,Fountain County,179.0
46105,Bainbridge,IN,Putnam County,179.0
47920,Battle Ground,IN,Tippecanoe County,187.0
47832,Bloomingdale,IN,Parke County,179.0
47324,Boston,IN,Wayne County,179.0
47921,Boswell,IN,Benton County,179.0
46913,Bringhurst,IN,Carroll County,179.0
47923,Brookston,IN,White County,179.0
46112,Brownsburg,IN,Hendricks County,187.0
47325,Brownsville,IN,Union County,179.0
47326,Bryant,IN,Jay County,179.0
47924,Buck Creek,IN,Tippecanoe County,187.0
46915,Burlington,IN,Carroll County,179.0
47327,Cambridge City,IN,Wayne County,179.0
46917,Camden,IN,Carroll County,179.0
46032,Carmel,IN,Hamilton County,187.0
46033,Carmel,IN,Hamilton County,187.0
47928,Cayuga,IN,Vermillion County,179.0
47330,Centerville,IN,Wayne County,179.0
46117,Charlottesville,IN,Hancock County,187.0
46034,Cicero,IN,Hamilton County,187.0
47930,Clarks Hill,IN,Tippecanoe County,187.0
46035,Colfax,IN,Clinton County,179.0
46919,Converse,IN,Miami County,179.0
47932,Covington,IN,Fountain County,179.0
47933,Crawfordsville,IN,Montgomery County,179.0
46920,Cutler,IN,Carroll County,179.0
47334,Daleville,IN,Delaware County,187.0
47847,Dana,IN,Vermillion County,179.0
46122,Danville,IN,Hendricks County,187.0
47940,Darlington,IN,Montgomery County,179.0
47941,Dayton,IN,Tippecanoe County,187.0
46923,Delphi,IN,Carroll County,179.0
47335,Dublin,IN,Wayne County,179.0
47336,Dunkirk,IN,Jay County,179.0
47337,Dunreith,IN,Henry County,179.0
47338,Eaton,IN,Delaware County,187.0
47339,Economy,IN,Wayne County,179.0
46036,Elwood,IN,Madison County,179.0
46928,Fairmount,IN,Grant County,187.0
47340,Farmland,IN,Randolph County,179.0
46037,Fishers,IN,Hamilton County,187.0
46038,Fishers,IN,Hamilton County,187.0
46929,Flora,IN,Carroll County,179.0
46039,Forest,IN,Clinton County,179.0
46040,Fortville,IN,Hamilton County,187.0
47341,Fountain City,IN,Wayne County,179.0
47944,Fowler,IN,Benton County,179.0
46930,Fowlerton,IN,Grant County,187.0
46041,Frankfort,IN,Clinton County,179.0
46044,Frankton,IN,Madison County,179.0
46932,Galveston,IN,Cass County,179.0
46933,Gas City,IN,Grant County,187.0
47342,Gaston,IN,Delaware County,187.0
46045,Goldsmith,IN,Tipton County,179.0
46135,Greencastle,IN,Putnam County,179.0
46140,Greenfield,IN,Hancock County,187.0
47345,Greens Fork,IN,Wayne County,179.0
47344,Greensboro,IN,Henry County,179.0
46936,Greentown,IN,Howard County,187.0
47346,Hagerstown,IN,Wayne County,179.0
47348,Hartford City,IN,Blackford County,179.0
47949,Hillsboro,IN,Fountain County,179.0
47854,Hillsdale,IN,Vermillion County,179.0
46047,Hobbs,IN,Tipton County,179.0
