zip,city,state,county,payout
40018,Eastwood,KY,Jefferson County,210.5
40118,Fairdale,KY,Jefferson County,210.5
40023,Fisherville,KY,Jefferson County,210.5
40324,Georgetown,KY,Scott County,203.0
40025,Glenview,KY,Jefferson County,210.5
40027,Harrods Creek,KY,Jefferson County,210.5
40337,Jeffersonville,KY,Montgomery County,203.0
40502,Lexington,KY,Fayette County,210.5
40503,Lexington,KY,Fayette County,210.5
40504,Lexington,KY,Fayette County,210.5
40505,Lexington,KY,Fayette County,210.5
40506,Lexington,KY,Fayette County,210.5
40507,Lexington,KY,Fayette County,210.5
40508,Lexington,KY,Fayette County,210.5
40509,Lexington,KY,Fayette County,210.5
40510,Lexington,KY,Fayette County,210.5
40511,Lexington,KY,Fayette County,210.5
40512,Lexington,KY,Fayette County,210.5
40513,Lexington,KY,Fayette County,210.5
40514,Lexington,KY,Fayette County,210.5
40515,Lexington,KY,Fayette County,210.5
40516,Lexington,KY,Fayette County,210.5
40517,Lexington,KY,Fayette County,210.5
40522,Lexington,KY,Fayette County,210.5
40523,Lexington,KY,Fayette County,210.5
40524,Lexington,KY,Fayette County,210.5
40526,Lexington,KY,Fayette County,210.5
40533,Lexington,KY,Fayette County,210.5
40536,Lexington,KY,Fayette County,210.5
40544,Lexington,KY,Fayette County,210.5
40546,Lexington,KY,Fayette County,210.5
40550,Lexington,KY,Fayette County,210.5
40555,Lexington,KY,Fayette County,210.5
40574,Lexington,KY,Fayette County,210.5
40575,Lexington,KY,Fayette County,210.5
40576,Lexington,KY,Fayette County,210.5
40577,Lexington,KY,Fayette County,210.5
40578,Lexington,KY,Fayette County,210.5
40579,Lexington,KY,Fayette County,210.5
40580,Lexington,KY,Fayette County,210.5
40581,Lexington,KY,Fayette County,210.5
40582,Lexington,KY,Fayette County,210.5
40583,Lexington,KY,Fayette County,210.5
40588,Lexington,KY,Fayette County,210.5
40591,Lexington,KY,Fayette County,210.5
40598,Lexington,KY,Fayette County,210.5
40201,Louisville,KY,Jefferson County,210.5
40202,Louisville,KY,Jefferson County,210.5
40203,Louisville,KY,Jefferson County,210.5
40204,Louisville,KY,Jefferson County,210.5
40205,Louisville,KY,Jefferson County,210.5
40206,Louisville,KY,Jefferson County,210.5
40207,Louisville,KY,Jefferson County,210.5
40208,Louisville,KY,Jefferson County,210.5
40209,Louisville,KY,Jefferson County,210.5
40210,Louisville,KY,Jefferson County,210.5
40211,Louisville,KY,Jefferson County,210.5
40212,Louisville,KY,Jefferson County,210.5
40213,Louisville,KY,Jefferson County,210.5
40214,Louisville,KY,Jefferson County,210.5
40215,Louisville,KY,Jefferson County,210.5
40216,Louisville,KY,Jefferson County,210.5
40217,Louisville,KY,Jefferson County,210.5
40218,Louisville,KY,Jefferson County,210.5
40219,Louisville,KY,Jefferson County,210.5
40220,Louisville,KY,Jefferson County,210.5
40221,Louisville,KY,Jefferson County,210.5
40222,Louisville,KY,Jefferson County,210.5
40223,Louisville,KY,Jefferson County,210.5
40224,Louisville,KY,Jefferson County,210.5
40225,Louisville,KY,Jefferson County,210.5
40228,Louisville,KY,Jefferson County,210.5
40229,Louisville,KY,Jefferson County,210.5
40231,Louisville,KY,Jefferson County,210.5
40232,Louisville,KY,Jefferson County,210.5
40233,Louisville,KY,Jefferson County,210.5
40241,Louisville,KY,Jefferson County,210.5
40242,Louisville,KY,Jefferson County,210.5
40243,Louisville,KY,Jefferson County,210.5
40245,Louisville,KY,Jefferson County,210.5
40250,Louisville,KY,Jefferson County,210.5
40251,Louisville,KY,Jefferson County,210.5
40252,Louisville,KY,Jefferson County,210.5
40253,Louisville,KY,Jefferson County,210.5
40255,Louisville,KY,Jefferson County,210.5
40256,Louisville,KY,Jefferson County,210.5
40257,Louisville,KY,Jefferson County,210.5
40258,Louisville,KY,Jefferson County,210.5
40259,Louisville,KY,Jefferson County,210.5
40261,Louisville,KY,Jefferson County,210.5
40266,Louisville,KY,Jefferson County,210.5
40268,Louisville,KY,Jefferson County,210.5
40269,Louisville,KY,Jefferson County,210.5
40270,Louisville,KY,Jefferson County,210.5
40272,Louisville,KY,Jefferson County,210.5
40280,Louisville,KY,Jefferson County,210.5
40281,Louisville,KY,Jefferson County,210.5
40282,Louisville,KY,Jefferson County,210.5
40283,Louisville,KY,Jefferson County,210.5
40285,Louisville,KY,Jefferson County,210.5
40287,Louisville,KY,Jefferson County,210.5
40289,Louisville,KY,Jefferson County,210.5
40290,Louisville,KY,Jefferson County,210.5
40291,Louisville,KY,Jefferson County,210.5
40292,Louisville,KY,Jefferson County,210.5
40293,Louisville,KY,Jefferson County,210.5
40294,Louisville,KY,Jefferson County,210.5
40295,Louisville,KY,Jefferson County,210.5
40296,Louisville,KY,Jefferson County,210.5
40297,Louisville,KY,Jefferson County,210.5
40298,Louisville,KY,Jefferson County,210.5
40299,Louisville,KY,Jefferson County,210.5
40041,Masonic Home,KY,Jefferson County,210.5
40353,Mount Sterling,KY,Montgomery County,203.0
40059,Prospect,KY,Jefferson County,210.5
40370,Sadieville,KY,Scott County,203.0
40379,Stamping Ground,KY,Scott County,203.0
40391,Winchester,KY,Clark County,203.0
40392,Winchester,KY,Clark County,203.0
