zip,city,state,county,payout
49301,Ada,MI,Kent County,210.5
49355,Ada,MI,Kent County,210.5
49356,Ada,MI,Kent County,210.5
49357,Ada,MI,Kent County,210.5
49010,Allegan,MI,Allegan County,210.5
49401,Allendale,MI,Ottawa County,210.5
49302,Alto,MI,Kent County,210.5
49303,Bailey,MI,Muskegon County,203.0
48809,Belding,MI,Ionia County,203.0
49306,Belmont,MI,Kent County,210.5
49309,Bitely,MI,Newaygo County,203.0
49311,Bradley,MI,Allegan County,210.5
49312,Brohman,MI,Newaygo County,203.0
49314,Burnips,MI,Allegan County,210.5
49315,Byron Center,MI,Kent County,210.5
49316,Caledonia,MI,Kent County,210.5
49317,Cannonsburg,MI,Kent County,210.5
48811,Carson City,MI,Montcalm County,203.0
49318,Casnovia,MI,Muskegon County,203.0
48812,Cedar Lake,MI,Montcalm County,203.0
49319,Cedar Springs,MI,Kent County,210.5
48815,Clarksville,MI,Ionia County,203.0
49035,Cloverdale,MI,Barry County,203.0
49321,Comstock Park,MI,Kent County,210.5
49403,Conklin,MI,Ottawa County,210.5
49404,Coopersville,MI,Ottawa County,210.5
49322,Coral,MI,Montcalm County,203.0
48818,Crystal,MI,Montcalm County,203.0
49046,Delton,MI,Barry County,203.0
49323,Dorr,MI,Allegan County,210.5
49406,Douglas,MI,Allegan County,210.5
49050,Dowling,MI,Barry County,203.0
48829,Edmore,MI,Montcalm County,203.0
49408,Fennville,MI,Allegan County,210.5
48834,Fenwick,MI,Montcalm County,203.0
49409,Ferrysburg,MI,Ottawa County,210.5
49325,Freeport,MI,Barry County,203.0
49412,Fremont,MI,Newaygo County,203.0
49413,Fremont,MI,Newaygo County,203.0
49415,Fruitport,MI,Muskegon County,203.0
49416,Glenn,MI,Allegan County,210.5
49326,Gowen,MI,Kent County,210.5
49417,Grand Haven,MI,Ottawa County,210.5
49501,Grand Rapids,MI,Kent County,210.5
49502,Grand Rapids,MI,Kent County,210.5
49503,Grand Rapids,MI,Kent County,210.5
49504,Grand Rapids,MI,Kent County,210.5
49505,Grand Rapids,MI,Kent County,210.5
49506,Grand Rapids,MI,Kent County,210.5
49507,Grand Rapids,MI,Kent County,210.5
49508,Grand Rapids,MI,Kent County,210.5
49510,Grand Rapids,MI,Kent County,210.5
49512,Grand Rapids,MI,Kent County,210.5
49514,Grand Rapids,MI,Kent County,210.5
49515,Grand Rapids,MI,Kent County,210.5
49516,Grand Rapids,MI,Kent County,210.5
