zip,city,state,county,payout
56110,Adrian,MN,Nobles County,203.0
55001,Afton,MN,Washington County,210.5
56307,Albany,MN,Stearns County,203.0
55301,Albertville,MN,Wright County,210.5
55304,Andover,MN,Anoka County,262.5
55302,Annandale,MN,Wright County,210.5
55303,Anoka,MN,Anoka County,262.5
55307,Arlington,MN,Sibley County,203.0
56310,Avon,MN,Stearns County,203.0
56115,Balaton,MN,Lyon County,203.0
55003,Bayport,MN,Washington County,210.5
56116,Beaver Creek,MN,Rock County,203.0
55308,Becker,MN,Sherburne County,203.0
56312,Belgrade,MN,Stearns County,203.0
56011,Belle Plaine,MN,Scott County,210.5
55005,Bethel,MN,Anoka County,262.5
55309,Big Lake,MN,Sherburne County,203.0
56117,Bigelow,MN,Nobles County,203.0
56119,Brewster,MN,Nobles County,203.0
56316,Brooten,MN,Stearns County,203.0
55313,Buffalo,MN,Wright County,210.5
55306,Burnsville,MN,Dakota County,262.5
55337,Burnsville,MN,Dakota County,262.5
55315,Carver,MN,Carver County,262.5
55010,Castle Rock,MN,Dakota County,262.5
55011,Cedar,MN,Anoka County,262.5
55316,Champlin,MN,Hennepin County,262.5
56122,Chandler,MN,Murray County,203.0
55317,Chanhassen,MN,Carver County,262.5
55318,Chaska,MN,Carver County,262.5
55014,Circle Pines,MN,Anoka County,262.5
55319,Clear Lake,MN,Sherburne County,203.0
55320,Clearwater,MN,Wright County,210.5
56017,Cleveland,MN,Le Sueur County,203.0
55321,Cokato,MN,Wright County,210.5
56320,Cold Spring,MN,Stearns County,203.0
56321,Collegeville,MN,Stearns County,203.0
55322,Cologne,MN,Carver County,262.5
55016,Cottage Grove,MN,Washington County,210.5
55323,Crystal Bay,MN,Hennepin County,262.5
55327,Dayton,MN,Hennepin County,262.5
55328,Delano,MN,Wright County,210.5
55344,Eden Prairie,MN,Hennepin County,262.5
55346,Eden Prairie,MN,Hennepin County,262.5
55347,Eden Prairie,MN,Hennepin County,262.5
55329,Eden Valley,MN,Meeker County,203.0
56128,Edgerton,MN,Pipestone County,203.0
55330,Elk River,MN,Sherburne County,203.0
55020,Elko New Market,MN,Scott County,210.5
55054,Elko New Market,MN,Scott County,210.5
56129,Ellsworth,MN,Nobles County,203.0
56325,Elrosa,MN,Stearns County,203.0
56028,Elysian,MN,Le Sueur County,203.0
55331,Excelsior,MN,Hennepin County,262.5
55024,Farmington,MN,Dakota County,262.5
56329,Foley,MN,Benton County,210.5
55025,Forest Lake,MN,Washington County,210.5
56331,Freeport,MN,Stearns County,203.0
56131,Fulda,MN,Murray County,203.0
55334,Gaylord,MN,Sibley County,203.0
55335,Gibbon,MN,Sibley County,203.0
56333,Gilman,MN,Benton County,210.5
55338,Green Isle,MN,Sibley County,203.0
56335,Greenwald,MN,Stearns County,203.0
55339,Hamburg,MN,Carver County,262.5
55340,Hamel,MN,Hennepin County,262.5
55031,Hampton,MN,Dakota County,262.5
55341,Hanover,MN,Wright County,210.5
56134,Hardwick,MN,Rock County,203.0
55033,Hastings,MN,Dakota County,262.5
56044,Henderson,MN,Sibley County,203.0
56138,Hills,MN,Rock County,203.0
56340,Holdingford,MN,Stearns County,203.0
56139,Holland,MN,Pipestone County,203.0
55305,Hopkins,MN,Hennepin County,262.5
55343,Hopkins,MN,Hennepin County,262.5
55349,Howard Lake,MN,Wright County,210.5
55575,Howard Lake,MN,Wright County,262.5
55038,Hugo,MN,Washington County,210.5
56140,Ihlen,MN,Pipestone County,203.0
55076,Inver Grove Heights,MN,Dakota County,262.5
