zip,city,state,county,payout
63010,Arnold,MO,Jefferson County,203.0
63332,Augusta,MO,St. Charles County,178.0
63011,Ballwin,MO,St. Louis County,210.5
63021,Ballwin,MO,St. Louis County,210.5
63022,Ballwin,MO,St. Louis County,210.5
63024,Ballwin,MO,St. Louis County,210.5
63012,Barnhart,MO,Jefferson County,203.0
63013,Beaufort,MO,Franklin County,210.5
63014,Berger,MO,Franklin County,210.5
63044,Bridgeton,MO,St. Louis County,210.5
63015,Catawissa,MO,Franklin County,210.5
63016,Cedar Hill,MO,Jefferson County,203.0
63005,Chesterfield,MO,St. Louis County,210.5
63006,Chesterfield,MO,St. Louis County,210.5
63017,Chesterfield,MO,St. Louis County,210.5
63338,Cottleville,MO,St. Charles County,178.0
63019,Crystal City,MO,Jefferson County,203.0
63020,De Soto,MO,Jefferson County,203.0
63341,Defiance,MO,St. Charles County,178.0
63023,Dittmer,MO,Jefferson County,203.0
63045,Earth City,MO,St. Louis County,210.5
63025,Eureka,MO,St. Louis County,210.5
63026,Fenton,MO,St. Louis County,210.5
63099,Fenton,MO,St. Louis County,210.5
63028,Festus,MO,Jefferson County,203.0
63346,Flinthill,MO,St. Charles County,178.0
63031,Florissant,MO,St. Louis County,210.5
63032,Florissant,MO,St. Louis County,210.5
63033,Florissant,MO,St. Louis County,210.5
63034,Florissant,MO,St. Louis County,210.5
63348,Foristell,MO,St. Charles County,178.0
63037,Gerald,MO,Franklin County,210.5
63039,Gray Summit,MO,Franklin County,210.5
63041,Grubville,MO,Franklin County,210.5
63042,Hazelwood,MO,St. Louis County,210.5
63047,Hematite,MO,Jefferson County,203.0
63048,Herculaneum,MO,Jefferson County,203.0
63049,High Ridge,MO,Jefferson County,203.0
63050,Hillsboro,MO,Jefferson County,203.0
63051,House Springs,MO,Jefferson County,203.0
63052,Imperial,MO,Jefferson County,203.0
63053,Kimmswick,MO,Jefferson County,203.0
63055,Labadie,MO,Franklin County,210.5
63367,Lake Saint Louis,MO,St. Charles County,178.0
63056,Leslie,MO,Franklin County,210.5
63057,Liguori,MO,Jefferson County,203.0
63060,Lonedell,MO,Franklin County,210.5
63061,Luebbering,MO,Franklin County,210.5
63065,Mapaville,MO,Jefferson County,203.0
63043,Maryland Heights,MO,St. Louis County,210.5
63066,Morse Mill,MO,Jefferson County,203.0
63068,New Haven,MO,Franklin County,210.5
63365,New Melle,MO,St. Charles County,178.0
63366,O'Fallon,MO,St. Charles County,178.0
63368,O'Fallon,MO,St. Charles County,178.0
63069,Pacific,MO,Franklin County,210.5
63070,Pevely,MO,Jefferson County,203.0
63373,Portage Des Sioux,MO,St. Charles County,178.0
63072,Robertsville,MO,Franklin County,210.5
63073,Saint Albans,MO,Franklin County,210.5
63074,Saint Ann,MO,St. Louis County,210.5
63301,Saint Charles,MO,St. Charles County,178.0
63302,Saint Charles,MO,St. Charles County,178.0
63303,Saint Charles,MO,St. Charles County,178.0
63304,Saint Charles,MO,St. Charles County,178.0
63077,Saint Clair,MO,Franklin County,210.5
63105,Saint Louis,MO,St. Louis County,210.5
63114,Saint Louis,MO,St. Louis County,210.5
63117,Saint Louis,MO,St. Louis County,210.5
63119,Saint Louis,MO,St. Louis County,210.5
63121,Saint Louis,MO,St. Louis County,210.5
63122,Saint Louis,MO,St. Louis County,210.5
63123,Saint Louis,MO,St. Louis County,210.5
63124,Saint Louis,MO,St. Louis County,210.5
63125,Saint Louis,MO,St. Louis County,210.5
63126,Saint Louis,MO,St. Louis County,210.5
63127,Saint Louis,MO,St. Louis County,210.5
63128,Saint Louis,MO,St. Louis County,210.5
63129,Saint Louis,MO,St. Louis County,210.5
63130,Saint Louis,MO,St. Louis County,210.5
63131,Saint Louis,MO,St. Louis County,210.5
63132,Saint Louis,MO,St. Louis County,210.5
63133,Saint Louis,MO,St. Louis County,210.5
63134,Saint Louis,MO,St. Louis County,210.5
63135,Saint Louis,MO,St. Louis County,210.5
63136,Saint Louis,MO,St. Louis County,210.5
63137,Saint Louis,MO,St. Louis County,210.5
63138,Saint Louis,MO,St. Louis County,210.5
63140,Saint Louis,MO,St. Louis County,210.5
63141,Saint Louis,MO,St. Louis County,210.5
63143,Saint Louis,MO,St. Louis County,210.5
63144,Saint Louis,MO,St. Louis County,210.5
63145,Saint Louis,MO,St. Louis County,210.5
63146,Saint Louis,MO,St. Louis County,210.5
63151,Saint Louis,MO,St. Louis city,210.5
63167,Saint Louis,MO,St. Louis city,210.5
63376,Saint Peters,MO,St. Charles County,178.0
63079,Stanton,MO,Franklin County,210.5
63080,Sullivan,MO,Franklin County,210.5
63084,Union,MO,Franklin County,210.5
63088,Valley Park,MO,St. Louis County,210.5
63089,Villa Ridge,MO,Franklin County,210.5
63090,Washington,MO,Franklin County,210.5
63385,Wentzville,MO,St. Charles County,178.0
63386,West Alton,MO,St. Charles County,178.0
63038,Wildwood,MO,St. Louis County,210.5
63040,Wildwood,MO,St. Louis County,210.5
