zip,city,state,county,payout
68301,Adams,NE,Gage County,179.0
69210,Ainsworth,NE,Brown County,179.0
68620,Albion,NE,Boone County,179.0
68810,Alda,NE,Hall County,179.0
68303,Alexandria,NE,Thayer County,179.0
68710,Allen,NE,Dixon County,179.0
68920,Alma,NE,Harlan County,179.0
68304,Alvo,NE,Cass County,203.0
68711,Amelia,NE,Holt County,179.0
68621,Ames,NE,Dodge County,179.0
68812,Amherst,NE,Buffalo County,179.0
68813,Anselmo,NE,Custer County,179.0
68814,Ansley,NE,Custer County,179.0
68922,Arapahoe,NE,Furnas County,179.0
68815,Arcadia,NE,Valley County,179.0
68816,Archer,NE,Merrick County,179.0
68002,Arlington,NE,Washington County,203.0
69120,Arnold,NE,Custer County,179.0
68003,Ashland,NE,Saunders County,203.0
68817,Ashton,NE,Sherman County,179.0
68713,Atkinson,NE,Holt County,179.0
68305,Auburn,NE,Nemaha County,179.0
68818,Aurora,NE,Hamilton County,179.0
68307,Avoca,NE,Cass County,203.0
68924,Axtell,NE,Kearney County,179.0
68925,Ayr,NE,Adams County,179.0
68004,Bancroft,NE,Cuming County,179.0
68622,Bartlett,NE,Wheeler County,179.0
68714,Bassett,NE,Rock County,179.0
68715,Battle Creek,NE,Madison County,179.0
68310,Beatrice,NE,Gage County,179.0
68926,Beaver City,NE,Furnas County,179.0
68313,Beaver Crossing,NE,Seward County,179.0
68314,Bee,NE,Seward County,179.0
68716,Beemer,NE,Cuming County,179.0
68717,Belden,NE,Cedar County,179.0
68623,Belgrade,NE,Nance County,179.0
68005,Bellevue,NE,Sarpy County,210.5
68123,Bellevue,NE,Sarpy County,210.5
68147,Bellevue,NE,Sarpy County,210.5
68624,Bellwood,NE,Butler County,179.0
68315,Belvidere,NE,Thayer County,179.0
68316,Benedict,NE,York County,179.0
68317,Bennet,NE,Lancaster County,210.5
68007,Bennington,NE,Douglas County,210.5
68927,Bertrand,NE,Phelps County,179.0
68928,Bladen,NE,Webster County,179.0
68008,Blair,NE,Washington County,203.0
68009,Blair,NE,Washington County,203.0
68718,Bloomfield,NE,Knox County,179.0
68929,Bloomington,NE,Franklin County,179.0
68930,Blue Hill,NE,Webster County,179.0
68318,Blue Springs,NE,Gage County,179.0
68820,Boelus,NE,Howard County,179.0
68010,Boys Town,NE,Douglas County,210.5
68319,Bradshaw,NE,York County,179.0
68626,Brainard,NE,Butler County,179.0
68821,Brewster,NE,Blaine County,179.0
68719,Bristow,NE,Boyd County,179.0
68320,Brock,NE,Nemaha County,179.0
68822,Broken Bow,NE,Custer County,179.0
68321,Brownville,NE,Nemaha County,179.0
68322,Bruning,NE,Thayer County,179.0
68014,Bruno,NE,Butler County,179.0
68720,Brunswick,NE,Antelope County,179.0
68323,Burchard,NE,Pawnee County,179.0
68324,Burr,NE,Otoe County,179.0
68823,Burwell,NE,Garfield County,179.0
68722,Butte,NE,Boyd County,179.0
68325,Byron,NE,Thayer County,179.0
68824,Cairo,NE,Hall County,179.0
68825,Callaway,NE,Custer County,179.0
68932,Campbell,NE,Franklin County,179.0
68326,Carleton,NE,Thayer County,179.0
68723,Carroll,NE,Wayne County,179.0
68015,Cedar Bluffs,NE,Saunders County,203.0
68016,Cedar Creek,NE,Cass County,203.0
68627,Cedar Rapids,NE,Boone County,179.0
68724,Center,NE,Knox County,179.0
68826,Central City,NE,Merrick County,179.0
68017,Ceresco,NE,Saunders County,203.0
68725,Chambers,NE,Holt County,179.0
68827,Chapman,NE,Merrick County,179.0
68327,Chester,NE,Thayer County,179.0
68628,Clarks,NE,Merrick County,179.0
68629,Clarkson,NE,Colfax County,179.0
68328,Clatonia,NE,Gage County,179.0
68933,Clay Center,NE,Clay County,179.0
68726,Clearwater,NE,Antelope County,179.0
68727,Coleridge,NE,Cedar County,179.0
68018,Colon,NE,Saunders County,203.0
68601,Columbus,NE,Platte County,179.0
68828,Comstock,NE,Custer County,179.0
68728,Concord,NE,Dixon County,179.0
68329,Cook,NE,Johnson County,179.0
68331,Cortland,NE,Gage County,179.0
69130,Cozad,NE,Dawson County,179.0
68332,Crab Orchard,NE,Johnson County,179.0
68019,Craig,NE,Burt County,179.0
68729,Creighton,NE,Knox County,179.0
68631,Creston,NE,Platte County,179.0
68333,Crete,NE,Saline County,179.0
68730,Crofton,NE,Knox County,179.0
68731,Dakota City,NE,Dakota County,179.0
68831,Dannebrog,NE,Howard County,179.0
68335,Davenport,NE,Thayer County,179.0
68336,Davey,NE,Lancaster County,210.5
68632,David City,NE,Butler County,179.0
68337,Dawson,NE,Richardson County,179.0
68338,Daykin,NE,Jefferson County,179.0
68341,De Witt,NE,Saline County,179.0
68020,Decatur,NE,Burt County,179.0
68339,Denton,NE,Lancaster County,210.5
68340,Deshler,NE,Thayer County,179.0
68934,Deweese,NE,Clay County,179.0
68342,Diller,NE,Jefferson County,179.0
68732,Dixon,NE,Dixon County,179.0
68633,Dodge,NE,Dodge County,179.0
68832,Doniphan,NE,Hall County,179.0
68343,Dorchester,NE,Saline County,179.0
68344,Douglas,NE,Otoe County,179.0
68345,Du Bois,NE,Pawnee County,179.0
68346,Dunbar,NE,Otoe County,179.0
68833,Dunning,NE,Blaine County,179.0
68635,Dwight,NE,Butler County,179.0
68347,Eagle,NE,Cass County,203.0
68834,Eddyville,NE,Dawson County,179.0
68935,Edgar,NE,Clay County,179.0
68936,Edison,NE,Furnas County,179.0
68835,Elba,NE,Howard County,179.0
68636,Elgin,NE,Antelope County,179.0
68348,Elk Creek,NE,Johnson County,179.0
68022,Elkhorn,NE,Douglas County,210.5
68836,Elm Creek,NE,Buffalo County,179.0
68349,Elmwood,NE,Cass County,203.0
68937,Elwood,NE,Gosper County,179.0
68837,Elyria,NE,Valley County,179.0
68733,Emerson,NE,Dixon County,179.0
68734,Emmet,NE,Holt County,179.0
68350,Endicott,NE,Jefferson County,179.0
68637,Ericson,NE,Wheeler County,179.0
68735,Ewing,NE,Holt County,179.0
68351,Exeter,NE,Fillmore County,179.0
68352,Fairbury,NE,Jefferson County,179.0
68938,Fairfield,NE,Clay County,179.0
68354,Fairmont,NE,Fillmore County,179.0
68355,Falls City,NE,Richardson County,179.0
68838,Farwell,NE,Howard County,179.0
68357,Filley,NE,Gage County,179.0
68358,Firth,NE,Lancaster County,210.5
68736,Fordyce,NE,Cedar County,179.0
68023,Fort Calhoun,NE,Washington County,203.0
68939,Franklin,NE,Franklin County,179.0
68025,Fremont,NE,Dodge County,179.0
68359,Friend,NE,Saline County,179.0
68638,Fullerton,NE,Nance County,179.0
68940,Funk,NE,Phelps County,179.0
68360,Garland,NE,Seward County,179.0
68361,Geneva,NE,Fillmore County,179.0
68640,Genoa,NE,Nance County,179.0
68840,Gibbon,NE,Buffalo County,179.0
68841,Giltner,NE,Hamilton County,179.0
68941,Glenvil,NE,Clay County,179.0
68364,Goehner,NE,Seward County,179.0
69138,Gothenburg,NE,Dawson County,179.0
68365,Grafton,NE,Fillmore County,179.0
68801,Grand Island,NE,Hall County,179.0
68803,Grand Island,NE,Hall County,179.0
68842,Greeley,NE,Greeley County,179.0
68366,Greenwood,NE,Cass County,203.0
68367,Gresham,NE,York County,179.0
68028,Gretna,NE,Sarpy County,210.5
68942,Guide Rock,NE,Webster County,179.0
68368,Hallam,NE,Lancaster County,210.5
68843,Hampton,NE,Hamilton County,179.0
68943,Hardy,NE,Nuckolls County,179.0
68739,Hartington,NE,Cedar County,179.0
68944,Harvard,NE,Clay County,179.0
68901,Hastings,NE,Adams County,179.0
68844,Hazard,NE,Sherman County,179.0
68945,Heartwell,NE,Kearney County,179.0
68370,Hebron,NE,Thayer County,179.0
68371,Henderson,NE,York County,179.0
68029,Herman,NE,Washington County,203.0
68372,Hickman,NE,Lancaster County,210.5
68947,Hildreth,NE,Franklin County,179.0
68949,Holdrege,NE,Phelps County,179.0
68950,Holstein,NE,Adams County,179.0
68030,Homer,NE,Dakota County,179.0
68031,Hooper,NE,Dodge County,179.0
68846,Hordville,NE,Hamilton County,179.0
68740,Hoskins,NE,Wayne County,179.0
68641,Howells,NE,Colfax County,179.0
68741,Hubbard,NE,Dakota County,179.0
68375,Hubbell,NE,Thayer County,179.0
68376,Humboldt,NE,Richardson County,179.0
68642,Humphrey,NE,Platte County,179.0
68952,Inavale,NE,Webster County,179.0
68954,Inland,NE,Clay County,179.0
68742,Inman,NE,Holt County,179.0
68033,Ithaca,NE,Saunders County,203.0
68743,Jackson,NE,Dakota County,179.0
68377,Jansen,NE,Jefferson County,179.0
68378,Johnson,NE,Nemaha County,179.0
69214,Johnstown,NE,Brown County,179.0
68955,Juniata,NE,Adams County,179.0
68845,Kearney,NE,Buffalo County,179.0
68847,Kearney,NE,Buffalo County,179.0
68956,Kenesaw,NE,Adams County,179.0
68034,Kennard,NE,Washington County,203.0
68128,La Vista,NE,Sarpy County,210.5
68745,Laurel,NE,Cedar County,179.0
68957,Lawrence,NE,Nuckolls County,179.0
68643,Leigh,NE,Colfax County,179.0
68380,Lewiston,NE,Pawnee County,179.0
68850,Lexington,NE,Dawson County,179.0
68381,Liberty,NE,Gage County,179.0
68501,Lincoln,NE,Lancaster County,210.5
68502,Lincoln,NE,Lancaster County,210.5
68503,Lincoln,NE,Lancaster County,210.5
68504,Lincoln,NE,Lancaster County,210.5
68505,Lincoln,NE,Lancaster County,210.5
68506,Lincoln,NE,Lancaster County,210.5
68507,Lincoln,NE,Lancaster County,210.5
68508,Lincoln,NE,Lancaster County,210.5
68509,Lincoln,NE,Lancaster County,210.5
68510,Lincoln,NE,Lancaster County,210.5
68512,Lincoln,NE,Lancaster County,210.5
68514,Lincoln,NE,Lancaster County,210.5
68516,Lincoln,NE,Lancaster County,210.5
68517,Lincoln,NE,Lancaster County,210.5
68520,Lincoln,NE,Lancaster County,210.5
68521,Lincoln,NE,Lancaster County,210.5
68522,Lincoln,NE,Lancaster County,210.5
68523,Lincoln,NE,Lancaster County,210.5
68524,Lincoln,NE,Lancaster County,210.5
68526,Lincoln,NE,Lancaster County,210.5
68527,Lincoln,NE,Lancaster County,210.5
68528,Lincoln,NE,Lancaster County,210.5
68529,Lincoln,NE,Lancaster County,210.5
68531,Lincoln,NE,Lancaster County,210.5
68532,Lincoln,NE,Lancaster County,210.5
68542,Lincoln,NE,Lancaster County,210.5
68583,Lincoln,NE,Lancaster County,210.5
68588,Lincoln,NE,Lancaster County,210.5
68644,Lindsay,NE,Platte County,179.0
68036,Linwood,NE,Butler County,179.0
68852,Litchfield,NE,Sherman County,179.0
69217,Long Pine,NE,Brown County,179.0
68958,Loomis,NE,Phelps County,179.0
68037,Louisville,NE,Cass County,203.0
68853,Loup City,NE,Sherman County,179.0
68746,Lynch,NE,Boyd County,179.0
68038,Lyons,NE,Burt County,179.0
68039,Macy,NE,Thurston County,179.0
68748,Madison,NE,Madison County,179.0
68749,Magnet,NE,Cedar County,179.0
68402,Malcolm,NE,Lancaster County,210.5
68040,Malmo,NE,Saunders County,203.0
68403,Manley,NE,Cass County,203.0
68854,Marquette,NE,Hamilton County,179.0
68404,Martell,NE,Lancaster County,210.5
68751,Maskell,NE,Dixon County,179.0
68855,Mason City,NE,Custer County,179.0
68401,McCool Junction,NE,York County,179.0
68747,Mclean,NE,Pierce County,179.0
68041,Mead,NE,Saunders County,203.0
68752,Meadow Grove,NE,Madison County,179.0
68042,Memphis,NE,Saunders County,203.0
68856,Merna,NE,Custer County,179.0
68405,Milford,NE,Seward County,179.0
68858,Miller,NE,Buffalo County,179.0
68406,Milligan,NE,Fillmore County,179.0
68753,Mills,NE,Keya Paha County,179.0
68959,Minden,NE,Kearney County,179.0
68647,Monroe,NE,Platte County,179.0
68648,Morse Bluff,NE,Saunders County,203.0
68407,Murdock,NE,Cass County,203.0
68409,Murray,NE,Cass County,203.0
68755,Naper,NE,Boyd County,179.0
68960,Naponee,NE,Franklin County,179.0
68410,Nebraska City,NE,Otoe County,179.0
68413,Nehawka,NE,Cass County,203.0
68756,Neligh,NE,Antelope County,179.0
68961,Nelson,NE,Nuckolls County,179.0
68414,Nemaha,NE,Nemaha County,179.0
68757,Newcastle,NE,Dixon County,179.0
68758,Newman Grove,NE,Madison County,179.0
68759,Newport,NE,Rock County,179.0
68044,Nickerson,NE,Dodge County,179.0
68760,Niobrara,NE,Knox County,179.0
68701,Norfolk,NE,Madison County,179.0
68649,North Bend,NE,Dodge County,179.0
68859,North Loup,NE,Valley County,179.0
68964,Oak,NE,Nuckolls County,179.0
68761,Oakdale,NE,Antelope County,179.0
68045,Oakland,NE,Burt County,179.0
68860,Oconto,NE,Custer County,179.0
68415,Odell,NE,Gage County,179.0
68113,Offutt Afb,NE,Sarpy County,210.5
68416,Ohiowa,NE,Fillmore County,179.0
68101,Omaha,NE,Douglas County,210.5
68102,Omaha,NE,Douglas County,210.5
68103,Omaha,NE,Douglas County,210.5
68104,Omaha,NE,Douglas County,210.5
68105,Omaha,NE,Douglas County,210.5
68106,Omaha,NE,Douglas County,210.5
68107,Omaha,NE,Douglas County,210.5
68108,Omaha,NE,Douglas County,210.5
68109,Omaha,NE,Douglas County,210.5
68110,Omaha,NE,Douglas County,210.5
68111,Omaha,NE,Douglas County,210.5
68112,Omaha,NE,Douglas County,210.5
68114,Omaha,NE,Douglas County,210.5
68116,Omaha,NE,Douglas County,210.5
68117,Omaha,NE,Douglas County,210.5
68118,Omaha,NE,Douglas County,210.5
68119,Omaha,NE,Douglas County,210.5
68120,Omaha,NE,Douglas County,210.5
68122,Omaha,NE,Douglas County,210.5
68124,Omaha,NE,Douglas County,210.5
68127,Omaha,NE,Douglas County,210.5
68130,Omaha,NE,Douglas County,210.5
68131,Omaha,NE,Douglas County,210.5
68132,Omaha,NE,Douglas County,210.5
68134,Omaha,NE,Douglas County,210.5
68135,Omaha,NE,Douglas County,210.5
68136,Omaha,NE,Sarpy County,210.5
68137,Omaha,NE,Douglas County,210.5
68138,Omaha,NE,Sarpy County,210.5
68139,Omaha,NE,Douglas County,210.5
68142,Omaha,NE,Douglas County,210.5
68144,Omaha,NE,Douglas County,210.5
68145,Omaha,NE,Douglas County,210.5
68152,Omaha,NE,Douglas County,210.5
68154,Omaha,NE,Douglas County,210.5
68155,Omaha,NE,Douglas County,210.5
68157,Omaha,NE,Sarpy County,210.5
68164,Omaha,NE,Douglas County,210.5
68172,Omaha,NE,Douglas County,210.5
68175,Omaha,NE,Douglas County,210.5
68176,Omaha,NE,Douglas County,210.5
68178,Omaha,NE,Douglas County,210.5
68179,Omaha,NE,Douglas County,210.5
68180,Omaha,NE,Douglas County,210.5
68182,Omaha,NE,Douglas County,210.5
68183,Omaha,NE,Douglas County,210.5
68197,Omaha,NE,Douglas County,210.5
68198,Omaha,NE,Douglas County,210.5
68763,Oneill,NE,Holt County,179.0
68452,Ong,NE,Clay County,179.0
68764,Orchard,NE,Antelope County,179.0
68862,Ord,NE,Valley County,179.0
68966,Orleans,NE,Harlan County,179.0
68651,Osceola,NE,Polk County,179.0
68765,Osmond,NE,Pierce County,179.0
68417,Otoe,NE,Otoe County,179.0
68863,Overton,NE,Dawson County,179.0
68967,Oxford,NE,Furnas County,179.0
68766,Page,NE,Holt County,179.0
68864,Palmer,NE,Merrick County,179.0
68418,Palmyra,NE,Otoe County,179.0
68419,Panama,NE,Lancaster County,210.5
68046,Papillion,NE,Sarpy County,210.5
68133,Papillion,NE,Sarpy County,210.5
68420,Pawnee City,NE,Pawnee County,179.0
68047,Pender,NE,Thurston County,179.0
68421,Peru,NE,Nemaha County,179.0
68652,Petersburg,NE,Boone County,179.0
68865,Phillips,NE,Hamilton County,179.0
68422,Pickrell,NE,Gage County,179.0
68767,Pierce,NE,Pierce County,179.0
68768,Pilger,NE,Stanton County,179.0
68769,Plainview,NE,Pierce County,179.0
68653,Platte Center,NE,Platte County,179.0
68048,Plattsmouth,NE,Cass County,203.0
68423,Pleasant Dale,NE,Seward County,179.0
68866,Pleasanton,NE,Buffalo County,179.0
68424,Plymouth,NE,Jefferson County,179.0
68654,Polk,NE,Polk County,179.0
68770,Ponca,NE,Dixon County,179.0
68050,Prague,NE,Saunders County,203.0
68655,Primrose,NE,Boone County,179.0
69157,Purdum,NE,Blaine County,179.0
68771,Randolph,NE,Cedar County,179.0
68869,Ravenna,NE,Buffalo County,179.0
68428,Raymond,NE,Lancaster County,210.5
68970,Red Cloud,NE,Webster County,179.0
68971,Republican City,NE,Harlan County,179.0
68429,Reynolds,NE,Jefferson County,179.0
68658,Rising City,NE,Butler County,179.0
68870,Riverdale,NE,Buffalo County,179.0
68972,Riverton,NE,Franklin County,179.0
68430,Roca,NE,Lancaster County,210.5
68871,Rockville,NE,Sherman County,179.0
68659,Rogers,NE,Colfax County,179.0
68055,Rosalie,NE,Thurston County,179.0
68973,Roseland,NE,Adams County,179.0
68773,Royal,NE,Antelope County,179.0
68431,Rulo,NE,Richardson County,179.0
68974,Ruskin,NE,Nuckolls County,179.0
68660,Saint Edward,NE,Boone County,179.0
68774,Saint Helena,NE,Cedar County,179.0
68872,Saint Libory,NE,Howard County,179.0
68873,Saint Paul,NE,Howard County,179.0
68433,Salem,NE,Richardson County,179.0
68874,Sargent,NE,Custer County,179.0
68975,Saronville,NE,Clay County,179.0
68661,Schuyler,NE,Colfax County,179.0
68875,Scotia,NE,Greeley County,179.0
68057,Scribner,NE,Dodge County,179.0
68434,Seward,NE,Seward County,179.0
68662,Shelby,NE,Polk County,179.0
68876,Shelton,NE,Buffalo County,179.0
68436,Shickley,NE,Fillmore County,179.0
68437,Shubert,NE,Richardson County,179.0
68663,Silver Creek,NE,Merrick County,179.0
68976,Smithfield,NE,Gosper County,179.0
68058,South Bend,NE,Cass County,203.0
68776,South Sioux City,NE,Dakota County,179.0
68665,Spalding,NE,Greeley County,179.0
68777,Spencer,NE,Boyd County,179.0
68438,Sprague,NE,Lancaster County,210.5
68059,Springfield,NE,Sarpy County,210.5
68778,Springview,NE,Keya Paha County,179.0
68056,St Columbans,NE,Sarpy County,210.5
68977,Stamford,NE,Harlan County,179.0
68779,Stanton,NE,Stanton County,179.0
68439,Staplehurst,NE,Seward County,179.0
68440,Steele City,NE,Jefferson County,179.0
68441,Steinauer,NE,Pawnee County,179.0
68442,Stella,NE,Richardson County,179.0
68443,Sterling,NE,Johnson County,179.0
68444,Strang,NE,Fillmore County,179.0
68666,Stromsburg,NE,Polk County,179.0
68780,Stuart,NE,Holt County,179.0
68878,Sumner,NE,Dawson County,179.0
68978,Superior,NE,Nuckolls County,179.0
68667,Surprise,NE,Butler County,179.0
68979,Sutton,NE,Clay County,179.0
68445,Swanton,NE,Saline County,179.0
68446,Syracuse,NE,Otoe County,179.0
68447,Table Rock,NE,Pawnee County,179.0
68448,Talmage,NE,Otoe County,179.0
68879,Taylor,NE,Loup County,179.0
68450,Tecumseh,NE,Johnson County,179.0
68061,Tekamah,NE,Burt County,179.0
68062,Thurston,NE,Thurston County,179.0
68781,Tilden,NE,Madison County,179.0
68453,Tobias,NE,Saline County,179.0
68980,Trumbull,NE,Clay County,179.0
68669,Ulysses,NE,Butler County,179.0
68454,Unadilla,NE,Otoe County,179.0
68455,Union,NE,Cass County,203.0
68981,Upland,NE,Franklin County,179.0
68456,Utica,NE,Seward County,179.0
68064,Valley,NE,Douglas County,210.5
68065,Valparaiso,NE,Saunders County,203.0
68783,Verdigre,NE,Knox County,179.0
68457,Verdon,NE,Richardson County,179.0
68458,Virginia,NE,Gage County,179.0
68460,Waco,NE,York County,179.0
68066,Wahoo,NE,Saunders County,203.0
68784,Wakefield,NE,Dixon County,179.0
68067,Walthill,NE,Thurston County,179.0
68461,Walton,NE,Lancaster County,210.5
68068,Washington,NE,Washington County,203.0
68785,Waterbury,NE,Dixon County,179.0
68069,Waterloo,NE,Douglas County,210.5
68786,Wausa,NE,Knox County,179.0
68462,Waverly,NE,Lancaster County,210.5
68787,Wayne,NE,Wayne County,179.0
68463,Weeping Water,NE,Cass County,203.0
68788,West Point,NE,Cuming County,179.0
68464,Western,NE,Saline County,179.0
68881,Westerville,NE,Custer County,179.0
68070,Weston,NE,Saunders County,203.0
68465,Wilber,NE,Saline County,179.0
68982,Wilcox,NE,Kearney County,179.0
69171,Willow Island,NE,Dawson County,179.0
68071,Winnebago,NE,Thurston County,179.0
68789,Winnetoon,NE,Knox County,179.0
68790,Winside,NE,Wayne County,179.0
68791,Wisner,NE,Cuming County,179.0
68882,Wolbach,NE,Greeley County,179.0
68883,Wood River,NE,Hall County,179.0
68466,Wymore,NE,Gage County,179.0
68792,Wynot,NE,Cedar County,179.0
68467,York,NE,York County,179.0
68073,Yutan,NE,Saunders County,203.0
