zip,city,state,county,payout
08201,Absecon,NJ,Atlantic County,203.0
08205,Absecon,NJ,Atlantic County,203.0
07710,Adelphia,NJ,Monmouth County,210.5
07820,Allamuchy,NJ,Warren County,210.5
07401,Allendale,NJ,Bergen County,210.5
07711,Allenhurst,NJ,Monmouth County,210.5
08501,Allentown,NJ,Monmouth County,210.5
08720,Allenwood,NJ,Monmouth County,210.5
08001,Alloway,NJ,Salem County,203.0
07620,Alpine,NJ,Bergen County,210.5
07821,Andover,NJ,Sussex County,203.0
08801,Annandale,NJ,Hunterdon County,203.0
08802,Asbury,NJ,Hunterdon County,210.5
07712,Asbury Park,NJ,Monmouth County,210.5
08004,Atco,NJ,Camden County,210.5
08401,Atlantic City,NJ,Atlantic County,203.0
08404,Atlantic City,NJ,Atlantic County,203.0
08405,Atlantic City,NJ,Atlantic County,203.0
07716,Atlantic Highlands,NJ,Monmouth County,210.5
08106,Audubon,NJ,Camden County,210.5
07822,Augusta,NJ,Sussex County,203.0
08202,Avalon,NJ,Cape May County,203.0
07001,Avenel,NJ,Middlesex County,210.5
07717,Avon By The Sea,NJ,Monmouth County,210.5
08803,Baptistown,NJ,Hunterdon County,203.0
08005,Barnegat,NJ,Ocean County,210.5
08006,Barnegat Light,NJ,Ocean County,210.5
08007,Barrington,NJ,Camden County,210.5
07920,Basking Ridge,NJ,Somerset County,210.5
07002,Bayonne,NJ,Hudson County,210.5
08721,Bayville,NJ,Ocean County,210.5
08008,Beach Haven,NJ,Ocean County,210.5
08722,Beachwood,NJ,Ocean County,210.5
07921,Bedminster,NJ,Somerset County,210.5
07718,Belford,NJ,Monmouth County,210.5
08502,Belle Mead,NJ,Somerset County,210.5
07109,Belleville,NJ,Essex County,210.5
08031,Bellmawr,NJ,Camden County,210.5
08099,Bellmawr,NJ,Camden County,210.5
07715,Belmar,NJ,Monmouth County,210.5
07719,Belmar,NJ,Monmouth County,210.5
07823,Belvidere,NJ,Warren County,210.5
07621,Bergenfield,NJ,Bergen County,210.5
07922,Berkeley Heights,NJ,Union County,210.5
08009,Berlin,NJ,Camden County,210.5
07924,Bernardsville,NJ,Somerset County,210.5
08010,Beverly,NJ,Burlington County,210.5
08011,Birmingham,NJ,Burlington County,210.5
08012,Blackwood,NJ,Camden County,210.5
07825,Blairstown,NJ,Warren County,210.5
08504,Blawenburg,NJ,Somerset County,210.5
07003,Bloomfield,NJ,Essex County,210.5
07403,Bloomingdale,NJ,Passaic County,179.0
08804,Bloomsbury,NJ,Hunterdon County,203.0
07603,Bogota,NJ,Bergen County,210.5
07005,Boonton,NJ,Morris County,179.0
08505,Bordentown,NJ,Burlington County,210.5
08805,Bound Brook,NJ,Somerset County,210.5
07720,Bradley Beach,NJ,Monmouth County,210.5
07826,Branchville,NJ,Sussex County,203.0
07890,Branchville,NJ,Sussex County,203.0
08723,Brick,NJ,Ocean County,210.5
08724,Brick,NJ,Ocean County,210.5
08014,Bridgeport,NJ,Gloucester County,203.0
08302,Bridgeton,NJ,Cumberland County,203.0
08807,Bridgewater,NJ,Somerset County,210.5
08730,Brielle,NJ,Monmouth County,210.5
08203,Brigantine,NJ,Atlantic County,203.0
08808,Broadway,NJ,Warren County,210.5
07926,Brookside,NJ,Morris County,179.0
08015,Browns Mills,NJ,Burlington County,210.5
07828,Budd Lake,NJ,Morris County,179.0
08310,Buena,NJ,Atlantic County,203.0
08016,Burlington,NJ,Burlington County,210.5
07405,Butler,NJ,Morris County,179.0
07829,Buttzville,NJ,Warren County,210.5
07006,Caldwell,NJ,Essex County,210.5
07007,Caldwell,NJ,Essex County,210.5
07830,Califon,NJ,Hunterdon County,203.0
08101,Camden,NJ,Camden County,210.5
08102,Camden,NJ,Camden County,210.5
08103,Camden,NJ,Camden County,210.5
08104,Camden,NJ,Camden County,210.5
08105,Camden,NJ,Camden County,210.5
08204,Cape May,NJ,Cape May County,203.0
08210,Cape May Court House,NJ,Cape May County,203.0
08212,Cape May Point,NJ,Cape May County,203.0
07072,Carlstadt,NJ,Bergen County,210.5
07008,Carteret,NJ,Middlesex County,210.5
08018,Cedar Brook,NJ,Camden County,210.5
07009,Cedar Grove,NJ,Essex County,210.5
07927,Cedar Knolls,NJ,Morris County,179.0
08311,Cedarville,NJ,Cumberland County,203.0
07831,Changewater,NJ,Warren County,210.5
07928,Chatham,NJ,Morris County,179.0
08019,Chatsworth,NJ,Burlington County,210.5
08002,Cherry Hill,NJ,Camden County,210.5
08003,Cherry Hill,NJ,Camden County,210.5
08034,Cherry Hill,NJ,Camden County,210.5
07930,Chester,NJ,Morris County,179.0
08515,Chesterfield,NJ,Burlington County,210.5
