zip,city,state,county,payout
44301,Akron,OH,Summit County,210.5
44302,Akron,OH,Summit County,210.5
44303,Akron,OH,Summit County,210.5
44304,Akron,OH,Summit County,210.5
44305,Akron,OH,Summit County,210.5
44306,Akron,OH,Summit County,210.5
44307,Akron,OH,Summit County,210.5
44308,Akron,OH,Summit County,210.5
44309,Akron,OH,Summit County,210.5
44310,Akron,OH,Summit County,210.5
44311,Akron,OH,Summit County,210.5
44312,Akron,OH,Summit County,210.5
44313,Akron,OH,Summit County,210.5
44314,Akron,OH,Summit County,210.5
44315,Akron,OH,Summit County,210.5
44316,Akron,OH,Summit County,210.5
44317,Akron,OH,Summit County,210.5
44319,Akron,OH,Summit County,210.5
44320,Akron,OH,Summit County,210.5
44321,Akron,OH,Summit County,210.5
44325,Akron,OH,Summit County,210.5
44326,Akron,OH,Summit County,210.5
44328,Akron,OH,Summit County,210.5
44333,Akron,OH,Summit County,210.5
44372,Akron,OH,Summit County,210.5
44396,Akron,OH,Summit County,210.5
44398,Akron,OH,Summit County,210.5
43001,Alexandria,OH,Licking County,210.5
44601,Alliance,OH,Stark County,215.5
45301,Alpha,OH,Greene County,179.0
43002,Amlin,OH,Franklin County,222.0
44003,Andover,OH,Ashtabula County,210.5
45302,Anna,OH,Shelby County,179.0
45304,Arcanum,OH,Darke County,179.0
44805,Ashland,OH,Ashland County,203.0
43003,Ashley,OH,Delaware County,203.0
44004,Ashtabula,OH,Ashtabula County,210.5
44005,Ashtabula,OH,Ashtabula County,210.5
44201,Atwater,OH,Portage County,210.5
44202,Aurora,OH,Portage County,210.5
44010,Austinburg,OH,Ashtabula County,210.5
44203,Barberton,OH,Summit County,210.5
44210,Bath,OH,Summit County,210.5
44140,Bay Village,OH,Cuyahoga County,237.5
44608,Beach City,OH,Stark County,215.5
44122,Beachwood,OH,Cuyahoga County,237.5
44146,Bedford,OH,Cuyahoga County,237.5
45305,Bellbrook,OH,Greene County,179.0
44609,Beloit,OH,Mahoning County,210.5
44017,Berea,OH,Cuyahoga County,237.5
44401,Berlin Center,OH,Mahoning County,210.5
43004,Blacklick,OH,Franklin County,222.0
45107,Blanchester,OH,Clinton County,179.0
45306,Botkins,OH,Shelby County,179.0
45308,Bradford,OH,Darke County,179.0
44211,Brady Lake,OH,Portage County,210.5
44141,Brecksville,OH,Cuyahoga County,237.5
44613,Brewster,OH,Stark County,215.5
43109,Brice,OH,Franklin County,222.0
44402,Bristolville,OH,Trumbull County,203.0
44147,Broadview Heights,OH,Cuyahoga County,237.5
43007,Broadway,OH,Union County,179.0
44403,Brookfield,OH,Trumbull County,203.0
44142,Brookpark,OH,Cuyahoga County,237.5
45309,Brookville,OH,Montgomery County,195.0
43721,Brownsville,OH,Licking County,210.5
44212,Brunswick,OH,Medina County,203.0
43008,Buckeye Lake,OH,Licking County,210.5
44404,Burghill,OH,Trumbull County,203.0
44021,Burton,OH,Geauga County,223.5
