zip,city,state,county,payout
29426,Adams Run,SC,Charleston County,232.0
29429,Awendaw,SC,Charleston County,232.0
29002,Ballentine,SC,Richland County,210.5
29006,Batesburg,SC,Lexington County,203.0
29016,Blythewood,SC,Richland County,210.5
29431,Bonneau,SC,Berkeley County,232.0
29030,Cameron,SC,Calhoun County,203.0
29033,Cayce,SC,Lexington County,203.0
29036,Chapin,SC,Lexington County,203.0
29401,Charleston,SC,Charleston County,232.0
29402,Charleston,SC,Charleston County,232.0
29403,Charleston,SC,Charleston County,232.0
29406,Charleston,SC,Charleston County,232.0
29407,Charleston,SC,Charleston County,232.0
29409,Charleston,SC,Charleston County,232.0
29412,Charleston,SC,Charleston County,232.0
29413,Charleston,SC,Charleston County,232.0
29414,Charleston,SC,Charleston County,232.0
29416,Charleston,SC,Charleston County,232.0
29417,Charleston,SC,Charleston County,232.0
29422,Charleston,SC,Charleston County,232.0
29423,Charleston,SC,Charleston County,232.0
29424,Charleston,SC,Charleston County,232.0
29425,Charleston,SC,Charleston County,232.0
29492,Charleston,SC,Berkeley County,232.0
29404,Charleston Afb,SC,Charleston County,232.0
29201,Columbia,SC,Richland County,210.5
29202,Columbia,SC,Richland County,210.5
29203,Columbia,SC,Richland County,210.5
29204,Columbia,SC,Richland County,210.5
29205,Columbia,SC,Richland County,210.5
29206,Columbia,SC,Richland County,210.5
29207,Columbia,SC,Richland County,210.5
29208,Columbia,SC,Richland County,210.5
29209,Columbia,SC,Richland County,210.5
29210,Columbia,SC,Richland County,210.5
29211,Columbia,SC,Richland County,210.5
29212,Columbia,SC,Lexington County,203.0
29214,Columbia,SC,Richland County,210.5
29215,Columbia,SC,Richland County,210.5
29216,Columbia,SC,Richland County,210.5
29217,Columbia,SC,Richland County,210.5
29218,Columbia,SC,Richland County,210.5
29219,Columbia,SC,Richland County,210.5
29220,Columbia,SC,Richland County,210.5
29221,Columbia,SC,Richland County,210.5
29222,Columbia,SC,Richland County,210.5
29223,Columbia,SC,Richland County,210.5
29224,Columbia,SC,Richland County,210.5
29225,Columbia,SC,Richland County,210.5
29226,Columbia,SC,Richland County,210.5
29227,Columbia,SC,Richland County,210.5
29228,Columbia,SC,Richland County,203.0
29229,Columbia,SC,Richland County,210.5
29230,Columbia,SC,Richland County,210.5
29240,Columbia,SC,Richland County,210.5
29250,Columbia,SC,Richland County,210.5
29260,Columbia,SC,Richland County,210.5
29290,Columbia,SC,Richland County,210.5
29292,Columbia,SC,Richland County,210.5
29434,Cordesville,SC,Berkeley County,232.0
29436,Cross,SC,Berkeley County,232.0
29437,Dorchester,SC,Dorchester County,210.5
29044,Eastover,SC,Richland County,210.5
29438,Edisto Island,SC,Charleston County,203.0
29439,Folly Beach,SC,Charleston County,232.0
29052,Gadsden,SC,Richland County,210.5
29053,Gaston,SC,Lexington County,203.0
29054,Gilbert,SC,Lexington County,203.0
29445,Goose Creek,SC,Berkeley County,232.0
29447,Grover,SC,Dorchester County,210.5
29410,Hanahan,SC,Berkeley County,232.0
29448,Harleyville,SC,Dorchester County,210.5
29449,Hollywood,SC,Charleston County,232.0
29061,Hopkins,SC,Richland County,210.5
29450,Huger,SC,Berkeley County,232.0
29063,Irmo,SC,Richland County,210.5
29451,Isle Of Palms,SC,Charleston County,232.0
29453,Jamestown,SC,Berkeley County,232.0
29455,Johns Island,SC,Charleston County,232.0
29457,Johns Island,SC,Charleston County,232.0
29456,Ladson,SC,Dorchester County,232.0
29070,Leesville,SC,Lexington County,203.0
29071,Lexington,SC,Lexington County,203.0
29072,Lexington,SC,Lexington County,203.0
29073,Lexington,SC,Lexington County,203.0
29458,McClellanville,SC,Charleston County,232.0
29461,Moncks Corner,SC,Berkeley County,232.0
29464,Mount Pleasant,SC,Charleston County,232.0
29465,Mount Pleasant,SC,Charleston County,232.0
29466,Mount Pleasant,SC,Charleston County,232.0
29405,North Charleston,SC,Charleston County,232.0
29415,North Charleston,SC,Charleston County,232.0
29418,North Charleston,SC,Charleston County,232.0
29419,North Charleston,SC,Charleston County,232.0
29420,North Charleston,SC,Dorchester County,210.5
29123,Pelion,SC,Lexington County,203.0
29468,Pineville,SC,Berkeley County,232.0
29469,Pinopolis,SC,Berkeley County,232.0
29470,Ravenel,SC,Charleston County,232.0
29471,Reevesville,SC,Dorchester County,210.5
29472,Ridgeville,SC,Dorchester County,210.5
29476,Russellville,SC,Berkeley County,232.0
29477,Saint George,SC,Dorchester County,210.5
29135,Saint Matthews,SC,Calhoun County,203.0
29479,Saint Stephen,SC,Berkeley County,232.0
29147,State Park,SC,Richland County,210.5
29482,Sullivans Island,SC,Charleston County,232.0
29483,Summerville,SC,Dorchester County,210.5
29484,Summerville,SC,Dorchester County,210.5
29485,Summerville,SC,Dorchester County,210.5
29486,Summerville,SC,Berkeley County,210.5
29160,Swansea,SC,Lexington County,203.0
29487,Wadmalaw Island,SC,Charleston County,232.0
29169,West Columbia,SC,Lexington County,203.0
29170,West Columbia,SC,Lexington County,203.0
29171,West Columbia,SC,Lexington County,203.0
29172,West Columbia,SC,Lexington County,203.0
29177,White Rock,SC,Richland County,210.5
