zip,city,state,county,payout
75001,Addison,TX,Dallas County,260.0
78330,Agua Dulce,TX,Nueces County,179.0
78332,Alice,TX,Jim Wells County,179.0
77411,Alief,TX,Harris County,210.5
75002,Allen,TX,Collin County,210.5
75013,Allen,TX,Collin County,210.5
76009,Alvarado,TX,Johnson County,210.5
77511,Alvin,TX,Brazoria County,210.5
77512,Alvin,TX,Brazoria County,210.5
77515,Angleton,TX,Brazoria County,210.5
77516,Angleton,TX,Brazoria County,210.5
75409,Anna,TX,Collin County,210.5
78336,Aransas Pass,TX,San Patricio County,179.0
76226,Argyle,TX,Denton County,210.5
76001,Arlington,TX,Tarrant County,227.5
76002,Arlington,TX,Tarrant County,227.5
76003,Arlington,TX,Tarrant County,227.5
76004,Arlington,TX,Tarrant County,227.5
76005,Arlington,TX,Tarrant County,227.5
76006,Arlington,TX,Tarrant County,227.5
76007,Arlington,TX,Tarrant County,227.5
76010,Arlington,TX,Tarrant County,227.5
76011,Arlington,TX,Tarrant County,227.5
76012,Arlington,TX,Tarrant County,227.5
76013,Arlington,TX,Tarrant County,227.5
76014,Arlington,TX,Tarrant County,227.5
76015,Arlington,TX,Tarrant County,227.5
76016,Arlington,TX,Tarrant County,227.5
76017,Arlington,TX,Tarrant County,227.5
76018,Arlington,TX,Tarrant County,227.5
76019,Arlington,TX,Tarrant County,227.5
76094,Arlington,TX,Tarrant County,227.5
76096,Arlington,TX,Tarrant County,227.5
78338,Armstrong,TX,Kenedy County,179.0
76227,Aubrey,TX,Denton County,210.5
78702,Austin,TX,Travis County,195.0
78710,Austin,TX,Travis County,195.0
78719,Austin,TX,Travis County,195.0
78721,Austin,TX,Travis County,195.0
78722,Austin,TX,Travis County,195.0
78723,Austin,TX,Travis County,195.0
78724,Austin,TX,Travis County,195.0
78725,Austin,TX,Travis County,195.0
78728,Austin,TX,Travis County,195.0
78741,Austin,TX,Travis County,195.0
78742,Austin,TX,Travis County,195.0
78744,Austin,TX,Travis County,195.0
78747,Austin,TX,Travis County,195.0
78752,Austin,TX,Travis County,195.0
78753,Austin,TX,Travis County,195.0
78754,Austin,TX,Travis County,195.0
77950,Austwell,TX,Refugio County,179.0
76020,Azle,TX,Tarrant County,227.5
75413,Bailey,TX,Fannin County,203.0
75180,Balch Springs,TX,Dallas County,260.0
78339,Banquete,TX,Nueces County,179.0
77413,Barker,TX,Harris County,210.5
76511,Bartlett,TX,Williamson County,179.0
78602,Bastrop,TX,Bastrop County,179.0
77414,Bay City,TX,Matagorda County,179.0
78340,Bayside,TX,Refugio County,179.0
77520,Baytown,TX,Harris County,210.5
77521,Baytown,TX,Harris County,210.5
77522,Baytown,TX,Harris County,210.5
77523,Baytown,TX,Chambers County,210.5
77417,Beasley,TX,Fort Bend County,210.5
76021,Bedford,TX,Tarrant County,227.5
76022,Bedford,TX,Tarrant County,227.5
76095,Bedford,TX,Tarrant County,227.5
78102,Beeville,TX,Bee County,179.0
78104,Beeville,TX,Bee County,179.0
77401,Bellaire,TX,Harris County,210.5
77402,Bellaire,TX,Harris County,210.5
75414,Bells,TX,Grayson County,210.5
78342,Ben Bolt,TX,Jim Wells County,179.0
78107,Berclair,TX,Goliad County,179.0
78004,Bergheim,TX,Kendall County,179.0
78605,Bertram,TX,Burnet County,179.0
78343,Bishop,TX,Nueces County,179.0
78606,Blanco,TX,Blanco County,179.0
77419,Blessing,TX,Matagorda County,179.0
77951,Bloomington,TX,Victoria County,179.0
75424,Blue Ridge,TX,Collin County,210.5
78006,Boerne,TX,Kendall County,179.0
78015,Boerne,TX,Bexar County,179.0
75418,Bonham,TX,Fannin County,203.0
77422,Brazoria,TX,Brazoria County,210.5
78610,Buda,TX,Hays County,179.0
78163,Bulverde,TX,Comal County,179.0
76028,Burleson,TX,Johnson County,210.5
76097,Burleson,TX,Johnson County,210.5
78133,Canyon Lake,TX,Comal County,179.0
75006,Carrollton,TX,Dallas County,260.0
75007,Carrollton,TX,Denton County,210.5
75010,Carrollton,TX,Denton County,210.5
75011,Carrollton,TX,Dallas County,260.0
78612,Cedar Creek,TX,Bastrop County,179.0
75104,Cedar Hill,TX,Dallas County,260.0
75106,Cedar Hill,TX,Dallas County,260.0
75009,Celina,TX,Collin County,210.5
78010,Center Point,TX,Kerr County,179.0
77530,Channelview,TX,Harris County,210.5
76031,Cleburne,TX,Johnson County,210.5
76033,Cleburne,TX,Johnson County,210.5
77531,Clute,TX,Brazoria County,210.5
77331,Coldspring,TX,San Jacinto County,203.0
76034,Colleyville,TX,Tarrant County,227.5
76233,Collinsville,TX,Grayson County,210.5
78013,Comfort,TX,Kendall County,179.0
78349,Concepcion,TX,Duval County,179.0
77301,Conroe,TX,Montgomery County,210.5
77302,Conroe,TX,Montgomery County,210.5
77303,Conroe,TX,Montgomery County,210.5
77304,Conroe,TX,Montgomery County,210.5
77305,Conroe,TX,Montgomery County,210.5
77306,Conroe,TX,Montgomery County,210.5
77384,Conroe,TX,Montgomery County,210.5
77385,Conroe,TX,Montgomery County,210.5
75121,Copeville,TX,Collin County,210.5
75019,Coppell,TX,Dallas County,260.0
75099,Coppell,TX,Dallas County,260.0
78401,Corpus Christi,TX,Nueces County,179.0
78402,Corpus Christi,TX,Nueces County,179.0
78404,Corpus Christi,TX,Nueces County,179.0
78405,Corpus Christi,TX,Nueces County,179.0
78406,Corpus Christi,TX,Nueces County,179.0
78407,Corpus Christi,TX,Nueces County,179.0
78408,Corpus Christi,TX,Nueces County,179.0
78409,Corpus Christi,TX,Nueces County,179.0
78410,Corpus Christi,TX,Nueces County,179.0
78411,Corpus Christi,TX,Nueces County,179.0
78412,Corpus Christi,TX,Nueces County,179.0
78413,Corpus Christi,TX,Nueces County,179.0
78414,Corpus Christi,TX,Nueces County,179.0
78415,Corpus Christi,TX,Nueces County,179.0
78416,Corpus Christi,TX,Nueces County,179.0
78417,Corpus Christi,TX,Nueces County,179.0
78418,Corpus Christi,TX,Nueces County,179.0
78419,Corpus Christi,TX,Nueces County,179.0
78615,Coupland,TX,Travis County,244.0
77532,Crosby,TX,Harris County,210.5
76036,Crowley,TX,Tarrant County,227.5
77954,Cuero,TX,Dewitt County,179.0
77410,Cypress,TX,Harris County,210.5
77429,Cypress,TX,Harris County,210.5
77433,Cypress,TX,Harris County,210.5
78616,Dale,TX,Caldwell County,179.0
75201,Dallas,TX,Dallas County,260.0
75202,Dallas,TX,Dallas County,260.0
75203,Dallas,TX,Dallas County,260.0
75204,Dallas,TX,Dallas County,260.0
75205,Dallas,TX,Dallas County,260.0
75206,Dallas,TX,Dallas County,260.0
75207,Dallas,TX,Dallas County,260.0
75208,Dallas,TX,Dallas County,260.0
75209,Dallas,TX,Dallas County,260.0
75210,Dallas,TX,Dallas County,260.0
75211,Dallas,TX,Dallas County,260.0
75212,Dallas,TX,Dallas County,260.0
75214,Dallas,TX,Dallas County,260.0
75215,Dallas,TX,Dallas County,260.0
75216,Dallas,TX,Dallas County,260.0
75217,Dallas,TX,Dallas County,260.0
75218,Dallas,TX,Dallas County,260.0
75219,Dallas,TX,Dallas County,260.0
75220,Dallas,TX,Dallas County,260.0
75221,Dallas,TX,Dallas County,260.0
75222,Dallas,TX,Dallas County,260.0
75223,Dallas,TX,Dallas County,260.0
75224,Dallas,TX,Dallas County,260.0
75225,Dallas,TX,Dallas County,260.0
75226,Dallas,TX,Dallas County,260.0
75227,Dallas,TX,Dallas County,260.0
75228,Dallas,TX,Dallas County,260.0
75229,Dallas,TX,Dallas County,260.0
75230,Dallas,TX,Dallas County,260.0
75231,Dallas,TX,Dallas County,260.0
75232,Dallas,TX,Dallas County,260.0
75233,Dallas,TX,Dallas County,260.0
75234,Dallas,TX,Dallas County,260.0
75235,Dallas,TX,Dallas County,260.0
75236,Dallas,TX,Dallas County,260.0
75237,Dallas,TX,Dallas County,260.0
75238,Dallas,TX,Dallas County,260.0
75240,Dallas,TX,Dallas County,260.0
75241,Dallas,TX,Dallas County,260.0
75242,Dallas,TX,Dallas County,260.0
75243,Dallas,TX,Dallas County,260.0
75244,Dallas,TX,Dallas County,260.0
75246,Dallas,TX,Dallas County,260.0
75247,Dallas,TX,Dallas County,260.0
75248,Dallas,TX,Dallas County,260.0
75249,Dallas,TX,Dallas County,260.0
75250,Dallas,TX,Dallas County,260.0
75251,Dallas,TX,Dallas County,260.0
