zip,city,state,county,payout
84004,Alpine,UT,Utah County,211.5
84001,Altamont,UT,Duchesne County,187.0
84002,Altonah,UT,Duchesne County,187.0
84003,American Fork,UT,Utah County,211.5
84711,Annabella,UT,Sevier County,187.0
84620,Aurora,UT,Sevier County,187.0
84301,Bear River City,UT,Box Elder County,195.0
84006,Bingham Canyon,UT,Salt Lake County,205.0
84007,Bluebell,UT,Duchesne County,187.0
84010,Bountiful,UT,Davis County,211.5
84011,Bountiful,UT,Davis County,211.5
84302,Brigham City,UT,Box Elder County,195.0
84304,Cache Junction,UT,Cache County,211.5
84013,Cedar Valley,UT,Utah County,211.5
84014,Centerville,UT,Davis County,211.5
84305,Clarkston,UT,Cache County,211.5
84015,Clearfield,UT,Davis County,211.5
84016,Clearfield,UT,Davis County,211.5
84089,Clearfield,UT,Davis County,211.5
84017,Coalville,UT,Summit County,195.0
84306,Collinston,UT,Box Elder County,195.0
84307,Corinne,UT,Box Elder County,195.0
84308,Cornish,UT,Cache County,211.5
84018,Croydon,UT,Morgan County,195.0
84624,Delta,UT,Millard County,187.0
84309,Deweyville,UT,Box Elder County,195.0
84020,Draper,UT,Salt Lake County,205.0
84021,Duchesne,UT,Duchesne County,187.0
84022,Dugway,UT,Tooele County,211.5
84005,Eagle Mountain,UT,Utah County,211.5
84024,Echo,UT,Summit County,195.0
84310,Eden,UT,Weber County,195.0
84626,Elberta,UT,Utah County,211.5
84724,Elsinore,UT,Sevier County,187.0
84628,Eureka,UT,Juab County,203.0
84025,Farmington,UT,Davis County,211.5
84311,Fielding,UT,Box Elder County,195.0
84631,Fillmore,UT,Millard County,187.0
84027,Fruitland,UT,Duchesne County,187.0
84028,Garden City,UT,Rich County,187.0
84312,Garland,UT,Box Elder County,195.0
84728,Garrison,UT,Millard County,187.0
84730,Glenwood,UT,Sevier County,187.0
84633,Goshen,UT,Utah County,211.5
84029,Grantsville,UT,Tooele County,211.5
84313,Grouse Creek,UT,Box Elder County,195.0
84031,Hanna,UT,Duchesne County,187.0
84032,Heber City,UT,Wasatch County,195.0
84033,Henefer,UT,Summit County,195.0
84096,Herriman,UT,Salt Lake County,205.0
84056,Hill Afb,UT,Davis County,211.5
84635,Hinckley,UT,Millard County,187.0
84636,Holden,UT,Millard County,187.0
84314,Honeyville,UT,Box Elder County,195.0
84315,Hooper,UT,Weber County,195.0
84316,Howell,UT,Box Elder County,195.0
84317,Huntsville,UT,Weber County,195.0
84318,Hyde Park,UT,Cache County,211.5
84319,Hyrum,UT,Cache County,211.5
84034,Ibapah,UT,Tooele County,211.5
84739,Joseph,UT,Sevier County,187.0
84036,Kamas,UT,Summit County,195.0
84637,Kanosh,UT,Millard County,187.0
84037,Kaysville,UT,Davis County,211.5
84744,Koosharem,UT,Sevier County,187.0
84038,Laketown,UT,Rich County,187.0
84040,Layton,UT,Davis County,211.5
84041,Layton,UT,Davis County,211.5
84638,Leamington,UT,Millard County,187.0
