zip,city,state,county,payout
98520,Aberdeen,WA,Grays Harbor County,179.0
99001,Airway Heights,WA,Spokane County,222.0
98524,Allyn,WA,Mason County,179.0
98526,Amanda Park,WA,Grays Harbor County,179.0
98221,Anacortes,WA,Skagit County,203.0
98303,Anderson Island,WA,Pierce County,179.0
98811,Ardenvoir,WA,Chelan County,203.0
98223,Arlington,WA,Snohomish County,210.5
98304,Ashford,WA,Pierce County,179.0
98001,Auburn,WA,King County,210.5
98002,Auburn,WA,King County,210.5
98071,Auburn,WA,King County,210.5
98092,Auburn,WA,King County,210.5
98110,Bainbridge Island,WA,Kitsap County,179.0
98224,Baring,WA,King County,210.5
98528,Belfair,WA,Mason County,179.0
98004,Bellevue,WA,King County,210.5
98005,Bellevue,WA,King County,210.5
98006,Bellevue,WA,King County,210.5
98007,Bellevue,WA,King County,210.5
98008,Bellevue,WA,King County,210.5
98009,Bellevue,WA,King County,210.5
98015,Bellevue,WA,King County,210.5
99320,Benton City,WA,Benton County,210.5
98010,Black Diamond,WA,King County,210.5
98391,Bonney Lake,WA,Pierce County,179.0
98011,Bothell,WA,King County,210.5
98012,Bothell,WA,Snohomish County,210.5
98021,Bothell,WA,Snohomish County,210.5
98041,Bothell,WA,King County,210.5
98232,Bow,WA,Skagit County,203.0
98310,Bremerton,WA,Kitsap County,179.0
98311,Bremerton,WA,Kitsap County,179.0
98312,Bremerton,WA,Kitsap County,179.0
98314,Bremerton,WA,Kitsap County,179.0
98337,Bremerton,WA,Kitsap County,179.0
98813,Bridgeport,WA,Douglas County,203.0
98920,Brownstown,WA,Yakima County,203.0
98321,Buckley,WA,Pierce County,179.0
98921,Buena,WA,Yakima County,203.0
98233,Burlington,WA,Skagit County,203.0
98013,Burton,WA,King County,210.5
98430,Camp Murray,WA,Pierce County,179.0
98323,Carbonado,WA,Pierce County,179.0
98014,Carnation,WA,King County,210.5
98815,Cashmere,WA,Chelan County,203.0
98531,Centralia,WA,Lewis County,179.0
99003,Chattaroy,WA,Spokane County,222.0
98816,Chelan,WA,Chelan County,203.0
98817,Chelan Falls,WA,Chelan County,203.0
99004,Cheney,WA,Spokane County,222.0
98235,Clearlake,WA,Skagit County,203.0
99005,Colbert,WA,Spokane County,222.0
98237,Concrete,WA,Skagit County,203.0
99326,Connell,WA,Franklin County,210.5
98238,Conway,WA,Skagit County,203.0
98535,Copalis Beach,WA,Grays Harbor County,179.0
