zip,city,state,county,payout
33301,Fort Lauderdale,FL,Broward County,44.55
33304,Fort Lauderdale,FL,Broward County,44.55
33305,Fort Lauderdale,FL,Broward County,44.55
33306,Fort Lauderdale,FL,Broward County,44.55
33308,Fort Lauderdale,FL,Broward County,44.55
33309,Fort Lauderdale,FL,Broward County,44.55
33311,Fort Lauderdale,FL,Broward County,44.55
33312,Fort Lauderdale,FL,Broward County,44.55
33315,Fort Lauderdale,FL,Broward County,44.55
33316,Fort Lauderdale,FL,Broward County,44.55
33319,Fort Lauderdale,FL,Broward County,44.55
33901,Fort Myers,FL,Lee County,44.55
33905,Fort Myers,FL,Lee County,44.55
33907,Fort Myers,FL,Lee County,44.55
33908,Fort Myers,FL,Lee County,44.55
33912,Fort Myers,FL,Lee County,44.55
33913,Fort Myers,FL,Lee County,44.55
33916,Fort Myers,FL,Lee County,44.55
33919,Fort Myers,FL,Lee County,44.55
33965,Fort Myers,FL,Lee County,44.55
33966,Fort Myers,FL,Lee County,44.55
33967,Fort Myers,FL,Lee County,44.55
33023,Hollywood,FL,Broward County,44.55
32301,Tallahassee,FL,Leon County,35.89
32303,Tallahassee,FL,Leon County,35.89
32304,Tallahassee,FL,Leon County,35.89
32305,Tallahassee,FL,Leon County,35.89
32307,Tallahassee,FL,Leon County,35.89
32308,Tallahassee,FL,Leon County,35.89
32309,Tallahassee,FL,Leon County,35.89
32310,Tallahassee,FL,Leon County,35.89
32311,Tallahassee,FL,Leon County,35.89
32312,Tallahassee,FL,Leon County,35.89
32317,Tallahassee,FL,Leon County,35.89
