zip,city,state,county,payout
89011,Henderson,NV,Clark County,129.25
89101,Las Vegas,NV,Clark County,129.25
89104,Las Vegas,NV,Clark County,129.25
89110,Las Vegas,NV,Clark County,129.25
89115,Las Vegas,NV,Clark County,129.25
89121,Las Vegas,NV,Clark County,129.25
89122,Las Vegas,NV,Clark County,129.25
89142,Las Vegas,NV,Clark County,129.25
89156,Las Vegas,NV,Clark County,129.25
89191,Nellis AFB,NV,Clark County,129.25
89030,North Las Vegas,NV,Clark County,129.25
89081,North Las Vegas,NV,Clark County,129.25
