zip,city,state,county,payout
78236,Jbsa Lackland,TX,Bexar County,44.55
78201,San Antonio,TX,Bexar County,44.55
78202,San Antonio,TX,Bexar County,44.55
78203,San Antonio,TX,Bexar County,44.55
78204,San Antonio,TX,Bexar County,44.55
78205,San Antonio,TX,Bexar County,44.55
78207,San Antonio,TX,Bexar County,44.55
78210,San Antonio,TX,Bexar County,44.55
78211,San Antonio,TX,Bexar County,44.55
78212,San Antonio,TX,Bexar County,44.55
78213,San Antonio,TX,Bexar County,44.55
78214,San Antonio,TX,Bexar County,44.55
78215,San Antonio,TX,Bexar County,44.55
78220,San Antonio,TX,Bexar County,44.55
78221,San Antonio,TX,Bexar County,44.55
78222,San Antonio,TX,Bexar County,44.55
78223,San Antonio,TX,Bexar County,44.55
78224,San Antonio,TX,Bexar County,44.55
78225,San Antonio,TX,Bexar County,44.55
78226,San Antonio,TX,Bexar County,44.55
78227,San Antonio,TX,Bexar County,44.55
78228,San Antonio,TX,Bexar County,44.55
78229,San Antonio,TX,Bexar County,44.55
78230,San Antonio,TX,Bexar County,44.55
78237,San Antonio,TX,Bexar County,44.55
78238,San Antonio,TX,Bexar County,44.55
78240,San Antonio,TX,Bexar County,44.55
78242,San Antonio,TX,Bexar County,44.55
78251,San Antonio,TX,Bexar County,44.55
