zip,city,state,county,payout
94501,Alameda,CA,Alameda County,52.5
94502,Alameda,CA,Alameda County,52.5
94507,Alamo,CA,Contra Costa County,40.6
92656,Aliso Viejo,CA,Orange County,40.32
91901,Alpine,CA,San Diego County,47.25
91903,Alpine,CA,San Diego County,47.25
95701,Alta,CA,Placer County,42.35
95002,Alviso,CA,Santa Clara County,45.85
92801,Anaheim,CA,Orange County,40.32
92803,Anaheim,CA,Orange County,37.13
92804,Anaheim,CA,Orange County,40.32
92805,Anaheim,CA,Orange County,40.32
92806,Anaheim,CA,Orange County,33.6
92807,Anaheim,CA,Orange County,40.32
92808,Anaheim,CA,Orange County,40.32
92809,Anaheim,CA,Orange County,37.13
92812,Anaheim,CA,Orange County,37.13
92814,Anaheim,CA,Orange County,37.13
92815,Anaheim,CA,Orange County,37.13
92816,Anaheim,CA,Orange County,37.13
92817,Anaheim,CA,Orange County,37.13
92825,Anaheim,CA,Orange County,37.13
92850,Anaheim,CA,Orange County,37.13
92899,Anaheim,CA,Orange County,37.13
95843,Antelope,CA,Sacramento County,51.98
95703,Applegate,CA,Placer County,42.35
95001,Aptos,CA,Santa Cruz County,52.5
95003,Aptos,CA,Santa Cruz County,52.5
94027,Atherton,CA,San Mateo County,58.1
92811,Atwood,CA,Orange County,37.13
95602,Auburn,CA,Placer County,42.35
95603,Auburn,CA,Placer County,42.35
95604,Auburn,CA,Placer County,42.35
90706,Bellflower,CA,Los Angeles County,40.32
94002,Belmont,CA,San Mateo County,58.1
95005,Ben Lomond,CA,Santa Cruz County,52.5
94510,Benicia,CA,Solano County,40.6
94512,Birds Landing,CA,Solano County,40.6
91902,Bonita,CA,San Diego County,47.25
91908,Bonita,CA,San Diego County,47.25
95006,Boulder Creek,CA,Santa Cruz County,52.5
92821,Brea,CA,Orange County,40.32
94513,Brentwood,CA,Contra Costa County,40.6
94005,Brisbane,CA,San Mateo County,58.1
95606,Brooks,CA,Yolo County,42.35
90620,Buena Park,CA,Orange County,40.32
90621,Buena Park,CA,Orange County,40.32
94010,Burlingame,CA,San Mateo County,58.1
94011,Burlingame,CA,San Mateo County,58.1
94514,Byron,CA,Contra Costa County,40.6
95008,Campbell,CA,Santa Clara County,52.5
95009,Campbell,CA,Santa Clara County,52.5
95011,Campbell,CA,Santa Clara County,52.5
94516,Canyon,CA,Contra Costa County,40.6
95607,Capay,CA,Yolo County,42.35
92624,Capistrano Beach,CA,Orange County,40.32
95010,Capitola,CA,Santa Cruz County,52.5
92007,Cardiff By The Sea,CA,San Diego County,47.25
92008,Carlsbad,CA,San Diego County,47.25
92009,Carlsbad,CA,San Diego County,47.25
92010,Carlsbad,CA,San Diego County,47.25
92011,Carlsbad,CA,San Diego County,47.25
92013,Carlsbad,CA,San Diego County,47.25
92018,Carlsbad,CA,San Diego County,47.25
93922,Carmel,CA,Monterey County,52.5
93923,Carmel,CA,Monterey County,52.5
93921,Carmel By The Sea,CA,Monterey County,52.5
93924,Carmel Valley,CA,Monterey County,52.5
95608,Carmichael,CA,Sacramento County,40.42
96140,Carnelian Bay,CA,Placer County,42.35
94546,Castro Valley,CA,Alameda County,52.5
94552,Castro Valley,CA,Alameda County,52.5
92234,Cathedral City,CA,Riverside County,37.8
90703,Cerritos,CA,Los Angeles County,40.32
91909,Chula Vista,CA,San Diego County,47.25
91910,Chula Vista,CA,San Diego County,47.25
