zip,city,state,county,payout
32701,Altamonte Springs,FL,Seminole County,59.85
32714,Altamonte Springs,FL,Seminole County,59.85
32702,Altoona,FL,Lake County,52.25
33920,Alva,FL,Lee County,35.91
34216,Anna Maria,FL,Manatee County,52.25
33572,Apollo Beach,FL,Hillsborough County,57.75
32703,Apopka,FL,Orange County,59.85
32712,Apopka,FL,Orange County,59.85
34265,Arcadia,FL,Desoto County,44.1
34266,Arcadia,FL,Desoto County,63.0
34269,Arcadia,FL,Desoto County,37.13
34679,Aripeka,FL,Pasco County,52.67
34705,Astatula,FL,Lake County,52.25
32102,Astor,FL,Lake County,52.25
33823,Auburndale,FL,Polk County,46.2
33825,Avon Park,FL,Highlands County,46.2
33827,Babson Park,FL,Polk County,46.2
33503,Balm,FL,Hillsborough County,57.75
32105,Barberville,FL,Volusia County,36.75
33830,Bartow,FL,Polk County,49.0
33744,Bay Pines,FL,Pinellas County,55.0
33430,Belle Glade,FL,Palm Beach County,50.75
33786,Belleair Beach,FL,Pinellas County,55.0
34464,Beverly Hills,FL,Citrus County,49.0
34465,Beverly Hills,FL,Citrus County,55.13
33921,Boca Grande,FL,Lee County,37.13
33427,Boca Raton,FL,Palm Beach County,50.75
33428,Boca Raton,FL,Palm Beach County,50.75
33429,Boca Raton,FL,Palm Beach County,50.75
33431,Boca Raton,FL,Palm Beach County,50.75
33432,Boca Raton,FL,Palm Beach County,50.75
33433,Boca Raton,FL,Palm Beach County,50.75
33434,Boca Raton,FL,Palm Beach County,50.75
33464,Boca Raton,FL,Palm Beach County,50.75
33481,Boca Raton,FL,Palm Beach County,50.75
33486,Boca Raton,FL,Palm Beach County,50.75
33487,Boca Raton,FL,Palm Beach County,50.75
33488,Boca Raton,FL,Palm Beach County,50.75
33496,Boca Raton,FL,Palm Beach County,50.75
33497,Boca Raton,FL,Palm Beach County,50.75
33498,Boca Raton,FL,Palm Beach County,50.75
33499,Boca Raton,FL,Palm Beach County,50.75
33922,Bokeelia,FL,Lee County,35.91
34133,Bonita Springs,FL,Lee County,35.91
34134,Bonita Springs,FL,Lee County,35.91
34135,Bonita Springs,FL,Lee County,35.91
33834,Bowling Green,FL,Hardee County,43.89
33424,Boynton Beach,FL,Palm Beach County,50.75
33425,Boynton Beach,FL,Palm Beach County,50.75
33426,Boynton Beach,FL,Palm Beach County,50.75
33435,Boynton Beach,FL,Palm Beach County,50.75
33436,Boynton Beach,FL,Palm Beach County,50.75
33437,Boynton Beach,FL,Palm Beach County,50.75
33472,Boynton Beach,FL,Palm Beach County,50.75
33473,Boynton Beach,FL,Palm Beach County,50.75
33474,Boynton Beach,FL,Palm Beach County,50.75
34201,Bradenton,FL,Manatee County,69.3
34202,Bradenton,FL,Manatee County,63.0
34203,Bradenton,FL,Manatee County,52.25
34204,Bradenton,FL,Manatee County,37.13
34205,Bradenton,FL,Manatee County,52.25
34206,Bradenton,FL,Manatee County,37.13
34207,Bradenton,FL,Manatee County,69.3
34208,Bradenton,FL,Manatee County,69.3
34209,Bradenton,FL,Manatee County,55.3
34210,Bradenton,FL,Manatee County,52.25
34211,Bradenton,FL,Manatee County,69.3
34212,Bradenton,FL,Manatee County,52.25
34280,Bradenton,FL,Manatee County,37.13
34281,Bradenton,FL,Manatee County,37.13
34282,Bradenton,FL,Manatee County,37.13
34217,Bradenton Beach,FL,Manatee County,52.25
33508,Brandon,FL,Hillsborough County,49.0
33509,Brandon,FL,Hillsborough County,35.75
33510,Brandon,FL,Hillsborough County,57.75
33511,Brandon,FL,Hillsborough County,69.3
34601,Brooksville,FL,Hernando County,58.27
34602,Brooksville,FL,Hernando County,52.28
34603,Brooksville,FL,Hernando County,36.47
34604,Brooksville,FL,Hernando County,56.7
34605,Brooksville,FL,Hernando County,36.47
34613,Brooksville,FL,Hernando County,52.55
34614,Brooksville,FL,Hernando County,55.13
32110,Bunnell,FL,Flagler County,34.58
33438,Canal Point,FL,Palm Beach County,50.75
33439,Canal Point,FL,Palm Beach County,50.75
33904,Cape Coral,FL,Lee County,42.88
33909,Cape Coral,FL,Lee County,35.91
33910,Cape Coral,FL,Lee County,35.91
33914,Cape Coral,FL,Lee County,42.88
33990,Cape Coral,FL,Lee County,42.88
33991,Cape Coral,FL,Lee County,55.13
33993,Cape Coral,FL,Lee County,35.91
32706,Cassadaga,FL,Volusia County,36.75
32707,Casselberry,FL,Seminole County,52.25
32730,Casselberry,FL,Seminole County,52.25
32709,Christmas,FL,Orange County,52.25
33755,Clearwater,FL,Pinellas County,69.3
33756,Clearwater,FL,Pinellas County,69.3
33757,Clearwater,FL,Pinellas County,55.0
33758,Clearwater,FL,Pinellas County,55.0
33759,Clearwater,FL,Pinellas County,55.0
33760,Clearwater,FL,Pinellas County,66.15
33761,Clearwater,FL,Pinellas County,55.0
33762,Clearwater,FL,Pinellas County,66.15
33763,Clearwater,FL,Pinellas County,69.3
33764,Clearwater,FL,Pinellas County,66.15
33765,Clearwater,FL,Pinellas County,55.0
33766,Clearwater,FL,Pinellas County,55.0
33769,Clearwater,FL,Pinellas County,55.0
33767,Clearwater Beach,FL,Pinellas County,55.0
34711,Clermont,FL,Lake County,59.85
34714,Clermont,FL,Lake County,52.25
34715,Clermont,FL,Lake County,52.25
33440,Clewiston,FL,Hendry County,35.91
32922,Cocoa,FL,Brevard County,36.23
32926,Cocoa,FL,Brevard County,34.58
32927,Cocoa,FL,Brevard County,36.23
34215,Cortez,FL,Manatee County,52.25
32112,Crescent City,FL,Putnam County,34.58
34681,Crystal Beach,FL,Pinellas County,55.0
34423,Crystal River,FL,Citrus County,49.0
34429,Crystal River,FL,Citrus County,48.13
33524,Crystal Springs,FL,Pasco County,35.75
33523,Dade City,FL,Pasco County,53.55
33525,Dade City,FL,Pasco County,52.55
33526,Dade City,FL,Pasco County,35.75
33836,Davenport,FL,Polk County,49.0
33837,Davenport,FL,Polk County,59.85
33896,Davenport,FL,Polk County,58.27
33897,Davenport,FL,Polk County,49.0
32114,Daytona Beach,FL,Volusia County,59.85
32115,Daytona Beach,FL,Volusia County,36.75
32116,Daytona Beach,FL,Volusia County,36.75
32117,Daytona Beach,FL,Volusia County,59.85
32118,Daytona Beach,FL,Volusia County,52.25
32119,Daytona Beach,FL,Volusia County,52.25
32120,Daytona Beach,FL,Volusia County,36.75
32121,Daytona Beach,FL,Volusia County,36.75
