zip,city,state,county,payout
67001,Andale,KS,Sedgwick County,47.03
67002,Andover,KS,Butler County,47.03
67010,Augusta,KS,Butler County,47.03
67017,Benton,KS,Butler County,47.03
66840,Burns,KS,Marion County,47.03
67020,Burrton,KS,Harvey County,47.03
67025,Cheney,KS,Sedgwick County,47.03
67026,Clearwater,KS,Sedgwick County,47.03
67030,Colwich,KS,Sedgwick County,47.03
66018,De Soto,KS,Johnson County,40.79
67037,Derby,KS,Sedgwick County,53.87
67039,Douglass,KS,Butler County,47.03
67042,El Dorado,KS,Butler County,47.03
67050,Garden Plain,KS,Sedgwick County,47.03
66030,Gardner,KS,Johnson County,40.79
67052,Goddard,KS,Sedgwick County,47.03
67055,Greenwich,KS,Sedgwick County,47.03
67056,Halstead,KS,Harvey County,47.03
67060,Haysville,KS,Sedgwick County,47.03
67062,Hesston,KS,Harvey County,47.03
66101,Kansas City,KS,Wyandotte County,40.79
66102,Kansas City,KS,Wyandotte County,40.79
66103,Kansas City,KS,Wyandotte County,52.45
66104,Kansas City,KS,Wyandotte County,40.79
66106,Kansas City,KS,Wyandotte County,52.45
66109,Kansas City,KS,Wyandotte County,52.45
66111,Kansas City,KS,Wyandotte County,52.45
66118,Kansas City,KS,Wyandotte County,33.08
67067,Kechi,KS,Sedgwick County,47.03
66206,Leawood,KS,Johnson County,42.52
66209,Leawood,KS,Johnson County,33.08
66215,Lenexa,KS,Johnson County,52.45
66220,Lenexa,KS,Johnson County,40.79
67074,Leon,KS,Butler County,47.03
67101,Maize,KS,Sedgwick County,47.03
67221,McConnell AFB,KS,Sedgwick County,47.03
66202,Mission,KS,Johnson County,40.79
66205,Mission,KS,Johnson County,40.79
67108,Mount Hope,KS,Sedgwick County,47.03
66031,New Century,KS,Johnson County,33.08
67114,Newton,KS,Harvey County,47.03
66061,Olathe,KS,Johnson County,40.79
66062,Olathe,KS,Johnson County,52.45
66204,Overland Park,KS,Johnson County,40.79
66210,Overland Park,KS,Johnson County,32.6
66212,Overland Park,KS,Johnson County,52.45
66213,Overland Park,KS,Johnson County,33.08
66214,Overland Park,KS,Johnson County,42.52
66223,Overland Park,KS,Johnson County,40.79
66224,Overland Park,KS,Johnson County,33.08
67123,Potwin,KS,Butler County,47.03
66208,Prairie Village,KS,Johnson County,42.52
67132,Rosalia,KS,Butler County,47.03
67133,Rose Hill,KS,Butler County,47.03
67135,Sedgwick,KS,Harvey County,47.03
66203,Shawnee,KS,Johnson County,40.79
66216,Shawnee,KS,Johnson County,40.79
67144,Towanda,KS,Butler County,47.03
67147,Valley Center,KS,Sedgwick County,47.03
67149,Viola,KS,Sedgwick County,47.03
67151,Walton,KS,Harvey County,47.03
67154,Whitewater,KS,Butler County,47.03
67202,Wichita,KS,Sedgwick County,47.03
67203,Wichita,KS,Sedgwick County,53.87
67204,Wichita,KS,Sedgwick County,47.03
67205,Wichita,KS,Sedgwick County,47.03
67206,Wichita,KS,Sedgwick County,53.87
67207,Wichita,KS,Sedgwick County,53.87
67208,Wichita,KS,Sedgwick County,47.03
67209,Wichita,KS,Sedgwick County,47.03
67210,Wichita,KS,Sedgwick County,47.03
67211,Wichita,KS,Sedgwick County,47.03
67212,Wichita,KS,Sedgwick County,53.87
67213,Wichita,KS,Sedgwick County,47.03
67214,Wichita,KS,Sedgwick County,47.03
67215,Wichita,KS,Sedgwick County,47.03
67216,Wichita,KS,Sedgwick County,47.03
67217,Wichita,KS,Sedgwick County,53.87
67218,Wichita,KS,Sedgwick County,47.03
67219,Wichita,KS,Sedgwick County,53.87
67220,Wichita,KS,Sedgwick County,53.87
67223,Wichita,KS,Sedgwick County,47.03
67226,Wichita,KS,Sedgwick County,47.03
67227,Wichita,KS,Sedgwick County,47.03
67228,Wichita,KS,Sedgwick County,47.03
67230,Wichita,KS,Sedgwick County,53.87
67232,Wichita,KS,Sedgwick County,47.03
67235,Wichita,KS,Sedgwick County,47.03
67260,Wichita,KS,Sedgwick County,47.03
