zip,city,state,county,payout
02351,Abington,MA,Plymouth County,38.5
02018,Accord,MA,Plymouth County,38.5
02743,Acushnet,MA,Bristol County,38.5
01220,Adams,MA,Berkshire County,34.65
01810,Andover,MA,Essex County,34.02
01812,Andover,MA,Essex County,37.13
01899,Andover,MA,Essex County,37.13
05501,Andover,MA,Essex County,37.13
02474,Arlington,MA,Middlesex County,37.13
02476,Arlington,MA,Middlesex County,37.13
02475,Arlington Heights,MA,Middlesex County,37.13
01222,Ashley Falls,MA,Berkshire County,34.65
02702,Assonet,MA,Bristol County,38.5
02630,Barnstable,MA,Barnstable County,38.5
01223,Becket,MA,Berkshire County,34.65
02779,Berkley,MA,Bristol County,38.5
01224,Berkshire,MA,Berkshire County,34.65
01822,Billerica,MA,Middlesex County,37.13
02020,Brant Rock,MA,Plymouth County,38.5
02631,Brewster,MA,Barnstable County,35.0
02324,Bridgewater,MA,Plymouth County,38.5
02325,Bridgewater,MA,Plymouth County,38.5
02301,Brockton,MA,Plymouth County,38.5
02302,Brockton,MA,Plymouth County,38.5
02303,Brockton,MA,Plymouth County,38.5
02304,Brockton,MA,Plymouth County,38.5
02305,Brockton,MA,Plymouth County,38.5
02327,Bryantville,MA,Plymouth County,38.5
01805,Burlington,MA,Middlesex County,37.13
02532,Buzzards Bay,MA,Barnstable County,38.5
02542,Buzzards Bay,MA,Barnstable County,38.5
02330,Carver,MA,Plymouth County,38.5
02534,Cataumet,MA,Barnstable County,38.5
02632,Centerville,MA,Barnstable County,38.5
02634,Centerville,MA,Barnstable County,38.5
02633,Chatham,MA,Barnstable County,35.0
01225,Cheshire,MA,Berkshire County,34.65
01011,Chester,MA,Hampden County,34.65
01012,Chesterfield,MA,Hampshire County,34.65
02635,Cotuit,MA,Barnstable County,38.5
02637,Cummaquid,MA,Barnstable County,38.5
01026,Cummington,MA,Hampshire County,34.65
01226,Dalton,MA,Berkshire County,34.65
02638,Dennis,MA,Barnstable County,38.5
02639,Dennis Port,MA,Barnstable County,40.95
01343,Drury,MA,Berkshire County,34.65
01827,Dunstable,MA,Middlesex County,34.02
02331,Duxbury,MA,Plymouth County,38.5
02332,Duxbury,MA,Plymouth County,38.5
02333,East Bridgewater,MA,Plymouth County,38.5
02641,East Dennis,MA,Barnstable County,35.0
02536,East Falmouth,MA,Barnstable County,38.5
02717,East Freetown,MA,Bristol County,38.5
02643,East Orleans,MA,Barnstable County,35.0
01029,East Otis,MA,Berkshire County,34.65
02537,East Sandwich,MA,Barnstable County,40.95
02718,East Taunton,MA,Bristol County,38.5
