zip,city,state,county,payout
21810,Allen,MD,Wicomico County,39.88
21230,Baltimore,MD,Baltimore city,39.88
21607,Barclay,MD,Queen Anne'S County,39.88
21811,Berlin,MD,Worcester County,45.67
21609,Bethlehem,MD,Caroline County,39.88
21610,Betterton,MD,Kent County,39.88
21813,Bishopville,MD,Worcester County,45.67
21814,Bivalve,MD,Wicomico County,39.88
21612,Bozman,MD,Talbot County,39.88
21613,Cambridge,MD,Dorchester County,45.67
21913,Cecilton,MD,Cecil County,39.88
21617,Centreville,MD,Queen Anne'S County,39.88
21914,Charlestown,MD,Cecil County,39.88
21915,Chesapeake City,MD,Cecil County,39.88
21619,Chester,MD,Queen Anne'S County,45.67
21620,Chestertown,MD,Kent County,39.88
21690,Chestertown,MD,Kent County,39.88
21622,Church Creek,MD,Dorchester County,39.88
21623,Church Hill,MD,Queen Anne'S County,39.88
21624,Claiborne,MD,Talbot County,39.88
21917,Colora,MD,Cecil County,39.88
21918,Conowingo,MD,Cecil County,39.88
21625,Cordova,MD,Talbot County,39.88
21626,Crapo,MD,Dorchester County,39.88
21817,Crisfield,MD,Somerset County,39.88
21627,Crocheron,MD,Dorchester County,39.88
21628,Crumpton,MD,Queen Anne'S County,39.88
21821,Deal Island,MD,Somerset County,39.88
21875,Delmar,MD,Wicomico County,39.88
21629,Denton,MD,Caroline County,39.88
21919,Earleville,MD,Cecil County,39.88
21631,East New Market,MD,Dorchester County,39.88
21601,Easton,MD,Talbot County,39.88
21822,Eden,MD,Wicomico County,39.88
21921,Elkton,MD,Cecil County,45.67
21922,Elkton,MD,Cecil County,39.88
21632,Federalsburg,MD,Caroline County,45.67
21634,Fishing Creek,MD,Dorchester County,39.88
21826,Fruitland,MD,Wicomico County,39.88
21635,Galena,MD,Kent County,39.88
21829,Girdletree,MD,Worcester County,39.88
21636,Goldsboro,MD,Caroline County,39.88
21638,Grasonville,MD,Queen Anne'S County,39.88
21639,Greensboro,MD,Caroline County,39.88
21078,Havre De Grace,MD,Harford County,39.88
21830,Hebron,MD,Wicomico County,39.88
21640,Henderson,MD,Caroline County,39.88
21641,Hillsboro,MD,Caroline County,39.88
21643,Hurlock,MD,Dorchester County,39.88
21644,Ingleside,MD,Queen Anne'S County,39.88
21645,Kennedyville,MD,Kent County,39.88
21835,Linkwood,MD,Dorchester County,39.88
21648,Madison,MD,Dorchester County,39.88
21837,Mardela Springs,MD,Wicomico County,39.88
21838,Marion Station,MD,Somerset County,39.88
21649,Marydel,MD,Caroline County,39.88
21650,Massey,MD,Kent County,39.88
21647,McDaniel,MD,Talbot County,39.88
21651,Millington,MD,Kent County,39.88
21840,Nanticoke,MD,Wicomico County,39.88
21652,Neavitt,MD,Talbot County,39.88
21841,Newark,MD,Worcester County,39.88
21653,Newcomb,MD,Talbot County,39.88
21901,North East,MD,Cecil County,45.67
21842,Ocean City,MD,Worcester County,39.88
21843,Ocean City,MD,Worcester County,39.88
21654,Oxford,MD,Talbot County,39.88
21849,Parsonsburg,MD,Wicomico County,39.88
21903,Perryville,MD,Cecil County,39.88
21850,Pittsville,MD,Wicomico County,39.88
21851,Pocomoke City,MD,Worcester County,39.88
21904,Port Deposit,MD,Cecil County,39.88
21852,Powellville,MD,Wicomico County,39.88
21655,Preston,MD,Caroline County,39.88
21656,Price,MD,Queen Anne'S County,39.88
21853,Princess Anne,MD,Somerset County,39.88
21856,Quantico,MD,Wicomico County,39.88
21657,Queen Anne,MD,Queen Anne'S County,39.88
21658,Queenstown,MD,Queen Anne'S County,39.88
21659,Rhodesdale,MD,Dorchester County,39.88
21660,Ridgely,MD,Caroline County,39.88
21911,Rising Sun,MD,Cecil County,39.88
21661,Rock Hall,MD,Kent County,39.88
21662,Royal Oak,MD,Talbot County,39.88
21663,Saint Michaels,MD,Talbot County,39.88
21801,Salisbury,MD,Wicomico County,45.67
21802,Salisbury,MD,Wicomico County,39.88
21803,Salisbury,MD,Wicomico County,39.88
21804,Salisbury,MD,Wicomico County,45.67
21664,Secretary,MD,Dorchester County,39.88
21861,Sharptown,MD,Wicomico County,39.88
21665,Sherwood,MD,Talbot County,39.88
21862,Showell,MD,Worcester County,39.88
21863,Snow Hill,MD,Worcester County,45.67
21666,Stevensville,MD,Queen Anne'S County,39.88
21667,Still Pond,MD,Kent County,39.88
21864,Stockton,MD,Worcester County,39.88
21668,Sudlersville,MD,Queen Anne'S County,39.88
21669,Taylors Island,MD,Dorchester County,39.88
21671,Tilghman,MD,Talbot County,39.88
21672,Toddville,MD,Dorchester County,39.88
21673,Trappe,MD,Talbot County,39.88
21865,Tyaskin,MD,Wicomico County,39.88
21869,Vienna,MD,Dorchester County,39.88
21912,Warwick,MD,Cecil County,39.88
21871,Westover,MD,Somerset County,39.88
21890,Westover,MD,Somerset County,39.88
21872,Whaleyville,MD,Worcester County,39.88
21874,Willards,MD,Wicomico County,39.88
21675,Wingate,MD,Dorchester County,39.88
21676,Wittman,MD,Talbot County,39.88
21677,Woolford,MD,Dorchester County,39.88
21678,Worton,MD,Kent County,39.88
21679,Wye Mills,MD,Talbot County,39.88
