zip,city,state,county,payout
55308,Becker,MN,Sherburne County,33.55
55309,Big Lake,MN,Sherburne County,33.55
55008,Cambridge,MN,Isanti County,33.55
55318,Chaska,MN,Carver County,36.23
55013,Chisago City,MN,Chisago County,33.55
55014,Circle Pines,MN,Anoka County,36.23
55319,Clear Lake,MN,Sherburne County,33.55
55331,Excelsior,MN,Hennepin County,36.23
55032,Harris,MN,Chisago County,33.55
55033,Hastings,MN,Dakota County,36.23
55040,Isanti,MN,Isanti County,33.55
55043,Lakeland,MN,Washington County,36.23
55045,Lindstrom,MN,Chisago County,33.55
55311,Maple Grove,MN,Hennepin County,36.23
55047,Marine On Saint Croix,MN,Washington County,33.55
55401,Minneapolis,MN,Hennepin County,38.43
55411,Minneapolis,MN,Hennepin County,36.23
55414,Minneapolis,MN,Hennepin County,36.23
55415,Minneapolis,MN,Hennepin County,36.23
55416,Minneapolis,MN,Hennepin County,38.43
55418,Minneapolis,MN,Hennepin County,36.23
55420,Minneapolis,MN,Hennepin County,38.43
55421,Minneapolis,MN,Anoka County,38.43
55422,Minneapolis,MN,Hennepin County,38.43
55431,Minneapolis,MN,Hennepin County,36.23
55432,Minneapolis,MN,Anoka County,36.23
55437,Minneapolis,MN,Hennepin County,38.43
55438,Minneapolis,MN,Hennepin County,36.23
55443,Minneapolis,MN,Hennepin County,36.23
55447,Minneapolis,MN,Hennepin County,36.23
55448,Minneapolis,MN,Anoka County,36.23
55056,North Branch,MN,Chisago County,33.55
55371,Princeton,MN,Mille Lacs County,33.55
55101,Saint Paul,MN,Ramsey County,38.43
55102,Saint Paul,MN,Ramsey County,38.43
55104,Saint Paul,MN,Ramsey County,38.43
55112,Saint Paul,MN,Ramsey County,36.23
55113,Saint Paul,MN,Ramsey County,38.43
55117,Saint Paul,MN,Ramsey County,38.43
55118,Saint Paul,MN,Dakota County,38.43
55121,Saint Paul,MN,Dakota County,36.23
55124,Saint Paul,MN,Dakota County,38.43
55126,Saint Paul,MN,Ramsey County,36.23
55073,Scandia,MN,Washington County,33.55
55079,Stacy,MN,Chisago County,33.55
55082,Stillwater,MN,Washington County,38.43
55395,Winsted,MN,Mcleod County,33.55
55398,Zimmerman,MN,Sherburne County,33.55
