zip,city,state,county,payout
63011,Ballwin,MO,St. Louis County,45.36
63021,Ballwin,MO,St. Louis County,45.36
64012,Belton,MO,Cass County,33.08
64016,Buckner,MO,Jackson County,52.45
63005,Chesterfield,MO,St. Louis County,35.28
63017,Chesterfield,MO,St. Louis County,45.36
63026,Fenton,MO,St. Louis County,45.36
64030,Grandview,MO,Jackson County,42.52
64034,Greenwood,MO,Jackson County,42.52
64050,Independence,MO,Jackson County,32.6
64052,Independence,MO,Jackson County,32.6
64057,Independence,MO,Jackson County,52.45
64101,Kansas City,MO,Jackson County,40.79
64105,Kansas City,MO,Jackson County,33.08
64106,Kansas City,MO,Jackson County,40.79
64109,Kansas City,MO,Jackson County,42.52
64111,Kansas City,MO,Jackson County,32.6
64114,Kansas City,MO,Jackson County,52.45
64116,Kansas City,MO,Clay County,33.08
64118,Kansas City,MO,Clay County,40.79
64119,Kansas City,MO,Clay County,40.79
64127,Kansas City,MO,Jackson County,52.45
64129,Kansas City,MO,Jackson County,32.6
64130,Kansas City,MO,Jackson County,42.52
64131,Kansas City,MO,Jackson County,42.52
64132,Kansas City,MO,Jackson County,52.45
64133,Kansas City,MO,Jackson County,32.6
64134,Kansas City,MO,Jackson County,52.45
64137,Kansas City,MO,Jackson County,42.52
64138,Kansas City,MO,Jackson County,42.52
64152,Kansas City,MO,Platte County,42.52
64155,Kansas City,MO,Clay County,33.08
64157,Kansas City,MO,Clay County,33.08
64060,Kearney,MO,Clay County,32.6
64063,Lees Summit,MO,Jackson County,52.45
64064,Lees Summit,MO,Jackson County,42.52
64081,Lees Summit,MO,Jackson County,52.45
64082,Lees Summit,MO,Jackson County,52.45
64086,Lees Summit,MO,Jackson County,52.45
64068,Liberty,MO,Clay County,40.79
64079,Platte City,MO,Platte County,32.6
63303,Saint Charles,MO,St. Charles County,45.36
63114,Saint Louis,MO,St. Louis County,45.36
63120,Saint Louis,MO,St. Louis city,45.36
63141,Saint Louis,MO,St. Louis County,45.36
63146,Saint Louis,MO,St. Louis County,45.36
