zip,city,state,county,payout
27502,Apex,NC,Wake County,37.8
27215,Burlington,NC,Alamance County,33.08
27511,Cary,NC,Wake County,37.8
27513,Cary,NC,Wake County,37.8
27012,Clemmons,NC,Forsyth County,33.08
27288,Eden,NC,Rockingham County,33.08
27526,Fuquay Varina,NC,Wake County,37.8
27253,Graham,NC,Alamance County,33.08
27260,High Point,NC,Guilford County,33.08
27265,High Point,NC,Guilford County,33.08
27540,Holly Springs,NC,Wake County,37.8
27284,Kernersville,NC,Forsyth County,33.08
27023,Lewisville,NC,Forsyth County,33.08
27292,Lexington,NC,Davidson County,33.08
27295,Lexington,NC,Davidson County,33.08
27298,Liberty,NC,Randolph County,33.08
27025,Madison,NC,Rockingham County,33.08
27320,Reidsville,NC,Rockingham County,33.08
27360,Thomasville,NC,Davidson County,33.08
27051,Walkertown,NC,Forsyth County,33.08
27101,Winston-Salem,NC,Forsyth County,33.08
27103,Winston-Salem,NC,Forsyth County,33.08
27105,Winston-Salem,NC,Forsyth County,33.08
27106,Winston-Salem,NC,Forsyth County,33.08
27107,Winston-Salem,NC,Forsyth County,33.08
