zip,city,state,county,payout
89014,Henderson,NV,Clark County,45.36
89015,Henderson,NV,Clark County,45.36
89052,Henderson,NV,Clark County,59.53
89074,Henderson,NV,Clark County,45.36
89101,Las Vegas,NV,Clark County,59.53
89104,Las Vegas,NV,Clark County,45.36
89107,Las Vegas,NV,Clark County,59.53
89108,Las Vegas,NV,Clark County,59.53
89110,Las Vegas,NV,Clark County,46.3
89113,Las Vegas,NV,Clark County,45.36
89115,Las Vegas,NV,Clark County,59.53
89117,Las Vegas,NV,Clark County,45.36
89119,Las Vegas,NV,Clark County,59.53
89121,Las Vegas,NV,Clark County,59.53
89123,Las Vegas,NV,Clark County,59.53
89129,Las Vegas,NV,Clark County,42.52
89130,Las Vegas,NV,Clark County,45.36
89131,Las Vegas,NV,Clark County,59.53
89141,Las Vegas,NV,Clark County,59.53
89142,Las Vegas,NV,Clark County,45.36
89145,Las Vegas,NV,Clark County,45.36
89147,Las Vegas,NV,Clark County,59.53
89148,Las Vegas,NV,Clark County,45.36
89156,Las Vegas,NV,Clark County,59.53
89030,North Las Vegas,NV,Clark County,59.53
89084,North Las Vegas,NV,Clark County,59.53
