zip,city,state,county,payout
11701,Amityville,NY,Suffolk County,36.23
11702,Babylon,NY,Suffolk County,36.23
11706,Bay Shore,NY,Suffolk County,36.23
11710,Bellmore,NY,Nassau County,36.23
11722,Central Islip,NY,Suffolk County,36.23
11725,Commack,NY,Suffolk County,36.23
11729,Deer Park,NY,Suffolk County,36.23
11554,East Meadow,NY,Nassau County,36.23
11731,East Northport,NY,Suffolk County,36.23
11735,Farmingdale,NY,Nassau County,36.23
11743,Huntington,NY,Suffolk County,36.23
11746,Huntington Station,NY,Suffolk County,36.23
11756,Levittown,NY,Nassau County,36.23
11757,Lindenhurst,NY,Suffolk County,36.23
11758,Massapequa,NY,Nassau County,36.23
11566,Merrick,NY,Nassau County,36.23
11768,Northport,NY,Suffolk County,36.23
11568,Old Westbury,NY,Nassau County,36.23
11772,Patchogue,NY,Suffolk County,36.23
11776,Port Jefferson Station,NY,Suffolk County,36.23
11779,Ronkonkoma,NY,Suffolk County,36.23
11782,Sayville,NY,Suffolk County,36.23
11784,Selden,NY,Suffolk County,36.23
11786,Shoreham,NY,Suffolk County,36.23
11787,Smithtown,NY,Suffolk County,36.23
11790,Stony Brook,NY,Suffolk County,36.23
11792,Wading River,NY,Suffolk County,36.23
11704,West Babylon,NY,Suffolk County,36.23
11590,Westbury,NY,Nassau County,36.23
