zip,city,state,county,payout
19501,Adamstown,PA,Lancaster County,35.0
17302,Airville,PA,York County,49.0
17501,Akron,PA,Lancaster County,35.0
18101,Allentown,PA,Lehigh County,36.23
18102,Allentown,PA,Lehigh County,36.23
18103,Allentown,PA,Lehigh County,36.23
18104,Allentown,PA,Lehigh County,36.23
18106,Allentown,PA,Lehigh County,36.23
17502,Bainbridge,PA,Lancaster County,49.0
19004,Bala Cynwyd,PA,Montgomery County,36.23
17503,Bart,PA,Lancaster County,49.0
17504,Bausman,PA,Lancaster County,49.0
19020,Bensalem,PA,Bucks County,36.23
18015,Bethlehem,PA,Northampton County,36.23
17505,Bird In Hand,PA,Lancaster County,49.0
17506,Blue Ball,PA,Lancaster County,35.0
19422,Blue Bell,PA,Montgomery County,36.23
17507,Bowmansville,PA,Lancaster County,35.0
17309,Brogue,PA,York County,49.0
17508,Brownstown,PA,Lancaster County,35.0
19010,Bryn Mawr,PA,Delaware County,36.23
17509,Christiana,PA,Lancaster County,35.0
17311,Codorus,PA,York County,35.0
17512,Columbia,PA,Lancaster County,49.0
17516,Conestoga,PA,Lancaster County,49.0
19428,Conshohocken,PA,Montgomery County,36.23
17312,Craley,PA,York County,49.0
17313,Dallastown,PA,York County,49.0
18038,Danielsville,PA,Northampton County,36.23
17314,Delta,PA,York County,49.0
17517,Denver,PA,Lancaster County,35.0
17019,Dillsburg,PA,York County,35.0
17315,Dover,PA,York County,35.0
17518,Drumore,PA,Lancaster County,49.0
17519,East Earl,PA,Lancaster County,35.0
18041,East Greenville,PA,Montgomery County,36.23
17520,East Petersburg,PA,Lancaster County,49.0
17317,East Prospect,PA,York County,49.0
18040,Easton,PA,Northampton County,36.23
18042,Easton,PA,Northampton County,36.23
19028,Edgemont,PA,Delaware County,35.75
17022,Elizabethtown,PA,Lancaster County,35.0
17521,Elm,PA,Lancaster County,35.0
17318,Emigsville,PA,York County,49.0
18049,Emmaus,PA,Lehigh County,36.23
17522,Ephrata,PA,Lancaster County,35.0
17319,Etters,PA,York County,35.0
17321,Fawn Grove,PA,York County,49.0
17322,Felton,PA,York County,49.0
19031,Flourtown,PA,Montgomery County,36.23
17323,Franklintown,PA,York County,35.0
17527,Gap,PA,Lancaster County,35.0
19525,Gilbertsville,PA,Montgomery County,36.23
17327,Glen Rock,PA,York County,49.0
17329,Glenville,PA,York County,35.0
17528,Goodville,PA,Lancaster County,35.0
17529,Gordonville,PA,Lancaster County,35.0
17331,Hanover,PA,York County,35.0
17332,Hanover,PA,York County,35.0
17333,Hanover,PA,York County,35.0
17334,Hanover,PA,York County,35.0
17335,Hanover,PA,York County,35.0
19040,Hatboro,PA,Montgomery County,36.23
17532,Holtwood,PA,Lancaster County,49.0
17533,Hopeland,PA,Lancaster County,35.0
17534,Intercourse,PA,Lancaster County,35.0
18229,Jim Thorpe,PA,Carbon County,36.23
17535,Kinzers,PA,Lancaster County,35.0
17536,Kirkwood,PA,Lancaster County,35.0
19530,Kutztown,PA,Berks County,36.23
17537,Lampeter,PA,Lancaster County,49.0
17601,Lancaster,PA,Lancaster County,49.0
17602,Lancaster,PA,Lancaster County,49.0
17603,Lancaster,PA,Lancaster County,49.0
17604,Lancaster,PA,Lancaster County,49.0
17605,Lancaster,PA,Lancaster County,49.0
17606,Lancaster,PA,Lancaster County,49.0
17607,Lancaster,PA,Lancaster County,49.0
17608,Lancaster,PA,Lancaster County,49.0
17611,Lancaster,PA,Lancaster County,49.0
17622,Lancaster,PA,Lancaster County,49.0
17699,Lancaster,PA,Lancaster County,49.0
17538,Landisville,PA,Lancaster County,49.0
19047,Langhorne,PA,Bucks County,36.23
19446,Lansdale,PA,Montgomery County,36.23
17540,Leola,PA,Lancaster County,35.0
17339,Lewisberry,PA,York County,35.0
17543,Lititz,PA,Lancaster County,49.0
17342,Loganville,PA,York County,49.0
17345,Manchester,PA,York County,35.0
17545,Manheim,PA,Lancaster County,49.0
17547,Marietta,PA,Lancaster County,49.0
17549,Martindale,PA,Lancaster County,35.0
17550,Maytown,PA,Lancaster County,49.0
17551,Millersville,PA,Lancaster County,49.0
17552,Mount Joy,PA,Lancaster County,49.0
17347,Mount Wolf,PA,York County,49.0
17554,Mountville,PA,Lancaster County,49.0
17555,Narvon,PA,Lancaster County,35.0
18064,Nazareth,PA,Northampton County,36.23
17070,New Cumberland,PA,Cumberland County,35.0
17349,New Freedom,PA,York County,49.0
17557,New Holland,PA,Lancaster County,35.0
17352,New Park,PA,York County,49.0
17560,New Providence,PA,Lancaster County,49.0
19401,Norristown,PA,Montgomery County,36.23
18071,Palmerton,PA,Carbon County,36.23
17562,Paradise,PA,Lancaster County,35.0
17563,Peach Bottom,PA,Lancaster County,49.0
18072,Pen Argyl,PA,Northampton County,36.23
17564,Penryn,PA,Lancaster County,35.0
17565,Pequea,PA,Lancaster County,49.0
19104,Philadelphia,PA,Philadelphia County,36.23
19107,Philadelphia,PA,Philadelphia County,36.23
19111,Philadelphia,PA,Philadelphia County,36.23
19115,Philadelphia,PA,Philadelphia County,36.23
19122,Philadelphia,PA,Philadelphia County,36.23
19123,Philadelphia,PA,Philadelphia County,36.23
19124,Philadelphia,PA,Philadelphia County,36.23
19125,Philadelphia,PA,Philadelphia County,36.23
19130,Philadelphia,PA,Philadelphia County,36.23
19131,Philadelphia,PA,Philadelphia County,36.23
19132,Philadelphia,PA,Philadelphia County,36.23
19134,Philadelphia,PA,Philadelphia County,36.23
19135,Philadelphia,PA,Philadelphia County,36.23
19136,Philadelphia,PA,Philadelphia County,36.23
19138,Philadelphia,PA,Philadelphia County,36.23
19140,Philadelphia,PA,Philadelphia County,36.23
19144,Philadelphia,PA,Philadelphia County,36.23
19145,Philadelphia,PA,Philadelphia County,36.23
19147,Philadelphia,PA,Philadelphia County,36.23
19149,Philadelphia,PA,Philadelphia County,36.23
19151,Philadelphia,PA,Philadelphia County,36.23
17354,Porters Sideling,PA,York County,49.0
18951,Quakertown,PA,Bucks County,36.23
17566,Quarryville,PA,Lancaster County,49.0
17355,Railroad,PA,York County,49.0
17567,Reamstown,PA,Lancaster County,35.0
17356,Red Lion,PA,York County,49.0
17568,Refton,PA,Lancaster County,49.0
17569,Reinholds,PA,Lancaster County,35.0
17570,Rheems,PA,Lancaster County,49.0
17572,Ronks,PA,Lancaster County,49.0
17573,Ronks,PA,Lancaster County,49.0
17358,Rossville,PA,York County,35.0
19468,Royersford,PA,Montgomery County,36.23
17360,Seven Valleys,PA,York County,49.0
17361,Shrewsbury,PA,York County,49.0
17575,Silver Spring,PA,Lancaster County,49.0
17576,Smoketown,PA,Lancaster County,49.0
18966,Southampton,PA,Bucks County,36.23
19397,Southeastern,PA,Chester County,39.88
19398,Southeastern,PA,Chester County,39.88
19399,Southeastern,PA,Chester County,39.88
17362,Spring Grove,PA,York County,49.0
17578,Stevens,PA,Lancaster County,35.0
17363,Stewartstown,PA,York County,49.0
17579,Strasburg,PA,Lancaster County,49.0
17580,Talmage,PA,Lancaster County,49.0
18252,Tamaqua,PA,Schuylkill County,36.23
17581,Terre Hill,PA,Lancaster County,35.0
17364,Thomasville,PA,York County,35.0
18087,Trexlertown,PA,Lehigh County,36.23
17582,Washington Boro,PA,Lancaster County,49.0
19087,Wayne,PA,Chester County,36.23
17365,Wellsville,PA,York County,35.0
19383,West Chester,PA,Chester County,39.88
19395,Westtown,PA,Chester County,39.88
17584,Willow Street,PA,Lancaster County,49.0
17366,Windsor,PA,York County,49.0
17585,Witmer,PA,Lancaster County,49.0
17368,Wrightsville,PA,York County,49.0
17401,York,PA,York County,49.0
17402,York,PA,York County,49.0
17403,York,PA,York County,49.0
17404,York,PA,York County,49.0
17405,York,PA,York County,49.0
17406,York,PA,York County,49.0
17407,York,PA,York County,49.0
