zip,city,state,county,payout
75001,Addison,TX,Dallas County,41.9
78101,Adkins,TX,Wilson County,49.5
75410,Alba,TX,Wood County,49.86
76008,Aledo,TX,Parker County,34.65
75002,Allen,TX,Collin County,46.55
75013,Allen,TX,Collin County,46.55
75409,Anna,TX,Collin County,34.38
76226,Argyle,TX,Denton County,44.0
76001,Arlington,TX,Tarrant County,34.65
76002,Arlington,TX,Tarrant County,41.9
76005,Arlington,TX,Tarrant County,44.47
76006,Arlington,TX,Tarrant County,39.69
76010,Arlington,TX,Tarrant County,46.55
76011,Arlington,TX,Tarrant County,46.55
76012,Arlington,TX,Tarrant County,36.38
76013,Arlington,TX,Tarrant County,49.0
76014,Arlington,TX,Tarrant County,41.9
76015,Arlington,TX,Tarrant County,46.55
76016,Arlington,TX,Tarrant County,34.65
76017,Arlington,TX,Tarrant County,34.65
76018,Arlington,TX,Tarrant County,40.42
78002,Atascosa,TX,Bexar County,49.5
75751,Athens,TX,Henderson County,49.86
75752,Athens,TX,Henderson County,35.89
73301,Austin,TX,Travis County,45.33
73344,Austin,TX,Travis County,48.13
78701,Austin,TX,Travis County,46.78
78702,Austin,TX,Travis County,59.85
78703,Austin,TX,Travis County,51.03
78704,Austin,TX,Travis County,59.85
78705,Austin,TX,Travis County,58.27
78708,Austin,TX,Travis County,48.13
78709,Austin,TX,Travis County,48.13
78710,Austin,TX,Travis County,40.84
78711,Austin,TX,Travis County,48.13
78712,Austin,TX,Travis County,40.84
78713,Austin,TX,Travis County,48.13
78714,Austin,TX,Travis County,48.13
78715,Austin,TX,Travis County,48.13
78716,Austin,TX,Travis County,48.13
78717,Austin,TX,Williamson County,52.45
78718,Austin,TX,Travis County,48.13
78719,Austin,TX,Travis County,40.84
78720,Austin,TX,Travis County,48.13
78721,Austin,TX,Travis County,51.03
78722,Austin,TX,Travis County,51.03
78723,Austin,TX,Travis County,59.85
78724,Austin,TX,Travis County,55.13
78725,Austin,TX,Travis County,40.84
78726,Austin,TX,Travis County,52.45
78727,Austin,TX,Travis County,40.84
78728,Austin,TX,Travis County,40.84
78729,Austin,TX,Williamson County,52.45
78730,Austin,TX,Travis County,42.52
78731,Austin,TX,Travis County,55.13
