zip,city,state,county,payout
22301,Alexandria,VA,Alexandria city,39.69
22304,Alexandria,VA,Alexandria city,36.85
22314,Alexandria,VA,Alexandria city,39.69
22003,Annandale,VA,Fairfax County,36.85
22201,Arlington,VA,Arlington County,39.69
22202,Arlington,VA,Arlington County,39.69
22204,Arlington,VA,Arlington County,36.85
22205,Arlington,VA,Arlington County,39.69
22206,Arlington,VA,Arlington County,36.85
22207,Arlington,VA,Arlington County,39.69
22209,Arlington,VA,Arlington County,39.69
22042,Falls Church,VA,Fairfax County,39.69
22043,Falls Church,VA,Fairfax County,39.69
22046,Falls Church,VA,Falls Church City County,36.85
23356,Greenbackville,VA,Accomack County,39.88
22102,Mc Lean,VA,Fairfax County,39.69
