zip,city,state,county,payout
72002,Alexander,AR,Saline County,189.5
72003,Almyra,AR,Arkansas County,193.0
71920,Alpine,AR,Clark County,189.5
72004,Altheimer,AR,Jefferson County,193.0
71921,Amity,AR,Clark County,189.5
71923,Arkadelphia,AR,Clark County,189.5
71998,Arkadelphia,AR,Clark County,189.5
71999,Arkadelphia,AR,Clark County,189.5
71630,Arkansas City,AR,Desha County,189.5
72007,Austin,AR,Lonoke County,189.5
71631,Banks,AR,Bradley County,189.5
72011,Bauxite,AR,Saline County,189.5
72411,Bay,AR,Craighead County,193.0
71720,Bearden,AR,Ouachita County,189.5
71721,Beirne,AR,Clark County,189.5
72015,Benton,AR,Saline County,189.5
72018,Benton,AR,Saline County,189.5
72019,Benton,AR,Saline County,189.5
72158,Benton,AR,Saline County,189.5
72017,Biscoe,AR,Prairie County,189.5
71929,Bismarck,AR,Hot Spring County,189.5
72414,Black Oak,AR,Craighead County,193.0
71933,Bonnerdale,AR,Garland County,189.5
72416,Bono,AR,Craighead County,193.0
72021,Brinkley,AR,Monroe County,189.5
72417,Brookland,AR,Craighead County,193.0
72022,Bryant,AR,Saline County,189.5
72089,Bryant,AR,Saline County,189.5
72023,Cabot,AR,Lonoke County,189.5
71724,Calion,AR,Union County,189.5
71701,Camden,AR,Ouachita County,189.5
71711,Camden,AR,Calhoun County,189.5
72419,Caraway,AR,Craighead County,193.0
72024,Carlisle,AR,Lonoke County,189.5
71725,Carthage,AR,Dallas County,189.5
72421,Cash,AR,Craighead County,193.0
72026,Casscoe,AR,Arkansas County,193.0
71726,Chidester,AR,Ouachita County,189.5
72029,Clarendon,AR,Monroe County,189.5
72325,Clarkedale,AR,Crittenden County,189.5
72053,College Station,AR,Pulaski County,193.0
72032,Conway,AR,Faulkner County,193.0
72033,Conway,AR,Faulkner County,193.0
72034,Conway,AR,Faulkner County,193.0
72035,Conway,AR,Faulkner County,193.0
72037,Coy,AR,Lonoke County,189.5
72327,Crawfordsville,AR,Crittenden County,189.5
72038,Crocketts Bluff,AR,Arkansas County,193.0
71635,Crossett,AR,Ashley County,189.5
71728,Curtis,AR,Clark County,189.5
72039,Damascus,AR,Faulkner County,193.0
72041,De Valls Bluff,AR,Prairie County,189.5
72042,De Witt,AR,Arkansas County,193.0
72040,Des Arc,AR,Prairie County,189.5
71941,Donaldson,AR,Hot Spring County,189.5
71639,Dumas,AR,Desha County,189.5
72331,Earle,AR,Crittenden County,189.5
72332,Edmondson,AR,Crittenden County,189.5
72427,Egypt,AR,Craighead County,193.0
71730,El Dorado,AR,Union County,189.5
71731,El Dorado,AR,Union County,189.5
72046,England,AR,Lonoke County,189.5
72047,Enola,AR,Faulkner County,193.0
72048,Ethel,AR,Arkansas County,193.0
71742,Fordyce,AR,Dallas County,189.5
71642,Fountain Hill,AR,Ashley County,189.5
71942,Friendship,AR,Hot Spring County,189.5
72055,Gillett,AR,Arkansas County,193.0
72339,Gilmore,AR,Crittenden County,189.5
71643,Gould,AR,Lincoln County,189.5
71644,Grady,AR,Lincoln County,189.5
72057,Grapevine,AR,Grant County,189.5
72058,Greenbrier,AR,Faulkner County,193.0
71743,Gurdon,AR,Clark County,189.5
