zip,city,state,county,payout
80101,Agate,CO,Elbert County,189.5
81020,Aguilar,CO,Las Animas County,189.5
80510,Allenspark,CO,Boulder County,201.0
80804,Arriba,CO,Lincoln County,189.5
80001,Arvada,CO,Jefferson County,193.0
80002,Arvada,CO,Jefferson County,193.0
80003,Arvada,CO,Jefferson County,193.0
80004,Arvada,CO,Jefferson County,193.0
80005,Arvada,CO,Jefferson County,193.0
80006,Arvada,CO,Jefferson County,193.0
80007,Arvada,CO,Jefferson County,193.0
80610,Ault,CO,Weld County,203.0
80010,Aurora,CO,Arapahoe County,193.0
80011,Aurora,CO,Arapahoe County,206.5
80012,Aurora,CO,Arapahoe County,193.0
80013,Aurora,CO,Arapahoe County,193.0
80014,Aurora,CO,Arapahoe County,193.0
80015,Aurora,CO,Arapahoe County,193.0
80016,Aurora,CO,Arapahoe County,193.0
80017,Aurora,CO,Arapahoe County,193.0
80018,Aurora,CO,Arapahoe County,193.0
80019,Aurora,CO,Adams County,206.5
80040,Aurora,CO,Arapahoe County,206.5
80041,Aurora,CO,Arapahoe County,193.0
80042,Aurora,CO,Arapahoe County,206.5
80044,Aurora,CO,Arapahoe County,193.0
80045,Aurora,CO,Adams County,206.5
80046,Aurora,CO,Arapahoe County,193.0
80047,Aurora,CO,Arapahoe County,193.0
81022,Avondale,CO,Pueblo County,189.5
80512,Bellvue,CO,Larimer County,213.0
80102,Bennett,CO,Adams County,206.5
80513,Berthoud,CO,Larimer County,213.0
81023,Beulah,CO,Pueblo County,189.5
80422,Black Hawk,CO,Gilpin County,189.5
81024,Boncarbo,CO,Las Animas County,189.5
81025,Boone,CO,Pueblo County,189.5
80301,Boulder,CO,Boulder County,201.0
80302,Boulder,CO,Boulder County,201.0
80303,Boulder,CO,Boulder County,201.0
80304,Boulder,CO,Boulder County,201.0
80305,Boulder,CO,Boulder County,201.0
80306,Boulder,CO,Boulder County,201.0
80307,Boulder,CO,Boulder County,201.0
80308,Boulder,CO,Boulder County,201.0
80309,Boulder,CO,Boulder County,201.0
80310,Boulder,CO,Boulder County,201.0
80314,Boulder,CO,Boulder County,201.0
81027,Branson,CO,Las Animas County,189.5
80424,Breckenridge,CO,Summit County,189.5
80611,Briggsdale,CO,Weld County,203.0
80601,Brighton,CO,Adams County,206.5
80602,Brighton,CO,Adams County,206.5
80603,Brighton,CO,Weld County,206.5
80020,Broomfield,CO,Broomfield County,189.5
80021,Broomfield,CO,Jefferson County,193.0
80023,Broomfield,CO,Broomfield County,189.5
80038,Broomfield,CO,Broomfield County,189.5
80425,Buffalo Creek,CO,Jefferson County,193.0
80103,Byers,CO,Arapahoe County,193.0
80808,Calhan,CO,El Paso County,341.5
81212,Canon City,CO,Fremont County,193.0
81215,Canon City,CO,Fremont County,193.0
80612,Carr,CO,Weld County,203.0
80809,Cascade,CO,El Paso County,341.5
80104,Castle Rock,CO,Douglas County,193.0
80108,Castle Rock,CO,Douglas County,193.0
80109,Castle Rock,CO,Douglas County,193.0
80427,Central City,CO,Gilpin County,189.5
81221,Coal Creek,CO,Fremont County,193.0
81222,Coaldale,CO,Fremont County,193.0
81019,Colorado City,CO,Pueblo County,189.5
80901,Colorado Springs,CO,El Paso County,341.5
