zip,city,state,county,payout
06230,Abington,CT,Windham County,189.5
06231,Amston,CT,Tolland County,189.5
06232,Andover,CT,Tolland County,189.5
06278,Ashford,CT,Windham County,189.5
06001,Avon,CT,Hartford County,189.5
06233,Ballouville,CT,Windham County,189.5
06330,Baltic,CT,New London County,189.5
06037,Berlin,CT,Hartford County,189.5
06801,Bethel,CT,Fairfield County,193.0
06002,Bloomfield,CT,Hartford County,189.5
06043,Bolton,CT,Tolland County,189.5
06404,Botsford,CT,Fairfield County,193.0
06334,Bozrah,CT,New London County,189.5
06601,Bridgeport,CT,Fairfield County,193.0
06602,Bridgeport,CT,Fairfield County,193.0
06604,Bridgeport,CT,Fairfield County,193.0
06605,Bridgeport,CT,Fairfield County,193.0
06606,Bridgeport,CT,Fairfield County,193.0
06607,Bridgeport,CT,Fairfield County,193.0
06608,Bridgeport,CT,Fairfield County,193.0
06610,Bridgeport,CT,Fairfield County,193.0
06673,Bridgeport,CT,Fairfield County,193.0
06699,Bridgeport,CT,Fairfield County,193.0
06010,Bristol,CT,Hartford County,189.5
06011,Bristol,CT,Hartford County,189.5
06016,Broad Brook,CT,Hartford County,189.5
06804,Brookfield,CT,Fairfield County,193.0
06234,Brooklyn,CT,Windham County,189.5
06013,Burlington,CT,Hartford County,189.5
06331,Canterbury,CT,Windham County,189.5
06019,Canton,CT,Hartford County,189.5
06020,Canton Center,CT,Hartford County,189.5
06332,Central Village,CT,Windham County,189.5
06235,Chaplin,CT,Windham County,189.5
06415,Colchester,CT,New London County,189.5
06022,Collinsville,CT,Hartford County,189.5
06237,Columbia,CT,Tolland County,189.5
06807,Cos Cob,CT,Fairfield County,193.0
06238,Coventry,CT,Tolland County,189.5
06810,Danbury,CT,Fairfield County,193.0
06811,Danbury,CT,Fairfield County,193.0
06813,Danbury,CT,Fairfield County,193.0
06814,Danbury,CT,Fairfield County,193.0
06816,Danbury,CT,Fairfield County,193.0
06817,Danbury,CT,Fairfield County,193.0
06239,Danielson,CT,Windham County,189.5
06820,Darien,CT,Fairfield County,193.0
06241,Dayville,CT,Windham County,189.5
06023,East Berlin,CT,Hartford County,189.5
06025,East Glastonbury,CT,Hartford County,189.5
06026,East Granby,CT,Hartford County,189.5
06108,East Hartford,CT,Hartford County,189.5
