zip,city,state,county,payout
83801,Athol,ID,Kootenai County,189.5
83602,Banks,ID,Boise County,189.5
83803,Bayview,ID,Kootenai County,189.5
83810,Cataldo,ID,Kootenai County,189.5
83814,Coeur D Alene,ID,Kootenai County,189.5
83815,Coeur D Alene,ID,Kootenai County,189.5
83816,Coeur D Alene,ID,Kootenai County,189.5
83617,Emmett,ID,Gem County,189.5
83619,Fruitland,ID,Payette County,189.5
83622,Garden Valley,ID,Boise County,189.5
83623,Glenns Ferry,ID,Elmore County,189.5
83624,Grand View,ID,Owyhee County,189.5
83425,Hamer,ID,Jefferson County,189.5
83627,Hammett,ID,Elmore County,189.5
83833,Harrison,ID,Kootenai County,189.5
83835,Hayden,ID,Kootenai County,189.5
83628,Homedale,ID,Owyhee County,189.5
83629,Horseshoe Bend,ID,Boise County,189.5
83631,Idaho City,ID,Boise County,189.5
83636,Letha,ID,Gem County,189.5
83431,Lewisville,ID,Jefferson County,189.5
83637,Lowman,ID,Boise County,189.5
83639,Marsing,ID,Owyhee County,189.5
83842,Medimont,ID,Kootenai County,189.5
83434,Menan,ID,Jefferson County,189.5
83645,Midvale,ID,Washington County,189.5
83435,Monteview,ID,Jefferson County,189.5
83647,Mountain Home,ID,Elmore County,189.5
83648,Mountain Home Afb,ID,Elmore County,189.5
83650,Murphy,ID,Owyhee County,189.5
83655,New Plymouth,ID,Payette County,189.5
83657,Ola,ID,Gem County,189.5
83661,Payette,ID,Payette County,189.5
83666,Placerville,ID,Boise County,189.5
83854,Post Falls,ID,Kootenai County,189.5
83877,Post Falls,ID,Kootenai County,189.5
83858,Rathdrum,ID,Kootenai County,189.5
83442,Rigby,ID,Jefferson County,189.5
83443,Ririe,ID,Jefferson County,193.0
83444,Roberts,ID,Jefferson County,189.5
83869,Spirit Lake,ID,Kootenai County,189.5
83670,Sweet,ID,Gem County,189.5
83450,Terreton,ID,Jefferson County,189.5
83876,Worley,ID,Kootenai County,189.5
