zip,city,state,county,payout
60001,Alden,IL,Mchenry County,205.0
60102,Algonquin,IL,Mchenry County,205.0
62002,Alton,IL,Madison County,193.0
61310,Amboy,IL,Lee County,205.0
60002,Antioch,IL,Lake County,205.0
60004,Arlington Heights,IL,Cook County,205.0
60005,Arlington Heights,IL,Cook County,205.0
60006,Arlington Heights,IL,Cook County,205.0
61006,Ashton,IL,Lee County,205.0
60503,Aurora,IL,Will County,205.0
60505,Aurora,IL,Kane County,205.0
60506,Aurora,IL,Kane County,205.0
60507,Aurora,IL,Kane County,205.0
60568,Aurora,IL,Kane County,205.0
61007,Baileyville,IL,Ogle County,205.0
60010,Barrington,IL,Lake County,205.0
60011,Barrington,IL,Cook County,205.0
60103,Bartlett,IL,Dupage County,205.0
60510,Batavia,IL,Kane County,205.0
60401,Beecher,IL,Will County,205.0
62220,Belleville,IL,St. Clair County,193.0
62221,Belleville,IL,St. Clair County,193.0
62222,Belleville,IL,St. Clair County,193.0
62223,Belleville,IL,St. Clair County,193.0
62226,Belleville,IL,St. Clair County,193.0
61008,Belvidere,IL,Boone County,205.0
62010,Bethalto,IL,Madison County,193.0
60511,Big Rock,IL,Kane County,205.0
60440,Bolingbrook,IL,Will County,205.0
60490,Bolingbrook,IL,Will County,205.0
60407,Braceville,IL,Grundy County,205.0
60408,Braidwood,IL,Will County,205.0
60512,Bristol,IL,Kendall County,205.0
60089,Buffalo Grove,IL,Lake County,205.0
60109,Burlington,IL,Kane County,205.0
61010,Byron,IL,Ogle County,205.0
61011,Caledonia,IL,Boone County,205.0
61012,Capron,IL,Boone County,205.0
60122,Carol Stream,IL,Dupage County,205.0
60110,Carpentersville,IL,Kane County,205.0
60013,Cary,IL,Mchenry County,205.0
62232,Caseyville,IL,St. Clair County,193.0
61015,Chana,IL,Ogle County,205.0
60410,Channahon,IL,Will County,205.0
60111,Clare,IL,Dekalb County,205.0
60416,Coal City,IL,Grundy County,205.0
62234,Collinsville,IL,Madison County,193.0
62236,Columbia,IL,Monroe County,189.5
61318,Compton,IL,Lee County,205.0
60112,Cortland,IL,Dekalb County,205.0
60403,Crest Hill,IL,Will County,205.0
60113,Creston,IL,Ogle County,205.0
60417,Crete,IL,Will County,205.0
60012,Crystal Lake,IL,Mchenry County,205.0
60014,Crystal Lake,IL,Mchenry County,205.0
60039,Crystal Lake,IL,Mchenry County,205.0
61020,Davis Junction,IL,Ogle County,205.0
60015,Deerfield,IL,Lake County,205.0
60115,Dekalb,IL,Dekalb County,205.0
61021,Dixon,IL,Lee County,205.0
62021,Dorsey,IL,Madison County,193.0
60118,Dundee,IL,Kane County,205.0
62239,Dupo,IL,St. Clair County,193.0
62024,East Alton,IL,Madison County,193.0
62240,East Carondelet,IL,St. Clair County,193.0
62206,East Saint Louis,IL,St. Clair County,193.0
62207,East Saint Louis,IL,St. Clair County,193.0
62025,Edwardsville,IL,Madison County,193.0
62026,Edwardsville,IL,Madison County,193.0
60119,Elburn,IL,Kane County,205.0
61324,Eldena,IL,Lee County,205.0
60120,Elgin,IL,Cook County,205.0
60121,Elgin,IL,Kane County,205.0
60123,Elgin,IL,Kane County,205.0
60124,Elgin,IL,Kane County,205.0
60007,Elk Grove Village,IL,Cook County,205.0
60009,Elk Grove Village,IL,Cook County,205.0
60421,Elwood,IL,Will County,205.0
60129,Esmond,IL,Dekalb County,205.0
60201,Evanston,IL,Cook County,205.0
60202,Evanston,IL,Cook County,205.0
60203,Evanston,IL,Cook County,205.0
60204,Evanston,IL,Cook County,205.0
62208,Fairview Heights,IL,St. Clair County,193.0
61030,Forreston,IL,Ogle County,205.0
60037,Fort Sheridan,IL,Lake County,205.0
60020,Fox Lake,IL,Lake County,205.0
60021,Fox River Grove,IL,Mchenry County,205.0
60423,Frankfort,IL,Will County,205.0
61031,Franklin Grove,IL,Lee County,205.0
60131,Franklin Park,IL,Cook County,205.0
62243,Freeburg,IL,St. Clair County,193.0
62244,Fults,IL,Monroe County,189.5
61038,Garden Prairie,IL,Boone County,205.0
60424,Gardner,IL,Grundy County,205.0
60134,Geneva,IL,Kane County,205.0
60135,Genoa,IL,Dekalb County,205.0
60136,Gilberts,IL,Kane County,205.0
62034,Glen Carbon,IL,Madison County,193.0
60022,Glencoe,IL,Cook County,205.0
60025,Glenview,IL,Cook County,205.0
60026,Glenview,IL,Cook County,205.0
62035,Godfrey,IL,Madison County,193.0
60030,Grayslake,IL,Lake County,205.0
60088,Great Lakes,IL,Lake County,205.0
60031,Gurnee,IL,Lake County,205.0
60140,Hampshire,IL,Kane County,205.0
60133,Hanover Park,IL,Cook County,205.0
61042,Harmon,IL,Lee County,205.0
60033,Harvard,IL,Mchenry County,205.0
60034,Hebron,IL,Mchenry County,205.0
62248,Hecker,IL,Monroe County,189.5
62249,Highland,IL,Madison County,193.0
60035,Highland Park,IL,Lake County,205.0
60040,Highwood,IL,Lake County,205.0
60520,Hinckley,IL,Dekalb County,205.0
60169,Hoffman Estates,IL,Cook County,205.0
60192,Hoffman Estates,IL,Cook County,205.0
61043,Holcomb,IL,Ogle County,205.0
60491,Homer Glen,IL,Will County,205.0
60142,Huntley,IL,Mchenry County,205.0
60041,Ingleside,IL,Lake County,205.0
60042,Island Lake,IL,Mchenry County,205.0
60431,Joliet,IL,Will County,205.0
60432,Joliet,IL,Will County,205.0
60433,Joliet,IL,Will County,205.0
60434,Joliet,IL,Will County,205.0
60435,Joliet,IL,Will County,205.0
60436,Joliet,IL,Will County,205.0
60144,Kaneville,IL,Kane County,205.0
60145,Kingston,IL,Dekalb County,205.0
60437,Kinsman,IL,Grundy County,205.0
60146,Kirkland,IL,Dekalb County,205.0
60525,La Grange,IL,Cook County,205.0
60147,Lafox,IL,Kane County,205.0
60044,Lake Bluff,IL,Lake County,205.0
60045,Lake Forest,IL,Lake County,205.0
60156,Lake In The Hills,IL,Mchenry County,205.0
60046,Lake Villa,IL,Lake County,205.0
60047,Lake Zurich,IL,Lake County,205.0
60049,Lake Zurich,IL,Lake County,205.0
61047,Leaf River,IL,Ogle County,205.0
62254,Lebanon,IL,St. Clair County,193.0
60530,Lee,IL,Lee County,205.0
61331,Lee Center,IL,Lee County,205.0
62255,Lenzburg,IL,St. Clair County,193.0
60048,Libertyville,IL,Lake County,205.0
60069,Lincolnshire,IL,Lake County,205.0
61049,Lindenwood,IL,Ogle County,205.0
62058,Livingston,IL,Madison County,193.0
60441,Lockport,IL,Will County,205.0
62059,Lovejoy,IL,St. Clair County,193.0
