zip,city,state,county,payout
46102,Advance,IN,Boone County,189.5
46103,Amo,IN,Hendricks County,193.0
46030,Arcadia,IN,Hamilton County,193.0
46031,Atlanta,IN,Hamilton County,193.0
47102,Austin,IN,Scott County,189.5
46123,Avon,IN,Hendricks County,193.0
46105,Bainbridge,IN,Putnam County,189.5
46106,Bargersville,IN,Johnson County,193.0
47010,Bath,IN,Franklin County,189.5
46107,Beech Grove,IN,Marion County,193.0
47322,Bentonville,IN,Fayette County,189.5
47104,Bethlehem,IN,Clark County,189.5
47106,Borden,IN,Clark County,189.5
47324,Boston,IN,Wayne County,189.5
46111,Brooklyn,IN,Morgan County,193.0
47012,Brookville,IN,Franklin County,189.5
46112,Brownsburg,IN,Hendricks County,193.0
47325,Brownsville,IN,Union County,189.5
47327,Cambridge City,IN,Wayne County,189.5
46113,Camby,IN,Marion County,193.0
46032,Carmel,IN,Hamilton County,193.0
46033,Carmel,IN,Hamilton County,193.0
46082,Carmel,IN,Hamilton County,193.0
47016,Cedar Grove,IN,Franklin County,189.5
47330,Centerville,IN,Wayne County,189.5
47110,Central,IN,Harrison County,193.0
47111,Charlestown,IN,Clark County,189.5
46034,Cicero,IN,Hamilton County,193.0
47129,Clarksville,IN,Clark County,189.5
46118,Clayton,IN,Hendricks County,193.0
47226,Clifford,IN,Bartholomew County,189.5
46120,Cloverdale,IN,Putnam County,189.5
46121,Coatesville,IN,Putnam County,193.0
47201,Columbus,IN,Bartholomew County,189.5
47202,Columbus,IN,Bartholomew County,189.5
47203,Columbus,IN,Bartholomew County,189.5
47331,Connersville,IN,Fayette County,189.5
47112,Corydon,IN,Harrison County,193.0
47114,Crandall,IN,Harrison County,193.0
46122,Danville,IN,Hendricks County,193.0
47230,Deputy,IN,Jefferson County,189.5
47335,Dublin,IN,Wayne County,189.5
47337,Dunreith,IN,Henry County,189.5
47339,Economy,IN,Wayne County,189.5
46124,Edinburgh,IN,Johnson County,193.0
47117,Elizabeth,IN,Harrison County,193.0
47232,Elizabethtown,IN,Bartholomew County,189.5
46125,Eminence,IN,Morgan County,193.0
47340,Farmland,IN,Randolph County,189.5
46128,Fillmore,IN,Putnam County,189.5
46037,Fishers,IN,Hamilton County,193.0
46038,Fishers,IN,Hamilton County,193.0
46085,Fishers,IN,Hamilton County,193.0
47119,Floyds Knobs,IN,Floyd County,189.5
47341,Fountain City,IN,Wayne County,189.5
46131,Franklin,IN,Johnson County,193.0
47122,Georgetown,IN,Floyd County,189.5
46133,Glenwood,IN,Fayette County,189.5
47433,Gosport,IN,Owen County,189.5
47236,Grammer,IN,Bartholomew County,189.5
46135,Greencastle,IN,Putnam County,189.5
47345,Greens Fork,IN,Wayne County,189.5
47344,Greensboro,IN,Henry County,189.5
47124,Greenville,IN,Floyd County,189.5
46142,Greenwood,IN,Johnson County,193.0
46143,Greenwood,IN,Johnson County,193.0
47346,Hagerstown,IN,Wayne County,189.5
47243,Hanover,IN,Jefferson County,189.5
47244,Hartsville,IN,Bartholomew County,189.5
47126,Henryville,IN,Clark County,189.5
47246,Hope,IN,Bartholomew County,189.5
46201,Indianapolis,IN,Marion County,193.0
46202,Indianapolis,IN,Marion County,193.0
46203,Indianapolis,IN,Marion County,193.0
46204,Indianapolis,IN,Marion County,193.0
46205,Indianapolis,IN,Marion County,193.0
46206,Indianapolis,IN,Marion County,193.0
46207,Indianapolis,IN,Marion County,193.0
46208,Indianapolis,IN,Marion County,193.0
46209,Indianapolis,IN,Marion County,193.0
46210,Indianapolis,IN,Indiana Statewide,193.0
46211,Indianapolis,IN,Marion County,193.0
46213,Indianapolis,IN,Indiana Statewide,193.0
46214,Indianapolis,IN,Marion County,193.0
46216,Indianapolis,IN,Marion County,193.0
46217,Indianapolis,IN,Marion County,193.0
46218,Indianapolis,IN,Marion County,193.0
46219,Indianapolis,IN,Marion County,193.0
46220,Indianapolis,IN,Marion County,193.0
46221,Indianapolis,IN,Marion County,193.0
46222,Indianapolis,IN,Marion County,193.0
46224,Indianapolis,IN,Marion County,193.0
46225,Indianapolis,IN,Marion County,193.0
46226,Indianapolis,IN,Marion County,193.0
46227,Indianapolis,IN,Marion County,193.0
46228,Indianapolis,IN,Marion County,193.0
46229,Indianapolis,IN,Marion County,193.0
46230,Indianapolis,IN,Marion County,193.0
46231,Indianapolis,IN,Marion County,193.0
46234,Indianapolis,IN,Marion County,193.0
46235,Indianapolis,IN,Marion County,193.0
46236,Indianapolis,IN,Marion County,193.0
46237,Indianapolis,IN,Marion County,193.0
46239,Indianapolis,IN,Marion County,193.0
46240,Indianapolis,IN,Marion County,193.0
46241,Indianapolis,IN,Marion County,193.0
46242,Indianapolis,IN,Marion County,193.0
46244,Indianapolis,IN,Marion County,193.0
46247,Indianapolis,IN,Marion County,193.0
46249,Indianapolis,IN,Marion County,193.0
46250,Indianapolis,IN,Marion County,193.0
46251,Indianapolis,IN,Marion County,193.0
46253,Indianapolis,IN,Marion County,193.0
46254,Indianapolis,IN,Marion County,193.0
46255,Indianapolis,IN,Marion County,193.0
46256,Indianapolis,IN,Marion County,193.0
46259,Indianapolis,IN,Marion County,193.0
46260,Indianapolis,IN,Marion County,193.0
46262,Indianapolis,IN,Marion County,193.0
46266,Indianapolis,IN,Marion County,193.0
46268,Indianapolis,IN,Marion County,193.0
46274,Indianapolis,IN,Marion County,193.0
46275,Indianapolis,IN,Marion County,193.0
46277,Indianapolis,IN,Marion County,193.0
46278,Indianapolis,IN,Marion County,193.0
46280,Indianapolis,IN,Hamilton County,193.0
46282,Indianapolis,IN,Marion County,193.0
46283,Indianapolis,IN,Marion County,193.0
46285,Indianapolis,IN,Marion County,193.0
46290,Indianapolis,IN,Hamilton County,193.0
46291,Indianapolis,IN,Marion County,193.0
46295,Indianapolis,IN,Marion County,193.0
46296,Indianapolis,IN,Marion County,193.0
46298,Indianapolis,IN,Marion County,193.0
46147,Jamestown,IN,Boone County,189.5
47130,Jeffersonville,IN,Clark County,189.5
47131,Jeffersonville,IN,Clark County,189.5
47132,Jeffersonville,IN,Clark County,189.5
47133,Jeffersonville,IN,Clark County,189.5
47134,Jeffersonville,IN,Clark County,189.5
47144,Jeffersonville,IN,Clark County,189.5
47190,Jeffersonville,IN,Clark County,189.5
47199,Jeffersonville,IN,Clark County,189.5
47247,Jonesville,IN,Bartholomew County,189.5
47351,Kennard,IN,Henry County,189.5
46148,Knightstown,IN,Henry County,189.5
47135,Laconia,IN,Harrison County,193.0
47136,Lanesville,IN,Floyd County,193.0
47024,Laurel,IN,Franklin County,189.5
46052,Lebanon,IN,Boone County,189.5
47352,Lewisville,IN,Henry County,189.5
47138,Lexington,IN,Scott County,189.5
47353,Liberty,IN,Union County,189.5
46149,Lizton,IN,Hendricks County,193.0
47354,Losantville,IN,Randolph County,189.5
47355,Lynn,IN,Randolph County,189.5
46151,Martinsville,IN,Morgan County,193.0
47141,Marysville,IN,Clark County,189.5
47142,Mauckport,IN,Harrison County,193.0
47143,Memphis,IN,Clark County,189.5
47030,Metamora,IN,Franklin County,189.5
47356,Middletown,IN,Henry County,189.5
47357,Milton,IN,Wayne County,189.5
47358,Modoc,IN,Randolph County,189.5
46157,Monrovia,IN,Morgan County,193.0
47360,Mooreland,IN,Henry County,189.5
46158,Mooresville,IN,Morgan County,193.0
47146,Mount Saint Francis,IN,Floyd County,189.5
47361,Mount Summit,IN,Henry County,189.5
47147,Nabb,IN,Clark County,189.5
46162,Needham,IN,Johnson County,193.0
47150,New Albany,IN,Floyd County,189.5
47151,New Albany,IN,Floyd County,189.5
47362,New Castle,IN,Henry County,189.5
47366,New Lisbon,IN,Henry County,189.5
47160,New Middletown,IN,Harrison County,193.0
47161,New Salisbury,IN,Harrison County,193.0
47035,New Trenton,IN,Franklin County,189.5
47162,New Washington,IN,Clark County,189.5
46164,Nineveh,IN,Brown County,193.0
46060,Noblesville,IN,Hamilton County,193.0
46061,Noblesville,IN,Hamilton County,193.0
46062,Noblesville,IN,Hamilton County,193.0
46165,North Salem,IN,Hendricks County,193.0
47036,Oldenburg,IN,Franklin County,189.5
47163,Otisco,IN,Clark County,189.5
47164,Palmyra,IN,Harrison County,193.0
46166,Paragon,IN,Morgan County,193.0
47368,Parker City,IN,Randolph County,189.5
47165,Pekin,IN,Washington County,189.5
47370,Pershing,IN,Wayne County,189.5
46167,Pittsboro,IN,Hendricks County,193.0
46168,Plainfield,IN,Hendricks County,193.0
46197,Plainfield,IN,Indiana Statewide,193.0
46170,Putnamville,IN,Putnam County,189.5
47456,Quincy,IN,Owen County,189.5
46171,Reelsville,IN,Putnam County,189.5
47374,Richmond,IN,Wayne County,189.5
47375,Richmond,IN,Wayne County,189.5
47380,Ridgeville,IN,Randolph County,189.5
46172,Roachdale,IN,Putnam County,189.5
46175,Russellville,IN,Putnam County,189.5
47167,Salem,IN,Washington County,189.5
47382,Saratoga,IN,Randolph County,189.5
47170,Scottsburg,IN,Scott County,189.5
47172,Sellersburg,IN,Clark County,189.5
46069,Sheridan,IN,Hamilton County,193.0
47384,Shirley,IN,Henry County,189.5
47385,Spiceland,IN,Henry County,189.5
47386,Springport,IN,Henry County,189.5
46180,Stilesville,IN,Hendricks County,193.0
47387,Straughn,IN,Henry County,189.5
47388,Sulphur Springs,IN,Henry County,189.5
47280,Taylorsville,IN,Bartholomew County,189.5
46071,Thorntown,IN,Boone County,189.5
46181,Trafalgar,IN,Johnson County,193.0
47177,Underwood,IN,Scott County,189.5
47390,Union City,IN,Randolph County,189.5
47392,Webster,IN,Wayne County,189.5
47003,West College Corner,IN,Union County,189.5
46183,West Newton,IN,Marion County,193.0
46074,Westfield,IN,Hamilton County,193.0
46184,Whiteland,IN,Johnson County,193.0
46075,Whitestown,IN,Boone County,189.5
47393,Williamsburg,IN,Wayne County,189.5
47394,Winchester,IN,Randolph County,189.5
46077,Zionsville,IN,Boone County,189.5
