zip,city,state,county,payout
41001,Alexandria,KY,Campbell County,189.5
42122,Alvaton,KY,Warren County,189.5
40003,Bagdad,KY,Shelby County,189.5
41073,Bellevue,KY,Campbell County,189.5
40403,Berea,KY,Madison County,193.0
40404,Berea,KY,Madison County,193.0
40405,Bighill,KY,Jackson County,193.0
42101,Bowling Green,KY,Warren County,189.5
42102,Bowling Green,KY,Warren County,189.5
42103,Bowling Green,KY,Warren County,189.5
42104,Bowling Green,KY,Warren County,189.5
42128,Bowling Green,KY,Warren County,189.5
40109,Brooks,KY,Bullitt County,189.5
40410,Bryantsville,KY,Garrard County,189.5
40010,Buckner,KY,Oldham County,189.5
40310,Burgin,KY,Mercer County,189.5
41005,Burlington,KY,Boone County,189.5
41007,California,KY,Campbell County,189.5
41008,Carrollton,KY,Carroll County,189.5
40110,Clermont,KY,Bullitt County,189.5
40014,Crestwood,KY,Oldham County,189.5
40422,Danville,KY,Boyle County,189.5
40423,Danville,KY,Boyle County,189.5
41074,Dayton,KY,Campbell County,189.5
40018,Eastwood,KY,Jefferson County,193.0
40118,Fairdale,KY,Jefferson County,193.0
40022,Finchville,KY,Shelby County,189.5
40023,Fisherville,KY,Jefferson County,193.0
41022,Florence,KY,Boone County,189.5
41042,Florence,KY,Boone County,189.5
41075,Fort Thomas,KY,Campbell County,189.5
40601,Frankfort,KY,Franklin County,189.5
40602,Frankfort,KY,Franklin County,189.5
40603,Frankfort,KY,Franklin County,189.5
40604,Frankfort,KY,Franklin County,189.5
40618,Frankfort,KY,Franklin County,189.5
40619,Frankfort,KY,Franklin County,189.5
40620,Frankfort,KY,Franklin County,189.5
40621,Frankfort,KY,Franklin County,189.5
40622,Frankfort,KY,Franklin County,189.5
42134,Franklin,KY,Simpson County,189.5
42135,Franklin,KY,Simpson County,189.5
40324,Georgetown,KY,Scott County,193.0
41045,Ghent,KY,Carroll County,189.5
40025,Glenview,KY,Jefferson County,193.0
40026,Goshen,KY,Oldham County,189.5
40027,Harrods Creek,KY,Jefferson County,193.0
40330,Harrodsburg,KY,Mercer County,189.5
41048,Hebron,KY,Boone County,189.5
40129,Hillview,KY,Bullitt County,189.5
40337,Jeffersonville,KY,Montgomery County,189.5
40440,Junction City,KY,Boyle County,189.5
40339,Keene,KY,Jessamine County,189.5
40031,La Grange,KY,Oldham County,189.5
40032,La Grange,KY,Oldham County,189.5
40444,Lancaster,KY,Garrard County,189.5
40446,Lancaster,KY,Garrard County,189.5
40150,Lebanon Junction,KY,Bullitt County,189.5
40502,Lexington,KY,Fayette County,189.5
40503,Lexington,KY,Fayette County,189.5
40504,Lexington,KY,Fayette County,189.5
40505,Lexington,KY,Fayette County,189.5
40506,Lexington,KY,Fayette County,189.5
40507,Lexington,KY,Fayette County,189.5
40508,Lexington,KY,Fayette County,189.5
40509,Lexington,KY,Fayette County,189.5
40510,Lexington,KY,Fayette County,189.5
40511,Lexington,KY,Fayette County,189.5
40512,Lexington,KY,Fayette County,189.5
40513,Lexington,KY,Fayette County,189.5
40514,Lexington,KY,Fayette County,189.5
40515,Lexington,KY,Fayette County,189.5
40516,Lexington,KY,Fayette County,189.5
40517,Lexington,KY,Fayette County,189.5
40522,Lexington,KY,Fayette County,189.5
40523,Lexington,KY,Fayette County,189.5
40524,Lexington,KY,Fayette County,189.5
40526,Lexington,KY,Fayette County,189.5
40533,Lexington,KY,Fayette County,189.5
40536,Lexington,KY,Fayette County,189.5
40544,Lexington,KY,Fayette County,189.5
40546,Lexington,KY,Fayette County,189.5
40550,Lexington,KY,Fayette County,189.5
40555,Lexington,KY,Fayette County,189.5
40574,Lexington,KY,Fayette County,189.5
40575,Lexington,KY,Fayette County,189.5
40576,Lexington,KY,Fayette County,189.5
40577,Lexington,KY,Fayette County,189.5
40578,Lexington,KY,Fayette County,189.5
40579,Lexington,KY,Fayette County,189.5
40580,Lexington,KY,Fayette County,189.5
40581,Lexington,KY,Fayette County,189.5
40582,Lexington,KY,Fayette County,189.5
40583,Lexington,KY,Fayette County,189.5
40588,Lexington,KY,Fayette County,189.5
40591,Lexington,KY,Fayette County,189.5
40598,Lexington,KY,Fayette County,189.5
40201,Louisville,KY,Jefferson County,193.0
40202,Louisville,KY,Jefferson County,193.0
40203,Louisville,KY,Jefferson County,193.0
40204,Louisville,KY,Jefferson County,193.0
40205,Louisville,KY,Jefferson County,193.0
40206,Louisville,KY,Jefferson County,193.0
40207,Louisville,KY,Jefferson County,193.0
40208,Louisville,KY,Jefferson County,193.0
40209,Louisville,KY,Jefferson County,193.0
40210,Louisville,KY,Jefferson County,193.0
40211,Louisville,KY,Jefferson County,193.0
40212,Louisville,KY,Jefferson County,193.0
40213,Louisville,KY,Jefferson County,193.0
40214,Louisville,KY,Jefferson County,193.0
40215,Louisville,KY,Jefferson County,193.0
40216,Louisville,KY,Jefferson County,193.0
40217,Louisville,KY,Jefferson County,193.0
40218,Louisville,KY,Jefferson County,193.0
40219,Louisville,KY,Jefferson County,193.0
40220,Louisville,KY,Jefferson County,193.0
40221,Louisville,KY,Jefferson County,193.0
40222,Louisville,KY,Jefferson County,193.0
40223,Louisville,KY,Jefferson County,193.0
40224,Louisville,KY,Jefferson County,193.0
40225,Louisville,KY,Jefferson County,193.0
40228,Louisville,KY,Jefferson County,193.0
40229,Louisville,KY,Jefferson County,193.0
40231,Louisville,KY,Jefferson County,193.0
40232,Louisville,KY,Jefferson County,193.0
40233,Louisville,KY,Jefferson County,193.0
40241,Louisville,KY,Jefferson County,193.0
40242,Louisville,KY,Jefferson County,193.0
40243,Louisville,KY,Jefferson County,193.0
40245,Louisville,KY,Jefferson County,193.0
40250,Louisville,KY,Jefferson County,193.0
40251,Louisville,KY,Jefferson County,193.0
40252,Louisville,KY,Jefferson County,193.0
40253,Louisville,KY,Jefferson County,193.0
40255,Louisville,KY,Jefferson County,193.0
40256,Louisville,KY,Jefferson County,193.0
40257,Louisville,KY,Jefferson County,193.0
40258,Louisville,KY,Jefferson County,193.0
40259,Louisville,KY,Jefferson County,193.0
40261,Louisville,KY,Jefferson County,193.0
40266,Louisville,KY,Jefferson County,193.0
40268,Louisville,KY,Jefferson County,193.0
40269,Louisville,KY,Jefferson County,193.0
40270,Louisville,KY,Jefferson County,193.0
40272,Louisville,KY,Jefferson County,193.0
40280,Louisville,KY,Jefferson County,193.0
40281,Louisville,KY,Jefferson County,193.0
40282,Louisville,KY,Jefferson County,193.0
40283,Louisville,KY,Jefferson County,193.0
40285,Louisville,KY,Jefferson County,193.0
40287,Louisville,KY,Jefferson County,193.0
40289,Louisville,KY,Jefferson County,193.0
40290,Louisville,KY,Jefferson County,193.0
40291,Louisville,KY,Jefferson County,193.0
40292,Louisville,KY,Jefferson County,193.0
40293,Louisville,KY,Jefferson County,193.0
40294,Louisville,KY,Jefferson County,193.0
40295,Louisville,KY,Jefferson County,193.0
40296,Louisville,KY,Jefferson County,193.0
40297,Louisville,KY,Jefferson County,193.0
40298,Louisville,KY,Jefferson County,193.0
40299,Louisville,KY,Jefferson County,193.0
40041,Masonic Home,KY,Jefferson County,193.0
41059,Melbourne,KY,Campbell County,189.5
40347,Midway,KY,Woodford County,189.5
40452,Mitchellsburg,KY,Boyle County,189.5
40046,Mount Eden,KY,Spencer County,189.5
40353,Mount Sterling,KY,Montgomery County,189.5
40047,Mount Washington,KY,Bullitt County,189.5
41071,Newport,KY,Campbell County,189.5
41072,Newport,KY,Campbell County,189.5
41076,Newport,KY,Campbell County,189.5
41099,Newport,KY,Campbell County,189.5
40340,Nicholasville,KY,Jessamine County,189.5
40356,Nicholasville,KY,Jessamine County,189.5
42159,Oakland,KY,Warren County,189.5
40461,Paint Lick,KY,Garrard County,189.5
40464,Parksville,KY,Boyle County,189.5
40468,Perryville,KY,Boyle County,189.5
41080,Petersburg,KY,Boone County,189.5
40056,Pewee Valley,KY,Oldham County,189.5
40059,Prospect,KY,Jefferson County,193.0
40475,Richmond,KY,Madison County,193.0
40476,Richmond,KY,Madison County,193.0
42274,Rockfield,KY,Warren County,189.5
40370,Sadieville,KY,Scott County,193.0
40372,Salvisa,KY,Mercer County,189.5
41083,Sanders,KY,Carroll County,189.5
40065,Shelbyville,KY,Shelby County,189.5
40066,Shelbyville,KY,Shelby County,189.5
40165,Shepherdsville,KY,Bullitt County,189.5
40166,Shepherdsville,KY,Kentucky Statewide,189.5
41085,Silver Grove,KY,Campbell County,189.5
40067,Simpsonville,KY,Shelby County,189.5
42171,Smiths Grove,KY,Warren County,189.5
40379,Stamping Ground,KY,Scott County,193.0
40071,Taylorsville,KY,Spencer County,189.5
41091,Union,KY,Boone County,189.5
41092,Verona,KY,Boone County,189.5
40383,Versailles,KY,Woodford County,189.5
40384,Versailles,KY,Woodford County,189.5
40385,Waco,KY,Madison County,193.0
40076,Waddy,KY,Shelby County,189.5
41094,Walton,KY,Boone County,189.5
40077,Westport,KY,Oldham County,189.5
40390,Wilmore,KY,Jessamine County,189.5
40391,Winchester,KY,Clark County,189.5
40392,Winchester,KY,Clark County,189.5
42170,Woodburn,KY,Warren County,189.5
41098,Worthville,KY,Owen County,189.5
